"報告年度:2022","議題:溫室氣體排放"
"公司代號","公司名稱","範疇一-排放量(噸CO2e)","範疇一-資料邊界","範疇一-取得驗證","範疇二-排放量(噸CO2e)","範疇二-資料邊界","範疇二-取得驗證","範疇三-排放量(噸CO2e)","範疇三-資料邊界","範疇三-取得驗證","溫室氣體排放密集度-密集度(噸CO2e/單位)","溫室氣體排放密集度-單位"
"=""1101""","台泥","4314312.0000","台泥台灣個體公司 (涵蓋企業團營運總部、研究室、2座水泥廠、24座製品廠)","ISO 9001","218480.0000","台泥台灣個體公司 (涵蓋企業團營運總部、研究室、2座水泥廠、24座製品廠)","ISO 9001","17428.0000","台泥台灣個體公司(涵蓋營運企業團總部、研究室、2座水泥廠)","ISO 9001","0.8033","產品"
"=""1102""","亞泥","2924606.4700","亞洲水泥個體公司","ISO 9001","184773.1200","亞洲水泥個體公司","ISO 9001","97238.8600","亞洲水泥個體公司","ISO 9001","0.8390","產品"
"=""1103""","嘉泥","834.8500","包含合併財務報表之母子公司","ISO 9001","6807.5640","包含合併財務報表之母子公司","ISO 9001","1956.6970","包含合併財務報表之母子公司","ISO 9001","0.0043","百萬元營業額"
"=""1104""","環泥","34528.6595","母公司","","20707.6029","母公司","","無，無統計相關數據","","","0.0123","新台幣千元產值"
"=""1108""","幸福","526010.0000","幸福水泥(股)公司東澳廠","ISO 9001","38629.0000","幸福水泥(股)公司東澳廠","ISO 9001","無，無統計相關數據","","","0.5200","產品"
"=""1109""","信大","479891.4800","母公司(台北總公司、宜蘭南聖湖工廠、太白山礦區)","ISO 9001","37922.4100","母公司(台北總公司、宜蘭南聖湖工廠、太白山礦區)","ISO 9001","13837.2400","母公司(台北總公司、宜蘭南聖湖工廠、太白山礦區)","ISO 9001","75.1200","百萬元營業額"
"=""1110""","東泥","2570.0000","僅母公司","","17073.0000","僅母公司","","無，2022年無排定，2023年開始盤查","","","0.0330","總生產量(噸)"
"=""1201""","味全","11760.2250","1.母公司(公司、中央研究所、營業所、台中廠、斗六廠、高雄廠) 2.直接擁有或控制的排放源所直接排放的溫室氣體   含2-1營業所/工廠購汽油柴油鍋爐天燃氣等排放及辦公室人員活動之溫室氣體排放   含2-2工廠購原料之製麴、發酵雙醣等於製程中排放。","","20663.6700","1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠) 2.外購電力產生溫室氣體排放","","無，1.價值鏈上發生的所有間接排放，包括上游和下游的排放而在範疇2中並未包括。 2.母公司未盤查範疇(三)上游運輸/通勤商旅/下游運輸等間接溫室氣體排放。","","","4.0000","百萬元營業額"
"=""1203""","味王","5754.8210","僅母公司","","10013.0700","僅母公司","","無，無統計相關數據","","","4.3950","百萬元營業額"
"=""1210""","大成","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1213""","大飲","705.7500","僅母公司","","無，NA","","","無，NA","","","無，NA",""
"=""1215""","卜蜂","34271.0000","南投肉食品加工廠、台中飼料廠、高雄飼料廠、雲林飼料廠","","41031.0000","南投肉食品加工廠、台中飼料廠、高雄飼料廠、雲林飼料廠","","無，無統計相關數據","","","5.2000","南投肉食品加工廠:5.2噸CO2e/百萬營收 ; 飼料廠:0.0258噸CO2e/產量(噸)"
"=""1216""","統一","63364.6428","僅母公司","ISO 9001","100999.4293","僅母公司","ISO 9001","1430005.6673","僅母公司","ISO 9001","35.2100","營業收入千萬元"
"=""1217""","愛之味","1074.8130","母公司之天然氣","","12998.8710","母公司之外購電力、外購蒸氣","","無，無統計相關數據","","","1.9282","產品"
"=""1218""","泰山","3407.8805","泰山企業所屬田中油脂廠、田中食品廠、水產飼料廠、田中行政大樓、台北長安大樓辦公室。","","6607.7418","泰山企業所屬田中油脂廠、田中食品廠、水產飼料廠、田中行政大樓、台北長安大樓辦公室。","","1912.9643","泰山企業所屬田中油脂廠、田中食品廠、水產飼料廠、田中行政大樓、台北長安大樓辦公室。","","1.0416","百萬元營業額"
"=""1219""","福壽","7577.8350","資料涵蓋範圍母公司三個主要生產廠域(沙鹿廠、台中港廠、鹿港廠)","ISO 14001","11729.3830","資料涵蓋範圍母公司三個主要生產廠域(沙鹿廠、台中港廠、鹿港廠)","ISO 14001","4079.8320","資料涵蓋範圍母公司三個主要生產廠域(沙鹿廠、台中港廠、鹿港廠)","ISO 14001","1.4300","千元營業額"
"=""1220""","台榮","15738.2868","本公司雲林廠","ISO 14001","15266.6927","本公司雲林廠","ISO 14001","無，無統計相關數據","","","0.2700","產品"
"=""1225""","福懋油","3304.5100","母公司","","2861.4800","母公司","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1227""","佳格","11520.0000","佳格集團總部、佳格大園廠、中壢廠、佳乳湖口廠","","16213.0000","佳格集團總部、佳格大園廠、中壢廠、佳乳湖口廠","","3993.0000","佳格集團總部、佳格大園廠、中壢廠、佳乳湖口廠","","0.0174","萬元營業額"
"=""1229""","聯華","1277.5360","母公司-聯華實業投資控股(股)公司以及 子公司-聯華製粉食品(股)公司、聯華置產(股)公司","ISO 14001","16358.1780","母公司-聯華實業投資控股(股)公司以及 子公司-聯華製粉食品(股)公司、聯華置產(股)公司","ISO 14001","3223.5750","母公司-聯華實業投資控股(股)公司以及 子公司-聯華製粉食品(股)公司、聯華置產(股)公司用水、廢棄物和商務差旅","ISO 14001","2.3900","百萬元營業額"
"=""1231""","聯華食","8747.1300","臺灣地區各工廠之所有營運相關之活動","","16853.4900","臺灣地區各工廠之所有營運相關之活動","","無，尚未進行盤查","","","2.3800","百萬元營業額"
"=""1232""","大統益","29545.1271","僅母公司","ISO 9001","64871.3879","僅母公司","ISO 9001","無，無統計相關數據","","","4.6702","百萬元營業額"
"=""1233""","天仁","869.7290","本公司天仁茶業股份有限公司直營單位","","2630.8760","本公司天仁茶業股份有限公司直營單位","","無，無統計相關數據","","","1.9170","百萬元營業額"
"=""1234""","黑松","9170.6358","黑松總公司、中壢廠、斗六廠","ISO 9001","15087.3269","黑松總公司、中壢廠、斗六廠","ISO 9001","6302.3154","黑松總公司、中壢廠、斗六廠","ISO 9001","0.1600","產品"
"=""1235""","興泰","919.2922","依108年製成排放量檢測結果換算111年母子公司排放量","","208.3840","依111年台灣電力公司記錄排放量資訊之母子公司排放量","","無，無統計相關數據","","","0.0179","千元營業額"
"=""1236""","宏亞","2475.0000","母子公司","","8569.0000","母子公司","","無，無統計相關數據","","","4.6000","百萬元營業額"
"=""1256""","鮮活果汁-KY","2096.8980","子公司：蘇州鮮活飲品股份有限公司","ISO 9001","13345.0360","子公司：蘇州鮮活飲品股份有限公司","ISO 9001","無，無統計相關數據","","","0.0038","千元營業額"
"=""1301""","台塑","3338612.0000","母公司","ISO 9001","4605137.0000","母公司","ISO 9001","11298608.0000","母公司","ISO 9001","40.7190","百萬元營業額"
"=""1303""","南亞","1628833.1860","揭露母公司111年度溫室氣體排放量。","ISO 9001","2955506.8350","揭露母公司111年度溫室氣體排放量。","ISO 9001","13680477.2750","揭露母公司111年度溫室氣體排放量。","ISO 9001","27.0970","百萬元營業額"
"=""1304""","台聚","25483.0000","台聚高雄廠+龜山研發處+台北總部(個體公司)","ISO 9001","117786.0000","台聚高雄廠+龜山研發處+台北總部(個體公司)","ISO 9001","130.0000","台聚高雄廠","ISO 9001","0.6900","產品"
"=""1305""","華夏","161650.0000","個體公司(華夏公司)及合併財報子公司(華聚、台氯、寰靖公司)","ISO 9001","185440.0000","個體公司(華夏公司)及合併財報子公司(華聚、台氯、寰靖公司)","ISO 9001","無，定性說明:因實質性不易歸類及量化，目前以組織地理邊界範圍內非屬本公司所有之排放源為主，並且只進行定性盤查工作。","","","0.3300","產品"
"=""1307""","三芳","8242.1000","母公司","ISO 9001","22268.8000","母公司","ISO 9001","無，無統計相關數據","","","18.4900","百萬元營業額"
"=""1308""","亞聚","10443.5200","母公司(林園廠及台北總部)","ISO 9001","101531.4300","母公司(林園廠及台北總部)","ISO 9001","220420.6600","母公司(林園廠及台北總部)","ISO 9001","0.8614","產品"
"=""1309""","台達化","15223.0000","台北辦、前鎮廠、林園廠、頭份廠(個體公司)","ISO 9001","50227.0000","台北辦、前鎮廠、林園廠、頭份廠(個體公司)","ISO 9001","114224.0000","台北辦、前鎮廠、林園廠、頭份廠(個體公司)","ISO 9001","0.2110","產品"
"=""1310""","台苯","199683.0730","台苯高雄廠","ISO 9001","29524.4432","台苯高雄廠","ISO 9001","無，僅進行排放源鑑別，無量化","","","0.6880","產品"
"=""1312""","國喬","318971.9774","僅母公司","ISO 9001","36899.6496","僅母公司","ISO 9001","827392.2440","僅母公司","ISO 9001","19.5800","百萬元營業額"
"=""1313""","聯成","40948.9315","母公司林園廠","ISO 9001","15118.8270","母公司林園廠","ISO 9001","無，無統計相關數據","","","0.4600","產品"
"=""1314""","中石化","796727.0000","僅母公司","ISO 14001","192690.0000","僅母公司","ISO 14001","1331732.0000","僅母公司","ISO 14001","395324.0000","百萬元營業額"
"=""1315""","達新","無，3","","","2688.0000","母公司","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1316""","上曜","0.0000","包含本公司及營造業子公司上裕營造和永輝室內裝修辦公室工務所及建案餘屋","","213.8080","包含本公司及營造業子公司上裕營造和永輝室內裝修辦公室工務所及建案餘屋","","6.4879","包含本公司及營造業子公司上裕營造和永輝室內裝修辦公室工務所及建案餘屋","","0.0054","平方公尺"
"=""1319""","東陽","9512.8000","母公司","","52198.3100","母公司","","無，無統計相關數據","","","3.9289","百萬元營業額"
"=""1321""","大洋","3491.0000","母公司","","40180.0000","母公司","","1506.0000","母公司","","0.3102","產品"
"=""1323""","永裕","441.6230","永裕塑膠:285.70噸(無驗證) 上海永裕:148.293噸(有驗證) 威瑪精密:7.63噸(無驗證)","ISO 9001","21450.5610","永裕塑膠:11,912.35噸(無驗證) 上海永裕:9,477.021噸(有驗證) 威瑪精密:61.19噸(無驗證)","ISO 9001","2738.1800","僅母公司永裕塑膠","","0.0067","永裕塑膠12,198.05(噸)/1,816,611千元營業額=0.0067"
"=""1324""","地球","4338.7587","母公司(幼一二廠)","ISO 9001","2007.6154","母公司(幼一二廠)","ISO 9001","2841.0866","母公司(幼一二廠)","ISO 9001","9.3463","百萬元營業額"
"=""1325""","恆大","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1326""","台化","4698681.0000","資料係111年度母公司及台醋經第三方查證數據。","ISO 9001","3166588.0000","資料係111年度母公司及台醋經第三方查證數據。","ISO 9001","14488269.0655","資料係111年度母公司及台醋經第三方查證數據。","ISO 9001","3084.7600","營業額億元"
"=""1337""","再生-KY","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1338""","廣華-KY","1105.5800","僅重要子公司東莞廣澤汽車飾件有限公司","","22146.8200","僅重要子公司東莞廣澤汽車飾件有限公司","","0.0000","僅重要子公司東莞廣澤汽車飾件有限公司","","0.0003","產品"
"=""1339""","昭輝","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1340""","勝悅-KY","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1341""","富林-KY","21296.4300","越南子公司","ISO 14001","13850.7000","越南子公司","ISO 14001","無，無統計相關數據","","","2.4600","產品"
"=""1342""","八貫","3164.4237","111年","","4418.4722","111年","","1562.3219","111年","","無，無統計相關數據",""
"=""1402""","遠東新","1222934.0000","母公司及68家合併財務報表子公司","ISO 9001","1171343.0000","母公司及68家合併財務報表子公司","ISO 9001","8592304.0000","生產事業21個生產據點","ISO 9001","7.2400","百萬元營業額"
"=""1409""","新纖","103082.0121","新光合纖中壢廠","ISO 9001","168666.7777","新光合纖中壢廠","ISO 9001","無，無統計相關數據","","","12.9758","百萬元營業額"
"=""1410""","南染","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1413""","宏洲","14591.3131","宏洲纖維工業股份有限公司桃園工廠","ISO 14001","25703.7759","宏洲纖維工業股份有限公司桃園工廠","ISO 14001","無，無統計相關數據","","","12.8100","百萬元營業額"
"=""1414""","東和","31.3996","本公司","","14806.4191","本公司","","無，尚在盤查中。","","","65.3648","員工數"
"=""1416""","廣豐","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1417""","嘉裕","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1418""","東華","7.5513","母子公司","","448.3272","母子公司","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1419""","新紡","2206.7480","母公司及生產單位","","17272.5997","母公司及生產單位","","484.3284","母公司及生產單位","","0.0021","產品"
"=""1423""","利華","546.0000","母公司","","無，無統計相關數據","","","無，無統計相關數據","","","0.0000","營業額"
"=""1432""","大魯閣","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1434""","福懋","192398.0000","台灣廠區","ISO 9001","88692.0000","台灣廠區","ISO 9001","無，2022年度溫室氣體範疇3尚在盤查中","","","10.7400","百萬元營業額"
"=""1435""","中福","無，3","","","無，無生產活動","","","無，無生產活動","","","無，無生產活動",""
"=""1436""","華友聯","無，詳年報說明","","","70.5110","僅母公司","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1437""","勤益控","1.7700","母公司及部分子公司","","34.9400","母公司及部分子公司","","無，無統計相關數據","","","0.0458","百萬元營業額"
"=""1438""","三地開發","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1439""","雋揚","無，3","","","7.8752","母公司","","無，尚無排放範疇三之溫室氣體","","","無，無統計相關數據",""
"=""1440""","南紡","55207.4333","母公司","ISO 9001","80073.1047","母公司","ISO 9001","627638.1231","母公司","ISO 9001","12.0922","百萬元營業額"
"=""1441""","大東","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1442""","名軒","無，無統計相關數據","","","30.2880","母公司","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1443""","立益物流","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1444""","力麗","90107.4900","力麗化纖總廠","ISO 9001","68277.0800","力麗化纖總廠","ISO 9001","無，無統計相關數據","","","0.3568","產品"
"=""1445""","大宇","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1446""","宏和","無，3","","","276.3150","母公司","","無，無相關排放設備","","","無，無相關排放設備",""
"=""1447""","力鵬","114687.1000","母公司楊梅廠及尼龍廠","ISO 9001","111957.8000","母公司楊梅廠及尼龍廠","ISO 9001","無，無統計相關數據","","","1.0570","產品"
"=""1449""","佳和","12633.4620","母公司","","82121.7770","母公司","","無，無統計相關數據","","","0.0117","產品"
"=""1451""","年興","16472.1637","僅母公司","","19221.8104","僅母公司","","無，無統計相關數據","","","0.0013","產品"
"=""1452""","宏益","45.0645","包含合併財務報表之母子公司","","23152.3740","包含合併財務報表之母子公司","","無，無統計相關數據","","","0.9712","每公噸產品"
"=""1453""","大將","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1454""","台富","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1455""","集盛","27860.4850","母公司。","ISO 9001","129452.1260","母公司。","ISO 9001","3223.0580","母公司之龜山一廠、觀音四廠及台北辦事處。","ISO 9001","0.9171","產品"
"=""1456""","怡華","12.6330","台南官田廠","","82.1220","台南官田廠","","無，無統計相關數據","","","0.0117","服務"
"=""1457""","宜進","18.2391","宜進實業股份有限公司及子公司(光明絲織廠股份有限公司、宏洲纖維工業股份有限公司、億東纖維股份有限公司、欣懋投資股份有限公司、大田國際開發股份有限公司、大宜國際開發股份有限公司)台北公司","ISO 9001","54.8869","宜進實業股份有限公司及子公司(光明絲織廠股份有限公司、宏洲纖維工業股份有限公司、億東纖維股份有限公司、欣懋投資股份有限公司、大田國際開發股份有限公司、大宜國際開發股份有限公司)台北公司","ISO 9001","2939.8281","宜進實業股份有限公司及子公司(光明絲織廠股份有限公司、宏洲纖維工業股份有限公司、億東纖維股份有限公司、欣懋投資股份有限公司、大田國際開發股份有限公司、大宜國際開發股份有限公司)台北公司","ISO 9001","0.0860","百萬元營業額"
"=""1459""","聯發","0.0000","工廠","","22685.0000","工廠","","無，無統計相關數據","","","1.1585","產品"
"=""1460""","宏遠","68671.0800","母公司","ISO 9001","61883.9000","母公司","ISO 9001","無，無統計相關數據","","","9.4700","產品"
"=""1463""","強盛新","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1464""","得力","49421.3291","僅母公司","ISO 9001","33973.7710","僅母公司","ISO 9001","無，無統計相關數據","","","19.1405","百萬元營業額"
"=""1465""","偉全","無，3","","","無，NA","","","無，NA","","","無，NA",""
"=""1466""","聚隆","548.1700","母公司","","43806.1700","母公司","","7786.4700","母公司","","15.9300","百萬元營業額"
"=""1467""","南緯","無，無統計相關數據","","","296.0000","母公司","","無，無統計相關數據","","","無，詳永續報告書",""
"=""1468""","昶和","11.5739","母公司","","1897.0114","母公司","","無，無統計相關數據","","","2.7800","百萬元營業額"
"=""1470""","大統新創","19644.9700","合併財務報表之母子公司之桃園廠區","ISO 9001","5151.2800","合併財務報表之母子公司之桃園廠區","ISO 9001","無，無統計相關數據","","","4.6000","產量(公噸)"
"=""1471""","首利","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1472""","三洋實業","無，3","","","無，本公司於111/5/11通過溫室氣體排放，因組織尚未完整，尚未決定由何單位及何種方式進行數據蒐集。","","","無，本公司於111/5/11通過溫室氣體排放，因組織尚未完整，尚未決定由何單位及何種方式進行數據蒐集。","","","無，本公司於111/5/11通過溫室氣體排放，因組織尚未完整，尚未決定由何單位及何種方式進行數據蒐集。",""
"=""1473""","台南","7562.0000","包含合併財務報表之母子公司","","6373.0000","包含合併財務報表之母子公司","","無，無統計相關數據","","","0.0006","產品"
