"報告年度:2021","議題:水資源管理"
"公司代號","公司名稱","用水量(公噸)-用水量(公噸)","資料範圍-資料範圍","用水密集度-密集度(公噸/單位)","用水密集度-單位","取得驗證-取得驗證"
"=""1101""","台泥","2996430.0000","台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、25座製品廠)","0.4821","產品","ISO 9001"
"=""1102""","亞泥","2462000.0000","亞泥個體公司","0.6680","產品",""
"=""1103""","嘉泥","122.0000","包含企業團所有台灣營運據點（用水量含總部嘉新大樓承租戶）及日本沖繩飯店；目前統計尚不含大陸地區。","0.0555","營業額 2,197,183 (仟元)",""
"=""1104""","環泥","19100.0000","母公司之阿蓮水泥廠、海湖石膏板廠、直屬七座預拌混凝土場之自來水用量","0.0050","產值(新台幣千元)",""
"=""1108""","幸福","972782.0000","幸福水泥(股)公司東澳廠","1.5720","產品",""
"=""1109""","信大","224407.0410","僅信大母公司南聖湖工廠","無，無統計相關數據","",""
"=""1110""","東泥","17600.0000","工廠","0.0253","產品",""
"=""1201""","味全","1906416.0000","1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠) 2.台中廠、斗六廠為地下水1,307,550公噸佔68.6%，總公司、中央研究所、營業所、高雄廠為自來水598,866公噸佔31.4%。","12.8200","產品",""
"=""1203""","味王","325390.0000","自來水+地下水","146.4570","營業額",""
"=""1210""","大成","無，無統計相關數據","","無，無統計相關數據","",""
"=""1213""","大飲","98.5870","僅母公司","無，NA","","ISO 14001"
"=""1215""","卜蜂","922914.0000","南投肉食品加工廠、台中飼料廠、高雄飼料廠","無，無統計相關數據","",""
"=""1216""","統一","4232747.0000","僅母公司","992.9700","營業收入千萬元",""
"=""1217""","愛之味","416493.0000","母公司自來水用量","58.7000","產品",""
"=""1218""","泰山","616697.0000","泰山企業所屬田中油脂廠、田中食品廠、水產飼料廠、田中行政大樓、台北長安大樓辦公室。","71.5430","營業額",""
"=""1219""","福壽","396858.0000","母公司、子公司","0.0268","營業額",""
"=""1220""","台榮","790354.0000","本公司雲林廠及高雄飼料廠","29966.1534","營業額(億元)",""
"=""1225""","福懋油","58085.0000","涵蓋範圍:僅母公司","無，無統計相關數據","",""
"=""1227""","佳格","427914.0000","佳格母公司","0.3420","萬元營業額",""
"=""1229""","聯華","51.7700","母公司-聯華實業投資控股(股)公司以及 子公司-聯華製粉食品(股)公司、聯華置產(股)公司","0.0082","營業額;單位為新台幣佰萬元",""
"=""1231""","聯華食","595.3570","臺灣地區的總公司及各工廠之所有營運相關之活動","0.0626","百萬營業額",""
"=""1232""","大統益","236050.0000","僅母公司","0.2370","黃豆總加工量",""
"=""1233""","天仁","87230.0000","本公司天仁茶業股份有限公司直營單位","78.9026","分母以營業額為百萬元之計算",""
"=""1234""","黑松","809000.0000","中壢廠","4.1200","產品",""
"=""1235""","興泰","3310.0000","依110年台灣自來水公司使用度數資訊","0.0806","營業額",""
"=""1236""","宏亞","47513.0000","母公司","0.0000","營業額",""
"=""1256""","鮮活果汁-KY","175016.0000","集團主要營運主體，子公司蘇州鮮活飲品股份有限公司","48.5860","營業額",""
"=""1301""","台塑","24602210.0000","母公司2020年經第三方查證數據，請參閱本公司2021年永續報告書P.73","17679.4600","耗水量/當年度個體財報營收(億元)，請參閱本公司2021年永續報告書P.73","ISO 14001"
"=""1303""","南亞","20830240.0000","母公司","0.0958","單位:公噸/110年個體營業額(千元)。","ISO 14001"
"=""1304""","台聚","998098.0000","台聚高雄廠","4.0020","產品","ISO 14001"
"=""1305""","華夏","2964600.0000","華夏頭份廠、華聚林園廠、台氯林園廠","2.6200","產品",""
"=""1307""","三芳","165861.0000","母公司","219.3900","百萬營業額",""
"=""1308""","亞聚","508888.0000","亞聚林園廠","3.7400","產品",""
"=""1309""","台達化","1110246.0000","前鎮廠、林園廠、頭份廠、中山廠","1.9500","產品",""
"=""1310""","台苯","1427585.0000","110年高雄廠原水用量。","3.7700","產品",""
"=""1312""","國喬","2469000.0000","國喬石油化學股份有限公司高雄廠","135.9300","營業額",""
"=""1313""","聯成","142250.0000","聯成林園廠","無，無統計相關數據","",""
