報告年度:2021,議題:廢棄物管理,議題:水資源管理,議題:溫室氣體排放,議題:能源管理,報告年度:2022,報告年度:2023
廢棄物密集度-單位,取得驗證-取得驗證,,,,,
產品,ISO 14001,,,,,
產品,ISO14001、ISO9001,,,,,
"營業額 2,042,623 (仟元)",,,,,,
產值(新台幣千元),,,,,,
,,,,,,
,,,,,,
產品,,,,,,
產品,ISO 14001,,,,,
營業額,,,,,,
,,,,,,
,,,,,,
,,,,,,
營業收入千萬元,ISO 14001,,,,,
產品,,,,,,
營業額,,,,,,
營業額,,,,,,
營業額(億元),,,,,,
,,,,,,
萬元營業額,ISO 14001,,,,,
營業額;單位為新台幣佰萬元,,,,,,
百萬營業額,,,,,,
黃豆總加工量,ISO 14001,,,,,
分母以營業額為百萬元之計算,,,,,,
產品,,,,,,
,,,,,,
營業額,,,,,,
營業額,,,,,,
廢棄物總量/當年度個體財報營收(億元)，請參閱本公司2021年永續報告書P.81,,,,,,
單位:公噸/110年個體營業額(千元)。,ISO 14001,,,,,
產品,ISO 14001,,,,,
產品,ISO 14001,,,,,
百萬營業額,,,,,,
產品,ISO 14001,,,,,
產品,ISO 14001,,,,,
產品,,,,,,
營業額,,,,,,
,,,,,,
"廢棄物總量:87194公噸，營業收入:35,163,380仟元",ISO 14001,,,,,
,,,,,,
,,,,,,
百萬營業額,,,,,,
產品,,,,,,
台灣永裕+上海永裕 (90.28+311.363)/(1907428千元+1281058千元)=0.000125,,,,,,
營業額,ISO 14001,,,,,
,,,,,,
營業額億元,ISO 14001,,,,,
,,,,,,
平方米(建築面積),,,,,,
,,,,,,
,,,,,,
產品,ISO 14001,,,,,
,,,,,,
產品,ISO 14001,,,,,
,,,,,,
,,,,,,
產品,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
產品,,,,,,
元營業額,,,,,,
,,,,,,
營業額 百萬元(新台幣),,,,,,
無生產活動，以平均每月生活廢棄物量計算,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
產量公噸,ISO 14001,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
噸,,,,,,
,,,,,,
產品,,,,,,
仟元營業額,,,,,,
產品,,,,,,
,,,,,,
,,,,,,
產品,,,,,,
一般廢棄物,,,,,,
,,,,,,
產品,,,,,,
,,,,,,
,,,,,,
產品,ISO 14001,,,,,
,,,,,,
產品,,,,,,
,,,,,,
,,,,,,
產量,,,,,,
,,,,,,
,,,,,,
產品,,,,,,
,,,,,,
,,,,,,
營業額,,,,,,
營業額(百萬元),,,,,,
,,,,,,
營業額,,,,,,
,,,,,,
,,,,,,
營業額,ISO 14001,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
產品,ISO 14001,,,,,
,,,,,,
營業額,,,,,,
產能總重,,,,,,
公噸/百萬元營業額,,,,,,
,,,,,,
營業額,ISO 14001,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
產品,ISO 14001,,,,,
產值,ISO 14001,,,,,
,,,,,,
百萬營業額,ISO 14001,,,,,
仟元營業額/噸,,,,,,
,,,,,,
,,,,,,
,,,,,,
百萬營業額,,,,,,
產品,ISO 14001,,,,,
百萬元營業額,ISO 14001,,,,,
百萬營業額,ISO 14001,,,,,
,ISO 9001,,,,,
,,,,,,
,,,,,,
產品,ISO 14001,,,,,
每百萬元產值,,,,,,
每百萬營業額,ISO 14001,,,,,
營業額仟元,,,,,,
,,,,,,
,,,,,,
產品,ISO 14001,,,,,
百萬營業額,ISO 14001,,,,,
營業額,,,,,,
,,,,,,
,ISO 14001,,,,,
噸/百萬元,,,,,,
產品,,,,,,
營業額,,,,,,
,,,,,,
,ISO 14001,,,,,
營業額,,,,,,
營業額,,,,,,
每百萬營收,ISO 14001,,,,,
百萬營業額,ISO 14001,,,,,
百萬營業額,,,,,,
營業額；單位：公噸/仟元,,,,,,
百萬元產值,ISO 14001,,,,,
植物保護產品佰萬元銷售額,ISO 14001,,,,,
產品,,,,,,
產品,,,,,,
產品,,,,,,
營業額573445.0898萬元,,,,,,
營業額,,,,,,
產品,確信準則公報第一號,,,,,
產品,ISO 14001,,,,,
營業額,,,,,,
百萬元營業額,,,,,,
,ISO9001及ISO14001,,,,,
產品,,,,,,
營業額,,,,,,
,,,,,,
噸CO2e/百萬營收,,,,,,
營業額,,,,,,
營業額仟元,ISO 14001,,,,,
產品,,,,,,
,,,,,,
,,,,,,
營業額,,,,,,
每仟元產值,,,,,,
產品,,,,,,
產品,,,,,,
以佰萬元營業額為單位,,,,,,
,,,,,,
,,,,,,
,,,,,,
千萬元營業額,,,,,,
,ISO 14001,,,,,
,,,,,,
產品,ISO 14001,,,,,
,,,,,,
產品,,,,,,
營業額,ISO 14001,,,,,
百萬營業額,,,,,,
,,,,,,
"噸/噸(工紙、家品、紙與紙板) ；339,915/1,664,365 (造紙廠)",,,,,,
,,,,,,
,,,,,,
產品,,,,,,
,,,,,,
廢棄物量(公斤)/鋼胚(公噸),ISO 14001,,,,,
鋼胚產量,ISO 14001,,,,,
,,,,,,
產品,ISO 14001,,,,,
產品,ISO 14001,,,,,
產品,ISO 14001,,,,,
百萬營業額,ISO 14001,,,,,
,,,,,,
產品,ISO 14001,,,,,
產品,ISO 14001,,,,,
產品,,,,,,
,ISO14000,,,,,
,,,,,,
產量(公噸),ISO 14001,,,,,
,,,,,,
營業額,,,,,,
產品,中華民國確信準則公報第一號「非屬歷史性財務資訊查核或核閱之確信案件」標準,,,,,
,,,,,,
產品,,,,,,
營業額,ISO 14001,,,,,
億元營業額,,,,,,
,,,,,,
,,,,,,
產品,ISO 14001,,,,,
,,,,,,
百萬營業額,ISO 14001,,,,,
千組產品,ISO 14001,,,,,
,,,,,,
,ISO 14001,,,,,
產品,ISO 14001,,,,,
每噸產品,,,,,,
每千噸產品量,ISO 14001,,,,,
產品,ISO 14001,,,,,
產品,,,,,,
產品,ISO 14001,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
產品,,,,,,
產品為楊梅廠+新竹廠年車輛生產台數總量,ISO 14001,,,,,
產品,,,,,,
人,,,,,,
"營業額15,875,982仟元",,,,,,
百萬營業額,,,,,,
人均生活廢棄物產出量(公噸/年-人),ISO 14001,,,,,
人,ISO 14001,,,,,
,ISO 14001,,,,,
,,,,,,
,,,,,,
,,,,,,
產品,,,,,,
,,,,,,
,,,,,,
,,,,,,
百萬營收,ISO 14001,,,,,
產品,ISO 14001,,,,,
wafer-m2,ISO 14001,,,,,
,,,,,,
產值(單位：百萬美金),ISO 14001,,,,,
營業額,,,,,,
產品,,,,,,
員工人數,ISO 14001,,,,,
產品,,,,,,
百萬新台幣營業額,UL2799,,,,,
110年每人合計產生46KG廢棄物,,,,,,
百萬元營業額,,,,,,
營業額;單位為新台幣百萬元,UL 2799 (昆山2廠已取得UL 2799白金級認證，重慶(CQA)、南京廠、昆山1廠、昆山3廠持續執行符合UL 2799白金級管理標準。),,,,,
百萬營業額,ISO 14001,,,,,
百萬營業額,,,,,,
營業額,ISO 14001,,,,,
單位晶圓委外廢棄物處理量（公斤／十二吋晶圓當量－光罩數）,UL 2799,,,,,
"100.863公噸/761人；精英總部大樓2021年人均生活廢棄物產生量為0.1325公噸/人.年；精英總部大樓總垃圾量100.863公噸, 資源回收量23.983公噸",,,,,,
員工人數,,,,,,
年度總營收(百萬元),,,,,,
產品,,,,,,
佰萬元營業額,ISO 14001,,,,,
產品,,,,,,
,ISO 14001,,,,,
百萬元營業額,,,,,,
員工人數,,,,,,
,,,,,,
,,,,,,
,ISO 14001,,,,,
營業額,ISO 14001,,,,,
百萬營業額,,,,,,
營業額,ISO9001；ISO14001,,,,,
公噸/ M2,ISO 14001,,,,,
千億營業額,ISO 14001,,,,,
營業額,ISO 14001,,,,,
,,,,,,
,ISO 14001,,,,,
,,,,,,
,,,,,,
,,,,,,
營業額,ISO 14001,,,,,
產量,,,,,,
百萬元營業額,ISO 14001,,,,,
產品,ISO 14001,,,,,
,ISO 14001,,,,,
營業額,,,,,,
營業額,ISO 14001,,,,,
,,,,,,
百萬營業額,ISO 14064-1：2018類別4營運廢棄物,,,,,
營業額,ISO 14001,,,,,
營業額,,,,,,
產品,ISO 14001,,,,,
,ISO 14001,,,,,
,ISO 14001,,,,,
營業額,ISO 14001,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
營業額百萬,AA1000,,,,,
,,,,,,
,,,,,,
人-年 (91.07噸/345人-年),ISO 14001,,,,,
,ISO 14001,,,,,
,,,,,,
,,,,,,
"835,000萬元",,,,,,
千顆晶粒,ISO 14001,,,,,
產品(米平方),ISO9001及 ISO14001,,,,,
百萬營業額,本公司於2021年導入BS 8001循環經濟指引，委託經環保機關認許的公民營廢棄物處理機構處理，並成為全台首家取得BS 8001循環經濟查核之電信業者。,,,,,
,ISO 14001,,,,,
億營業額,,,,,,
,,,,,,
營業額,,,,,,
營業額,ISO9001/ISO14001,,,,,
百萬營業額,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
百萬營業額,,,,,,
百萬營業額,,,,,,
產品,,,,,,
百萬營收,,,,,,
,,,,,,
,,,,,,
營業額,,,,,,
百萬營業額,,,,,,
營業額單位為佰萬元,ISO 9001,,,,,
,,,,,,
營業額單位為百萬元,ISO 14001,,,,,
,,,,,,
,,,,,,
,,,,,,
百萬營業額,ISO 14001,,,,,
營業額,ISO 14001,,,,,
單位：噸/人,按ISO 14064-1:2018進行溫室氣體盤查，並通過SGS-Taiwan查證,,,,,
百萬營業額,,,,,,
百萬營業額,,,,,,
母公司員工人數,,,,,,
產品,,,,,,
人,ISO 14001,,,,,
年-人,AA1000,,,,,
,,,,,,
,,,,,,
百萬營業額,,,,,,
,,,,,,
,,,,,,
,,,,,,
營業額,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
產品,ISO 14001,,,,,
,,,,,,
營業額,ISO 14001,,,,,
營業額,ISO 14001,,,,,
營業額,,,,,,
