"報告年度:2021","議題:溫室氣體排放"
"公司代號","公司名稱","範疇一-排放量(噸CO2e)","範疇一-資料邊界","範疇一-取得驗證","範疇二-排放量(噸CO2e)","範疇二-資料邊界","範疇二-取得驗證","範疇三-排放量(噸CO2e)","範疇三-資料邊界","範疇三-取得驗證","溫室氣體排放密集度-密集度(噸CO2e/單位)","溫室氣體排放密集度-單位"
"=""1101""","台泥","4798945.0000","台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、25座製品廠)","ISO 9001","220392.0000","台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、25座製品廠)","ISO 9001","29575.0000","台泥台灣個體公司(涵蓋營運集團總部、研究室、2座水泥廠)","ISO 9001","0.8070","產品"
"=""1102""","亞泥","2967231.0000","亞洲水泥個體公司","ISO 9001","172203.0000","亞洲水泥個體公司","ISO 9001","419501.0000","亞洲水泥個體公司","ISO 9001","0.8520","產品"
"=""1103""","嘉泥","209.1565","合併報表之母子公司但不包含台灣地區營收佔比相較微小之資產出租公司藍鈞及嘉昇建設，及日本區，大陸區所有轉投資公司。","ISO 9001","4007.1970","合併報表之母子公司但不包含台灣地區營收佔比相較微小之資產出租公司藍鈞及嘉昇建設，及日本區，大陸區所有轉投資公司。","ISO 9001","1353.9461","合併報表之母子公司但不包含台灣地區營收佔比相較微小之資產出租公司藍鈞及嘉昇建設，及日本區，大陸區所有轉投資公司。","ISO 9001","0.0027","營業額2,042,623 (仟元)"
"=""1104""","環泥","18362.0000","母公司之阿蓮水泥廠、海湖石膏板廠、直屬七座預拌混凝土場","","18273.0000","母公司之阿蓮水泥廠、海湖石膏板廠、直屬七座預拌混凝土場","","無，無統計相關數據","","","0.0095","產值(新台幣千元)"
"=""1108""","幸福","568272.2000","幸福水泥(股)公司東澳廠","ISO 9001","39493.3400","幸福水泥(股)公司東澳廠","ISO 9001","無，無統計相關數據","","","0.5200","產品"
"=""1109""","信大","574039.8381","僅信大母公司南聖湖工廠","ISO 9001","43746.2880","僅信大母公司南聖湖工廠","ISO 9001","無，無統計相關數據","","","無，無統計相關數據",""
"=""1110""","東泥","2738.0000","工廠","","20881.0000","工廠","","無，無統計相關數據","","","0.0340","產品"
"=""1201""","味全","11135.1700","1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)。 2.直接擁有或控制的排放源所直接排放的溫室氣體  含2-1營業所/工廠購汽油柴油鍋爐天然氣等排放及辦公室人員活動之化糞池清除作業散逸排放。  含2-2工廠購原料之製麴、發酵雙醣等於製程中排放。","","21106.0300","1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)。 2.外購電力產生溫室氣體排放。","","無，1.價值鏈上發生的所有間接排放，包括上游和下游的排放而在範疇2中並未包括。 2.母公司未盤查範疇(三)上游運輸/通勤商旅/下游運輸等間接溫室氣體排放。 3.預定112年起聘請顧問公司輔導盤查及認證。","","","0.2200","產品"
"=""1203""","味王","7168.9480","母公司","","4233.8410","母公司","","無，無統計相關數據","","","5.1320","營業額"
"=""1210""","大成","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1213""","大飲","693.7300","僅母公司","","無，NA","","","無，NA","","","無，NA",""
"=""1215""","卜蜂","45272.0000","南投肉食品加工廠、台中飼料廠、高雄飼料廠","","39870.0000","南投肉食品加工廠、台中飼料廠、高雄飼料廠","","無，無統計相關數據","","","7.0000","南投肉食品加工廠:7.0噸CO2e/百萬營收 ; 飼料廠:0.0267噸CO2e/產量(噸)"
"=""1216""","統一","58384.0000","僅母公司","ISO 9001","96160.0000","僅母公司","ISO 9001","1391235.0000","僅母公司","ISO 9001","36.2500","營業收入千萬元"
"=""1217""","愛之味","1540.0000","母公司之天然氣與燃料油","","5799.0000","母公司之外購電力、外購蒸氣、自來水","","無，無統計相關數據","","","1.0300","產品"
"=""1218""","泰山","3097.1850","泰山企業所屬田中油脂廠、田中食品廠、水產飼料廠、田中行政大樓、台北長安大樓辦公室。","ISO 14001","6394.4110","泰山企業所屬田中油脂廠、田中食品廠、水產飼料廠、田中行政大樓、台北長安大樓辦公室。","ISO 14001","1795.6780","泰山企業所屬田中油脂廠、田中食品廠、水產飼料廠、田中行政大樓、台北長安大樓辦公室。","ISO 14001","1.1011","營業額"
"=""1219""","福壽","6960.1954","資料涵蓋範圍母公司兩個主要生產廠域","ISO 9001","10597.8797","資料涵蓋範圍母公司兩個主要生產廠域","ISO 9001","4052.1123","資料涵蓋範圍母公司兩個主要生產廠域","ISO 9001","1.6000","營業額"
"=""1220""","台榮","15926.7915","本公司雲林廠","","15347.2564","本公司雲林廠","","無，無統計相關數據","","","1900.4624","營業額(億元)"
"=""1225""","福懋油","2392.5900","涵蓋範圍:僅母公司","","2318.6400","涵蓋範圍:僅母公司","","無，無統計相關數據","","","無，無統計相關數據",""
"=""1227""","佳格","8844.0000","佳格母公司","","11921.0000","佳格母公司","","無，無統計相關數據","","","0.0170","萬元營業額"
"=""1229""","聯華","1315.3200","母公司-聯華實業投資控股(股)公司以及 子公司-聯華製粉食品(股)公司、聯華置產(股)公司","ISO 14001","14868.5100","母公司-聯華實業投資控股(股)公司以及 子公司-聯華製粉食品(股)公司、聯華置產(股)公司","ISO 14001","3014.2700","母公司-聯華實業投資控股(股)公司以及 子公司-聯華製粉食品(股)公司、聯華置產(股)公司","ISO 14001","2.5700","營業額;單位為新台幣佰萬元"
"=""1231""","聯華食","7847.9400","臺灣地區的總公司及各工廠之所有營運相關之活動","","15704.2400","臺灣地區的總公司及各工廠之所有營運相關之活動","","無，尚未進行盤查","","","2.4782","百萬營業額"
"=""1232""","大統益","4089.6208","僅母公司","ISO 9001","112170.8936","僅母公司","ISO 9001","無，無統計相關數據","","","0.1249","黃豆總加工量"
"=""1233""","天仁","無，3","","","2617.0000","本公司天仁茶業股份有限公司直營單位","","無，無統計相關數據","","","2.0646","分母以營業額為百萬元之計算"
"=""1234""","黑松","9166.6300","台北總公司、中壢廠與斗六廠","ISO 14001","15150.7500","台北總公司、中壢廠與斗六廠","ISO 14001","6256.4300","台北總公司、中壢廠與斗六廠","ISO 14001","0.1600","產品"
