"報告年度:2023","議題:溫室氣體排放"
"公司代號","公司名稱","直接(範疇一)溫室氣體-數據(公噸CO₂e)","直接(範疇一)溫室氣體-資料邊界","直接(範疇一)溫室氣體-確信範圍","能源間接(範疇二)溫室氣體-數據(公噸CO₂e)","能源間接(範疇二)溫室氣體-資料邊界","能源間接(範疇二)溫室氣體-確信範圍","其他間接(範疇三)溫室氣體-數據(公噸CO₂e)","其他間接(範疇三)溫室氣體-資料邊界","其他間接(範疇三)溫室氣體-確信範圍","溫室氣體排放密集度-密集度(公噸CO₂e/百萬元營業額)"
"=""1240""","茂生農經","1,216.3000","僅母公司","N/A","1,837.1900","僅母公司","N/A","N/A","N/A","N/A",""
"=""1259""","安心","N/A","N/A","N/A","27,147.8250","僅母公司","N/A","N/A","N/A","N/A","4.5703"
"=""1264""","德麥","1,627.8190","母公司","N/A","1,519.5290","母公司","N/A","N/A","N/A","N/A","0.9501"
"=""1268""","漢來美食","5,113.1400","範圍為漢來美食全台各分公司及中央工廠","N/A","10,019.8500","範圍為漢來美食全台各分公司及中央工廠","N/A","N/A","N/A","N/A","3.0767"
"=""1336""","台翰","402.9800","台灣總部、越南廠區、菲律賓廠區、東莞廠區","僅越南廠通過","15,709.4200","台灣總部、越南廠區、菲律賓廠區、東莞廠區","僅越南廠通過","N/A","N/A","N/A","6.9600"
"=""1565""","精華","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""1569""","濱川","2,877.3400","母公司、蘇州濱川精密工業有限公司、蘇州豐川電子科技有限公司及重慶豐川電子科技有限公司","蘇州豐川電子科技有限公司及重慶豐川電子科技有限公司","25,434.3500","母公司、蘇州濱川精密工業有限公司、蘇州豐川電子科技有限公司及重慶豐川電子科技有限公司","蘇州豐川電子科技有限公司及重慶豐川電子科技有限公司","10,739.8300","母公司及重慶豐川電子科技有限公司","重慶豐川電子科技公司 ","8.2182"
"=""1570""","力肯","25.9816","母公司公務車及私車公用汽油使用量之溫室氣體排放數據","N/A","315.5130","母公司用電之溫室氣體排放數據","N/A","N/A","N/A","N/A","0.8025"
"=""1580""","新麥","172.7305","台北總公司、台中區及高雄區","N/A","104.0531","台北總公司、台中區及高雄區","N/A","N/A","N/A","N/A",""
"=""1584""","精剛","6,819.5352","本廠、二廠、精煉廠","N/A","12,287.0697","本廠、二廠、精煉廠","N/A","N/A","N/A","N/A","7.0000"
"=""1586""","和勤","252.1125","和勤精機股份有限公司 彰化縣伸港鄉興工路40號","N/A","1,826.1263","和勤精機股份有限公司 彰化縣伸港鄉興工路40號","N/A","1,210.3217","和勤精機股份有限公司 彰化縣伸港鄉興工路40號","N/A","5.0878"
"=""1591""","駿吉-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""1593""","祺驊","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""1595""","川寶","484.2100","僅母公司","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""1599""","宏佳騰","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""1742""","台蠟","416.0848","母公司","N/A","93.5043","母公司","N/A","N/A","N/A","N/A","4.1498"
"=""1777""","生泰","3,002.2013","生泰公司","2023.01.01~2023.12.31","3,923.9816","生泰公司","2023.01.01~2023.12.31","1,973.2097","生泰公司","2023.01.01~2023.12.31","7.9838"
"=""1781""","合世","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""1784""","訊聯","495.8700","包含合併財務報表之母子公司","N/A","1,308.5600","包含合併財務報表之母子公司","N/A","N/A","N/A","N/A","1.6006"
"=""1785""","光洋科","5,668.0000","光洋應材母公司(科工廠、光科園區、環科廠)","光洋應材母公司三個廠址(科工廠、光科園區、環科廠)","27,274.0000","光洋應材母公司(科工廠、光科園區、環科廠)","光洋應材母公司三個廠址(科工廠、光科園區、環科廠)","151,851.0000","光洋應材母公司(科工廠、光科園區、環科廠)","光洋應材母公司三個廠址(科工廠、光科園區、環科廠)","0.0040"
"=""1788""","杏昌","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""1796""","金穎生技","N/A","N/A","N/A","9,544.3715","僅母公司新營廠及南科廠","N/A","N/A","N/A","N/A",""
"=""1799""","易威","6.5182","2023年本公司溫室氣體盤查報告書組織邊界設定參考 ISO 14064-1：2018 標準與世界永續發展協會/世界資源研究院 (WBCSD/WRI)溫室氣體盤查議定書之要求，以臺灣本土地理邊界為範圍，採用營運控制權法，對於本公司所管理或營運控制下的設施造成之溫室氣體排放量，組織將 100% 認列。組織排放邊界的設定，範圍涵蓋總公司〈新竹市科學園區研發二路 10 號 1 樓〉的直接與間接排放源進行鑑別。 台灣總公司(科學園區研發二路 10 號 1 樓) ","N/A","21.0613","2023年本公司溫室氣體盤查報告書組織邊界設定參考 ISO 14064-1：2018 標準與世界永續發展協會/世界資源研究院 (WBCSD/WRI)溫室氣體盤查議定書之要求，以臺灣本土地理邊界為範圍，採用營運控制權法，對於本公司所管理或營運控制下的設施造成之溫室氣體排放量，組織將 100% 認列。組織排放邊界的設定，範圍涵蓋總公司〈新竹市科學園區研發二路 10 號 1 樓〉的直接與間接排放源進行鑑別。 台灣總公司(科學園區研發二路 10 號 1 樓) ","N/A","8.0857","2023年本公司溫室氣體盤查報告書組織邊界設定參考 ISO 14064-1：2018 標準與世界永續發展協會/世界資源研究院 (WBCSD/WRI)溫室氣體盤查議定書之要求，以臺灣本土地理邊界為範圍，採用營運控制權法，對於本公司所管理或營運控制下的設施造成之溫室氣體排放量，組織將 100% 認列。組織排放邊界的設定，範圍涵蓋總公司〈新竹市科學園區研發二路 10 號 1 樓〉的直接與間接排放源進行鑑別。 台灣總公司(科學園區研發二路 10 號 1 樓) ","N/A","0.1015"
"=""1813""","寶利徠","1.5600","母公司","N/A","5,475.5100","母公司","N/A","N/A","N/A","N/A","29.3300"
"=""1815""","富喬","66,195.4710","母公司","母公司","85,242.5788","母公司","母公司","N/A","N/A","N/A","52.5992"
"=""2035""","唐榮公司","29,842.3861","高雄市小港區沿海二路4號","唐榮鐵工廠股份有限公司","56,537.8815","高雄市小港區沿海二路4號","唐榮鐵工廠股份有限公司","N/A","N/A","N/A","8.0679"
"=""2061""","風青","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""2063""","世鎧","316.8100","岡山廠、路竹廠、包裝廠、複材廠及竹南廠，共5個廠區","岡山廠、路竹廠、包裝廠、複材廠及竹南廠，共5個廠區","5,240.1243","岡山廠、路竹廠、包裝廠、複材廠及竹南廠，共5個廠區","岡山廠、路竹廠、包裝廠、複材廠及竹南廠，共5個廠區","N/A","N/A","N/A","3.8897"
"=""2064""","晉椿","2,803.7243","僅母公司，盤查邊界：晉椿鹿港一廠、二廠、中壢辦事處","僅母公司，盤查邊界：晉椿鹿港一廠、二廠、中壢辦事處","2,927.9106","僅母公司，盤查邊界：晉椿鹿港一廠、二廠、中壢辦事處","僅母公司，盤查邊界：晉椿鹿港一廠、二廠、中壢辦事處","1,583.0744","僅母公司，盤查邊界：晉椿鹿港一廠、二廠、中壢辦事處","僅母公司，盤查邊界：晉椿鹿港一廠、二廠、中壢辦事處","4.9628"
"=""2065""","世豐","1,709.7029","僅母公司","僅母公司","7,482.4007","僅母公司","僅母公司","55,165.0795","僅母公司","N/A","3.9560"
"=""2066""","世德","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""2067""","嘉鋼","626.2199","母公司頭橋一廠","N/A","7,543.1824","母公司頭橋一廠","N/A","1,557.5992","母公司頭橋一廠","N/A","11.9962"
"=""2070""","精湛","60.1848","母公司","N/A","147.2229","母公司","N/A","98.8035","母公司","N/A","0.4604"
"=""2073""","雄順","2,786.6049","母公司","母公司","15,670.1333","母公司","母公司","14,398.3452","母公司","母公司","35.7124"
"=""2221""","大甲","673.0000","僅母公司","N/A","1,568.0000","僅母公司","N/A","9,672.0000","僅母公司","N/A",""
"=""2230""","泰茂","126.3140","泰茂實業股份有限公司","N/A","907.2760","泰茂實業股份有限公司","N/A","9.0620","泰茂實業股份有限公司","N/A",""
"=""2235""","謚源","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""2596""","綠意","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""2640""","大車隊","0.0000","母公司","N/A","265.3600","母公司","N/A","N/A","N/A","N/A",""
"=""2641""","正德","1,280.1321","正德海運母公司+船隊","N/A","52.1136","正德海運(高雄市苓雅區海邊路31號3樓)","N/A","77,225.2427","船隊(燃油)","N/A","58.7565"
"=""2643""","捷迅","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""2718""","晶悅","N/A","N/A","N/A","104.3600","包含合併財務報表之母子公司","N/A","N/A","N/A","N/A","0.0480"
"=""2719""","燦星旅","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""2724""","藝舍-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""2726""","雅茗-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
