"報告年度:2023","議題:功能性委員會"
"公司代號","公司名稱","薪酬委員會席次(席)-薪酬委員會席次(席)","薪酬委員會獨立董事席次(席)-薪酬委員會獨立董事席次(席)","薪酬委員會出席率-薪酬委員會出席率","審計委員會席次(席)-審計委員會席次(席)","審計委員會出席率-審計委員會出席率"
"=""1240""","茂生農經","3","3","100.00%","3","100.00%"
"=""1259""","安心","3","3","100.00%","3","100.00%"
"=""1264""","德麥","3","3","100.00%","3","100.00%"
"=""1268""","漢來美食","3","3","100.00%","3","100.00%"
"=""1336""","台翰","4","4","100.00%","4","100.00%"
"=""1565""","精華","3","3","100.00%","3","100.00%"
"=""1569""","濱川","3","3","83.00%","3","93.00%"
"=""1570""","力肯","3","3","100.00%","3","100.00%"
"=""1580""","新麥","3","3","100.00%","3","100.00%"
"=""1584""","精剛","3","3","91.67%","4","96.43%"
"=""1586""","和勤","4","4","100.00%","4","100.00%"
"=""1591""","駿吉-KY","3","3","100.00%","3","100.00%"
"=""1593""","祺驊","4","4","100.00%","4","100.00%"
"=""1595""","川寶","3","3","100.00%","3","90.48%"
"=""1599""","宏佳騰","4","4","100.00%","4","100.00%"
"=""1742""","台蠟","3","3","100.00%","3","100.00%"
"=""1777""","生泰","3","3","100.00%","3","100.00%"
"=""1781""","合世","3","3","100.00%","3","91.67%"
"=""1784""","訊聯","3","3","91.67%","3","91.67%"
"=""1785""","光洋科","4","4","100.00%","3","100.00%"
"=""1788""","杏昌","3","3","80.00%","3","80.00%"
"=""1796""","金穎生技","3","3","100.00%","3","100.00%"
"=""1799""","易威","3","3","100.00%","4","96.15%"
"=""1813""","寶利徠","4","4","100.00%","4","100.00%"
"=""1815""","富喬","3","3","100.00%","3","100.00%"
"=""2035""","唐榮公司","3","3","100.00%","3","100.00%"
"=""2061""","風青","3","3","100.00%","3","100.00%"
"=""2063""","世鎧","3","3","100.00%","3","100.00%"
"=""2064""","晉椿","3","3","88.89%","3","86.67%"
"=""2065""","世豐","3","3","100.00%","3","100.00%"
"=""2066""","世德","3","3","100.00%","3","100.00%"
"=""2067""","嘉鋼","3","3","95.23%","3","93.94%"
"=""2070""","精湛","3","3","100.00%","3","100.00%"
"=""2073""","雄順","3","3","100.00%","3","100.00%"
"=""2221""","大甲","3","3","66.67%","3","83.33%"
"=""2230""","泰茂","3","3","86.67%","3","86.67%"
"=""2235""","謚源","3","3","100.00%","3","100.00%"
"=""2596""","綠意","3","3","100.00%","4","100.00%"
"=""2640""","大車隊","4","4","95.45%","4","95.45%"
"=""2641""","正德","3","3","100.00%","4","100.00%"
"=""2643""","捷迅","3","3","89.00%","3","92.00%"
"=""2718""","晶悅","3","3","100.00%","3","100.00%"
"=""2719""","燦星旅","3","3","100.00%","3","100.00%"
"=""2724""","藝舍-KY","3","3","100.00%","3","100.00%"
"=""2726""","雅茗-KY","3","3","88.89%","3","66.67%"
"=""2729""","瓦城","3","3","100.00%","3","100.00%"
"=""2732""","六角","3","3","88.89%","3","95.24%"
"=""2734""","易飛網","3","3","77.78%","3","93.33%"
"=""2736""","富野","3","3","100.00%","3","94.44%"
"=""2740""","天蔥","3","3","100.00%","3","100.00%"
"=""2743""","山富","3","3","88.89%","3","94.44%"
"=""2745""","五福","3","3","100.00%","3","93.33%"
"=""2752""","豆府","3","3","100.00%","3","93.33%"
"=""2754""","亞洲藏壽司","3","3","100.00%","3","100.00%"
"=""2755""","揚秦","3","3","100.00%","3","95.24%"
