"報告年度:2023","議題:投資人溝通"
"公司代號","公司名稱","公司年度召開法說會次數(次)-公司年度召開法說會次數(次)","利害關係人或公司治理專區連結-利害關係人或公司治理專區連結"
"=""1240""","茂生農經","1","https://www.morn-sun.com.tw/"
"=""1259""","安心","2","http://www.mos.com.tw/investWindow.php"
"=""1264""","德麥","2","http://www.tehmag.com.tw/webnews/view.php?sn=3548"
"=""1268""","漢來美食","0","www.hilai-foods.com"
"=""1336""","台翰","1","https://www.thpt.com.tw/contact/"
"=""1565""","精華","1","http://www.stshine.com.tw"
"=""1569""","濱川","1","https://www.hamagawa.com.tw/?page_id=11893"
"=""1570""","力肯","0","http://www.depoan.com/about_03.php?ef=1"
"=""1580""","新麥","2","https://www.sinmag.com.tw/msg/message-利害關係人專區-8.html"
"=""1584""","精剛","2","http://www.s-tech.com.tw/"
"=""1586""","和勤","2","http://www.cftc.tw"
"=""1591""","駿吉-KY","1","www.inmax-fasteners.com"
"=""1593""","祺驊","0","http://www.chihua.com.tw"
"=""1595""","川寶","0","http://www.cbtech.com.tw/"
"=""1599""","宏佳騰","1","http://www.aeonmotor.com.tw/Shareholdercheck.php"
"=""1742""","台蠟","1","http://www.wax.com.tw/"
"=""1777""","生泰","1","http://www.syn-tech.com.tw"
"=""1781""","合世","1","www.healthandlife.com.tw"
"=""1784""","訊聯","1","https://www.bionetcorp.com/article?ac_id=32&ac_sub_id=35&a_id=39"
"=""1785""","光洋科","5","https://www.solartech.com.tw/esg/corporate_governance/"
"=""1788""","杏昌","1","www.hiclearance.com.tw"
"=""1796""","金穎生技","0","http://www.geneferm.com/ch/investor-1.html"
"=""1799""","易威","1","http://www.easywellbio.com"
"=""1813""","寶利徠","1","http://www.gialens.com.tw/index.asp?area=CSR&menu=CSR02"
"=""1815""","富喬","1","http://www.ffg.com.tw/contact-02.asp"
"=""2035""","唐榮公司","1","http://www.tangeng.com.tw"
"=""2061""","風青","0","https://www.fcm.com.tw/hot_404469.html"
"=""2063""","世鎧","2","www.shehkai.com.tw/list/cate-54177.htm"
"=""2064""","晉椿","1","http://www.camelliametal.com"
"=""2065""","世豐","3","www.shehfung.com"
"=""2066""","世德","0","www.sumeeko.com"
"=""2067""","嘉鋼","0","http://www.cysteel.com.tw/chstake.html"
"=""2070""","精湛","0","http://www.ccm3s.com/"
"=""2073""","雄順","3","www.ssmc.com.tw"
"=""2221""","大甲","0","http://www.yhmco.com.tw/responsibility/relationship.php"
"=""2230""","泰茂","0","http://www.ctico.com.tw/style/frame/templates11/factory.asp?lang=1&customer_id=1892&content_set=colo"
"=""2235""","謚源","0","http://www.tiy-motor.com/webls-zh-tw/msg/Investors.html"
"=""2596""","綠意","1","www.realycorp.com.tw/investor-7.htm"
"=""2640""","大車隊","4","http://www.taiwantaxi.com.tw/taiwantaxi/invest.asp"
"=""2641""","正德","1","http://www.franbo.com.tw/financial.asp?id=20"
"=""2643""","捷迅","3","http://www.soonest.com"
"=""2718""","晶悅","2","http://www.pleasanthotels.com.tw/zh-TW/investors"
"=""2719""","燦星旅","1","www.startravel.com.tw"
"=""2724""","藝舍-KY","1","www.fxhotelsgroup.com/investors.aspx"
"=""2726""","雅茗-KY","1","http://www.yummy-town.tw/investor_contact.php"
"=""2729""","瓦城","2","http://www.ttfb.com/index.php?category=3&subject=1"
"=""2732""","六角","5","http://www.lakaffagroup.com/"
"=""2734""","易飛網","0","https://www.ezfly.com/info/stakeholder/index.html"
"=""2736""","富野","0","http://www.hoyaresort.com.tw"
"=""2740""","天蔥","0","http://www.mr-onion.com/Enterprise/Stakeholder"
"=""2743""","山富","0","https://www.travel4u.com.tw/investor/investment/"
"=""2745""","五福","0","http://www.lifetour.com.tw/eWeb/Main/home.asp?SITE_CD=1&MP_ID=MPQ01&STYLE_TP=3"
"=""2752""","豆府","1","https://www.tofuglobal.com/tw/Home.html"
"=""2754""","亞洲藏壽司","1","http://investor.kurasushi.tw/"
"=""2755""","揚秦","2","https://www.youngqin.com.tw/index.php?code=list&ids=915"
"=""2756""","聯發國際","0","http://www.1992lianfa.com/"
"=""2916""","滿心","1","http://www.munsin.com.tw/munsin/munsin_investor.html"
"=""2924""","宏太-KY","1","http://www.ggalactica.com/parties"
"=""2926""","誠品生活","2","http://www.eslitespectrum.com.tw/content.aspx?s=Stakeholder"
"=""2937""","集雅社","1","https://www.gseven.com.tw/investor.php"
"=""2941""","米斯特","1","www.life8.com.tw"
"=""2947""","振宇五金","3","www.ald.com.tw"
"=""2948""","寶陞","0","https://www.bausen.com/"
"=""2949""","欣新網","1","https://www.hhgalaxy.com.tw/"
"=""3064""","泰偉","1","http://www.astrocorp.com.tw/cht/IR_5.php"
"=""3066""","李洲","1","https://www.oasistek.com/zh-tw/Investor/Stock/Stakeholders"
"=""3067""","全域","0","www.twphonic.com"
"=""3071""","協禧","1","http://www.adda.com.tw/tw/stakeholders.php"
"=""3073""","天方能源","1","https://www.tpenergy.com.tw/#/stakeholders"
"=""3078""","僑威","1","http://www.cwt.com.tw/Investment/zhtw/formidable.aspx"
"=""3081""","聯亞","5","https://www.lmoc.com.tw/index.php?option=module&lang=cht&task=showlist&id=24&index=2"
"=""3083""","網龍","2","WWW.CHINESEGAMER.NET"
"=""3085""","新零售","0","http://www.newretail.com.tw/"
"=""3086""","華義","2","www.wayi.net"
"=""3088""","艾訊","2","http://www.axiomtek.com.tw/Default.aspx?MenuId=AboutUs&ItemId=195&C=%E5%88%A9%E5%AE%B3%E9%97%9C%E4%B"
