"報告年度:2023","議題:持股及控制力"
"公司代號","公司名稱","前10大股東持股情況-前10大股東持股情況"
"=""1240""","茂生農經","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1240_20240624F17.pdf"
"=""1259""","安心","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1259_20240531F17.pdf"
"=""1264""","德麥","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1264_20240530F17.pdf"
"=""1268""","漢來美食","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1268_20240530F17.pdf"
"=""1336""","台翰","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1336_20240612F17.pdf"
"=""1565""","精華","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1565_20240613F17.pdf"
"=""1569""","濱川","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1569_20240619F17.pdf"
"=""1570""","力肯","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1570_20240614F17.pdf"
"=""1580""","新麥","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1580_20240621F17.pdf"
"=""1584""","精剛","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1584_20240529F17.pdf"
"=""1586""","和勤","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1586_20240530F17.pdf"
"=""1591""","駿吉-KY","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1591_20240515F17.pdf"
"=""1593""","祺驊","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1593_20240614F17.pdf"
"=""1595""","川寶","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1595_20240618F17.pdf"
"=""1599""","宏佳騰","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1599_20240620F17.pdf"
"=""1742""","台蠟","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1742_20240618F17.pdf"
"=""1777""","生泰","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1777_20240620F17.pdf"
"=""1781""","合世","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1781_20240621F17.pdf"
"=""1784""","訊聯","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1784_20240619F17.pdf"
"=""1785""","光洋科","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1785_20240530F17.pdf"
"=""1788""","杏昌","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1788_20240529F17.doc"
"=""1796""","金穎生技","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1796_20240619F17.pdf"
"=""1799""","易威","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1799_20240627F17.pdf"
"=""1813""","寶利徠","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1813_20240531F17.pdf"
"=""1815""","富喬","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1815_20240618F17.pdf"
"=""2035""","唐榮公司","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2035_20240625F17.pdf"
"=""2061""","風青","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2061_20240620F17.pdf"
"=""2063""","世鎧","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2063_20240531F17.pdf"
"=""2064""","晉椿","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2064_20240612F17.pdf"
"=""2065""","世豐","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2065_20240524F17.pdf"
"=""2066""","世德","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2066_20240530F17.pdf"
"=""2067""","嘉鋼","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2067_20240628F17.pdf"
"=""2070""","精湛","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2070_20240606F17.pdf"
"=""2073""","雄順","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2073_20240618F17.pdf"
"=""2221""","大甲","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2221_20240618F17.pdf"
"=""2230""","泰茂","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2230_20240614F17.pdf"
"=""2235""","謚源","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2235_20240624F17.pdf"
"=""2596""","綠意","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2596_20240626F17.pdf"
"=""2640""","大車隊","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2640_20240612F17.pdf"
"=""2641""","正德","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2641_20240530F17.pdf"
"=""2643""","捷迅","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2643_20240621F17.pdf"
"=""2718""","晶悅","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2718_20240626F17.pdf"
"=""2719""","燦星旅","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2719_20240619F17.pdf"
"=""2724""","藝舍-KY","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2724_20240625F17.pdf"
"=""2726""","雅茗-KY","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2726_20240617F17.pdf"
"=""2729""","瓦城","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2729_20240618F17.pdf"
"=""2732""","六角","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2732_20240605F17.pdf"
"=""2734""","易飛網","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2734_20240627F17.pdf"
"=""2736""","富野","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2736_20240524F17.pdf"
"=""2740""","天蔥","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2740_20240529F17.pdf"
"=""2743""","山富","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2743_20240612F17.pdf"
"=""2745""","五福","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2745_20240617F17.pdf"
"=""2752""","豆府","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2752_20240530F17.pdf"
