"報告年度:2023","議題:人力發展"
"公司代號","公司名稱","員工福利平均數(每年6/2起公開)(仟元/人)-員工福利平均數(每年6/2起公開)(仟元/人)","員工薪資平均數(每年6/2起公開)(仟元/人)-員工薪資平均數(每年6/2起公開)(仟元/人)","非擔任主管職務之全時員工薪資平均數(每年7/1起公開)(仟元/人)-非擔任主管職務之全時員工薪資平均數(每年7/1起公開)(仟元/人)","非擔任主管職務之全時員工薪資中位數(每年7/1起公開)(仟元/人)-非擔任主管職務之全時員工薪資中位數(每年7/1起公開)(仟元/人)","管理職女性主管占比-管理職女性主管占比","職業災害-人數","職業災害-比率","職業災害-類別","火災-件數","火災-死傷人數","火災-比率(死傷人數/員工總人數)"
"=""1240""","茂生農經","995","856","664","579","5.00%","0","0.00%","","0","0","0"
"=""1259""","安心","350","289","621","562","65.37%","127","0.19%","","0","0","0"
"=""1264""","德麥","1,049","905","834","684","9.09%","0","0.00%","0","0","0","0"
"=""1268""","漢來美食","642","561","628","525","33.19%","50","2.96%","跌倒6件/物體飛落2件/切割10件/燒燙7件/不當動作1件/交通事故24件","0","0","0"
"=""1336""","台翰","1,589","1,409","934","708","28.00%","3","0.23%","台翰科技所發生之職業災害大多為員工不注意或機台操作不當所造成的撞傷或壓傷為主。","0","0","0"
"=""1565""","精華","707","596","616","569","50.00%","11","0.41%","","0","0","0"
"=""1569""","濱川","1,147","850","658","621","0.00%","0","0.00%","","0","0","0"
"=""1570""","力肯","666","539","546","416","28.57%","0","0.00%","","0","0","0"
"=""1580""","新麥","1,324","1,154","965","955","27.00%","8","11.00%","","0","0","0"
"=""1584""","精剛","1,247","1,037","772","692","26.00%","5","3.21%","","0","0","0"
"=""1586""","和勤","684","558","527","431","32.60%","4","0.16%","N/A","0","0","0"
"=""1591""","駿吉-KY","N/A","N/A","N/A","N/A","50.00%","0","0.00%","N/A","0","0","0"
"=""1593""","祺驊","786","658","544","407","4.00%","0","0.00%","","0","0","0"
"=""1595""","川寶","1,313","1,131","700","599","15.00%","0","0.00%","","0","0","0"
"=""1599""","宏佳騰","713","601","572","519","28.57%","0","0.00%","","0","0","0"
"=""1742""","台蠟","849","722","551","540","25.00%","0","0.00%","1990 未分類其他化學製品製造業","0","0","0"
"=""1777""","生泰","1,082","937","906","822","41.18%","1","2.27%","與有害物之接觸","0","0","0"
"=""1781""","合世","980","803","711","660","33.33%","0","0.00%","","0","0","0"
"=""1784""","訊聯","1,090","928","853","714","64.00%","0","0.00%","","0","0","0"
"=""1785""","光洋科","962","770","690","534","29.10%","9","0.84%","被撞、跌倒","0","0","0"
"=""1788""","杏昌","1,410","1,238","1,060","918","20.51%","0","0.00%","","0","0","0"
"=""1796""","金穎生技","749","630","653","553","5.30%","3","1.03%","","0","0","0"
"=""1799""","易威","1,746","1,660","648","653","7.14%","0","0.00%","","0","0","0"
"=""1813""","寶利徠","821","662","614","508","30.00%","0","0.00%","","0","0","0"
"=""1815""","富喬","726","595","596","522","21.90%","2","0.22%","物體倒塌、崩塌：1件1人、0.11% 物體飛落：1件1人、0.11% ","0","0","0"
"=""2035""","唐榮公司","1,372","1,125","1,123","1,265","4.90%","6","1.00%","","0","0","0"
"=""2061""","風青","1,056","923","416","384","75.00%","0","0.00%","","0","0","0"
"=""2063""","世鎧","847","723","674","607","23.64%","3","0.32%","","0","0","0"
"=""2064""","晉椿","701","524","526","470","4.81%","1","0.52%","","0","0","0"
"=""2065""","世豐","816","691","641","557","45.71%","0","0.00%","2599","0","0","0"
"=""2066""","世德","729","612","565","508","10.00%","1","0.00%","","0","0","0"
"=""2067""","嘉鋼","673","575","542","482","5.20%","0","0.00%","","0","0","0"
"=""2070""","精湛","929","788","679","632","30.00%","2","1.72%","","0","0","0"
"=""2073""","雄順","677","569","541","491","20.83%","0","0.00%","","0","0","0"
"=""2221""","大甲","646","517","512","419","29.27%","1","0.16%","N/A","0","0","0"
"=""2230""","泰茂","689","603","570","554","15.38%","2","1.90%","N/A","0","0","0"
"=""2235""","謚源","613","516","471","410","42.85%","0","0.00%","","0","0","0"
"=""2596""","綠意","1,189","1,022","716","752","28.57%","0","0.00%","","0","0","0"
"=""2640""","大車隊","783","652","645","510","25.00%","6","0.63%","","0","0","0"
"=""2641""","正德","1,212","1,046","836","773","23.08%","0","0.00%","","0","0","0"
"=""2643""","捷迅","814","649","802","673","83.00%","0","0.00%","N/A","0","0","0"
"=""2718""","晶悅","1,725","1,497","937","694","50.00%","0","0.00%","","0","0","0"
"=""2719""","燦星旅","986","802","567","442","50.00%","0","0.00%","無發生","0","0","0"
"=""2724""","藝舍-KY","N/A","N/A","N/A","N/A","36.36%","0","0.00%","","0","0","0"
"=""2726""","雅茗-KY","N/A","N/A","N/A","N/A","65.57%","0","0.00%","","0","0","0"
"=""2729""","瓦城","483","401","646","582","42.88%","68","2.00%","切/割/擦傷、跌倒等","0","0","0"
"=""2732""","六角","735","620","600","496","3.08%","0","0.00%","","0","0","0"
"=""2734""","易飛網","788","645","593","522","48.00%","0","0.00%","","0","0","0"
"=""2736""","富野","569","479","421","379","58.33%","0","0.00%","相關辨別尚在建置中","0","0","0.00%"
"=""2740""","天蔥","563","457","636","556","37.50%","8","4.88%","上下班途中車禍、工作場所燒燙傷、工作場所切割傷、工作場所扭傷及其他。","0","0","0"
"=""2743""","山富","741","643","644","528","30.00%","0","0.00%","N/A","0","0","0"
"=""2745""","五福","738","614","654","548","58.90%","8","2.36%","","0","0","0"
"=""2752""","豆府","433","363","594","528","40.25%","13","0.51%","","0","0","0"
"=""2754""","亞洲藏壽司","390","328","620","421","53.13%","31","0.90%","","0","0","0"
"=""2755""","揚秦","667","555","665","564","5.96%","5","0.99%","","0","0","0"
"=""2756""","聯發國際","899","751","778","674","43.00%","0","0.00%","","0","0","0"
"=""2916""","滿心","674","556","544","486","40.00%","4","0.60%","","0","0","0"
"=""2924""","宏太-KY","N/A","N/A","N/A","N/A","50.00%","0","0.00%","","0","0","0"
"=""2926""","誠品生活","823","689","739","602","43.33%","4","0.31%","","0","0","0"
"=""2937""","集雅社","820","680","719","609","20.51%","0","0.00%","","0","0","0"
"=""2941""","米斯特","434","352","448","411","59.09%","0","0.00%","N/A","0","0","0"
"=""2947""","振宇五金","548","431","473","423","25.00%","39","5.39%","","0","0","0"
"=""2948""","寶陞","1,414","1,254","893","803","35.71%","0","0.00%","","0","0","0"
"=""2949""","欣新網","1,066","908","777","703","47.37%","0","0.00%","","0","0","0"
"=""3064""","泰偉","940","786","754","660","14.28%","0","0.00%","N/A","0","0","0"
"=""3066""","李洲","1,112","931","580","527","8.00%","0","0.00%","","0","0","0"
"=""3067""","全域","1,059","895","678","674","17.65%","0","0.00%","","0","0","0"
"=""3071""","協禧","885","739","712","623","17.39%","0","0.00%","","0","0","0"
"=""3073""","天方能源","836","680","756","762","40.00%","0","0.00%","","0","0","0"
"=""3078""","僑威","2,072","1,879","1,240","982","25.00%","0","0.00%","N/A","0","0","0"
"=""3081""","聯亞","1,007","848","793","684","8.33%","0","0.00%","","0","0","0"
"=""3083""","網龍","946","819","777","647","29.00%","0","0.00%","N/A","0","0","0"
"=""3085""","新零售","826","674","638","635","16.67%","0","0.00%","","0","0","0"
"=""3086""","華義","799","667","608","542","38.46%","0","0.00%","","0","0","0"
"=""3088""","艾訊","1,246","1,065","1,020","895","23.00%","4","0.59%","","0","0","0"
"=""3093""","港建*","1,555","1,349","1,134","1,041","26.00%","0","0.00%","","0","0","0"
"=""3095""","及成","866","702","700","653","34.15%","0","0.00%","無","0","0","0"
"=""3105""","穩懋","1,016","860","891","771","16.03%","5","0.17%","跌倒，切、割、擦傷，其他","0","0","0"
"=""3114""","好德","1,172","985","1,016","869","21.43%","0","0.00%","","0","0","0"
"=""3115""","富榮綱","1,080","860","702","530","9.09%","0","0.00%","N/A","0","0","0"
"=""3118""","進階","1,159","998","939","770","30.00%","0","0.00%","","0","0","0"
"=""3122""","笙泉","1,466","1,266","1,133","1,040","19.04%","0","0.00%","專業、科學及技術服務業","0","0","0"
"=""3128""","昇銳","703","604","647","512","28.13%","0","0.00%","","0","0","0"
"=""3131""","弘塑","1,858","1,660","1,559","1,504","16.70%","0","0.00%","","0","0","0"
"=""3141""","晶宏","1,770","1,505","1,373","1,280","20.41%","0","0.00%","","0","0","0"
"=""3147""","大綜","1,190","1,026","938","660","22.49%","0","0.00%","N/A","0","0","0"
"=""3152""","璟德","790","663","757","613","31.80%","0","0.00%","無","0","0","0"
"=""3162""","精確","1,460","1,372","746","695","7.99%","0","0.00%","","0","0","0.00%"
"=""3163""","波若威","1,344","1,154","1,018","836","22.22%","0","0.00%","","0","0","0"
"=""3169""","亞信","2,142","1,920","1,590","1,392","30.43%","0","0.00%","","0","0","0"
"=""3171""","新洲","1,134","999","843","527","24.56%","2","1.17%","4520","0","0","0"
"=""3176""","基亞","1,163","937","870","762","57.14%","0","0.00%","","0","0","0"
"=""3178""","公準","698","576","589","512","31.11%","0","0.00%","","0","0","0"
"=""3188""","鑫龍騰","2,120","1,860","1,128","910","28.57%","0","0.00%","","0","0","0"
"=""3191""","雲科","1,305","1,130","556","598","0.00%","0","0.00%","","0","0","0"
"=""3202""","樺晟","859","716","699","615","30.77%","0","0.00%","","0","0","0"
"=""3205""","佰研","861","706","627","561","50.00%","1","2.08%","","0","0","0"
"=""3206""","志豐","1,878","1,631","1,127","1,058","38.73%","0","0.00%","","0","0","0"
"=""3207""","耀勝","1,444","1,296","844","850","12.50%","0","0.00%","","0","0","0"
"=""3211""","順達","1,513","1,292","1,252","1,168","11.60%","1","0.50%","","0","0","0"
"=""3213""","茂訊","1,030","903","840","734","3.92%","0","0.00%","","0","0","0"
"=""3217""","優群","2,087","1,915","1,151","954","37.50%","0","0.00%","","0","0","0"
"=""3218""","大學光","1,237","1,081","1,150","888","59.69%","0","0.00%","","0","0","0"
"=""3219""","倚強科","1,700","1,504","1,382","1,136","8.30%","0","0.00%","","0","0","0"
"=""3221""","台嘉碩","831","689","547","504","1.10%","0","0.00%","N/A","0","0","0"
"=""3224""","三顧","910","730","803","668","10.38%","0","0.00%","N/A","0","0","0"
"=""3226""","至寶電","596","474","502","419","34.21%","1","0.51%","N/A","0","0","0"
"=""3227""","原相","3,023","2,743","2,500","2,301","5.26%","0","0.00%","","0","0","0"
"=""3228""","金麗科","1,739","1,534","1,603","1,216","21.05%","0","0.00%","","0","0","0"
"=""3230""","錦明","934","801","653","588","32.31%","0","0.00%","","0","0","0"
"=""3232""","昱捷","967","838","734","629","12.50%","0","0.00%","","0","0","0"
"=""3234""","光環","994","795","761","660","28.17%","1","0.00%","","0","0","0"
"=""3236""","千如","840","670","623","522","47.24%","0","0.00%","職業病、割/壓/撞/砸/捲、與有害物接觸、感電、墜落、異物入眼","0","0","0"
"=""3252""","海灣","693","599","420","420","50.00%","0","0.00%","","0","0","0"
"=""3259""","鑫創","1,397","1,201","1,200","1,163","7.50%","0","0.00%","","0","0","0"
"=""3260""","威剛","1,760","1,555","1,309","1,086","34.87%","0","0.00%","N/A ","0","0","0"
"=""3264""","欣銓","1,341","1,152","1,064","862","2.00%","11","0.37%","2023年職業傷害事件共56件，11件為墜落傷害及作業時割傷、拉傷所造成的傷害，其中5件屬輕微職業傷害未造成失能損失，其餘40件為通勤交通事故，不列入職業傷害的統計。","0","0","0"
"=""3265""","台星科","1,057","904","862","675","6.70%","0","0.00%","","0","0","0"
"=""3268""","海德威","885","753","644","621","57.10%","0","0.00%","","0","0","0"
"=""3272""","東碩","956","806","683","595","36.00%","0","0.00%","","0","0","0"
"=""3276""","宇環","1,974","1,794","969","1,082","20.00%","0","0.00%","","0","0","0"
"=""3284""","太普高","742","609","568","546","33.33%","1","1.35%","","0","0","0"
"=""3285""","微端","1,024","880","673","591","0.00%","0","0.00%","","0","0","0"
"=""3287""","廣寰科","1,336","1,156","662","589","50.00%","0","0.00%","N/A","0","0","0"
"=""3288""","點晶","1,163","1,014","855","484","10.53%","0","0.00%","","0","0","0"
"=""3289""","宜特","1,175","980","1,048","915","0.41%","3","0.29%","","0","0","0"
"=""3290""","東浦","968","845","630","519","27.20%","0","0.00%","","0","0","0"
"=""3293""","鈊象","3,444","3,167","2,805","2,176","16.13%","0","0.00%","","0","0","0"
"=""3294""","英濟","1,102","933","810","669","13.04%","0","0.00%","","0","0","0"
"=""3297""","杭特","745","619","585","483","35.13%","0","0.00%","","0","0","0"
"=""3303""","岱稜","930","795","735","665","13.33%","0","0.00%","","0","0","0"
"=""3306""","鼎天","1,688","1,496","1,178","1,013","6.30%","0","0.00%","無職業災害情形發生","0","0","0.00%"
"=""3310""","佳穎","841","721","643","556","5.51%","0","0.00%","","0","0","0"
"=""3313""","斐成","2,076","1,854","617","810","0.00%","0","0.00%","","0","0","0"
"=""3317""","尼克森","1,601","1,407","1,171","971","28.57%","0","0.00%","","0","0","0"
"=""3322""","建舜電","1,358","1,149","964","755","58.33%","0","0.00%","N/A","0","0","0"
"=""3323""","加百裕","994","824","759","624","12.50%","7","2.18%","","0","0","0"
"=""3324""","雙鴻","1,445","1,275","1,153","1,053","22.00%","0","0.00%","","0","0","0"
"=""3325""","旭品","875","716","547","507","0.00%","0","0.00%","","0","0","0"
"=""3332""","幸康","924","761","761","641","31.10%","0","0.00%","","0","0","0"
"=""3339""","泰谷","678","562","557","467","0.00%","0","0.00%","N/A","0","0","0"
"=""3349""","寶德","1,043","875","856","822","23.25%","5","2.47%","","0","0","0"
"=""3354""","律勝","726","595","654","530","35.71%","2","2.78%","上下班出車禍","0","0","0"
"=""3357""","臺慶科","868","725","680","580","16.22%","8","1.33%","","0","0","0"
"=""3360""","尚立","1,093","900","804","761","27.59%","0","0.00%","","0","0","0"
"=""3362""","先進光","807","667","576","519","16.34%","20","0.02%","上下班交通安全事故,已加強宣導","0","0","0"
"=""3363""","上詮","962","670","649","544","28.81%","0","0.00%","N/A","0","0","0"
"=""3372""","典範","780","643","636","585","17.65%","0","0.00%","","0","0","0"
"=""3373""","熱映","1,125","953","725","652","20.00%","0","0.00%","","0","0","0"
"=""3374""","精材","1,115","967","923","694","16.89%","6","0.43%","挫傷、跌倒、夾傷","0","0","0"
"=""3379""","彬台","989","832","784","714","28.60%","0","0.00%","","0","0","0"
"=""3388""","崇越電","1,880","1,672","1,204","1,195","23.10%","0","0.00%","","0","0","0"
"=""3390""","旭軟","638","549","542","477","41.18%","0","0.00%","","0","0","0"
"=""3402""","漢科","1,123","966","832","675","2.00%","0","0.00%","N/A","0","0","0"
"=""3426""","台興","880","741","656","571","7.00%","0","0.00%","","0","0","0"
"=""3430""","奇鈦科","867","720","729","664","53.85%","2","1.38%","員工使用合梯墜落1件及員工下料作業靜電閃燃火災1件","1","0","0.69%"
"=""3434""","哲固","801","652","642","543","11.70%","0","0.00%","N/A","0","0","0"
"=""3438""","類比科","1,735","1,527","1,471","1,320","23.00%","0","0.00%","","0","0","0"
"=""3441""","聯一光電","1,079","932","589","580","50.00%","0","0.00%","職業災害人數及比率：無。","0","0","0"
"=""3444""","利機","1,544","1,321","973","882","33.33%","0","0.00%","","0","0","0"
"=""3455""","由田","1,392","1,198","1,091","937","18.48%","2","1.00%","","0","0","0"
"=""3465""","進泰電子","1,148","948","744","534","42.86%","0","0.00%","","0","0","0"
"=""3466""","德晉","1,132","963","754","695","7.00%","0","0.00%","","0","0","0"
"=""3479""","安勤","1,410","1,231","1,181","1,026","4.60%","2","0.60%","","0","0","0"
"=""3483""","力致","1,516","1,362","923","844","10.43%","1","0.02%","","0","0","0"
"=""3484""","崧騰","1,057","891","861","763","6.80%","0","0.00%","N/A","0","0","0"
"=""3489""","森寶","1,031","862","890","797","75.00%","0","0.00%","","0","0","0"
"=""3490""","單井","1,131","974","802","719","37.00%","0","0.00%","N/A","0","0","0"
"=""3491""","昇達科","948","807","667","580","4.41%","0","0.00%","","0","0","0"
"=""3492""","長盛","1,247","1,068","883","854","40.00%","0","0.00%","","0","0","0"
"=""3498""","陽程","1,027","880","866","744","2.44%","2","0.00%","","0","0","0"
"=""3499""","環天科","724","595","549","483","25.00%","0","0.00%","N/A","0","0","0"
"=""3508""","位速","920","763","760","625","0.00%","0","0.00%","","0","0","0"
"=""3511""","矽瑪","1,322","945","1,167","898","31.82%","0","0.00%","","0","0","0"
"=""3512""","皇龍","1,586","1,392","1,157","1,066","20.00%","0","0.00%","","0","0","0"
"=""3516""","亞帝歐","656","540","497","429","47.06%","0","0.00%","","0","0","0"
"=""3520""","華盈","1,071","922","774","687","33.33%","0","0.00%","","0","0","0"
"=""3521""","鴻翊","1,018","851","677","606","18.00%","0","0.00%","N/A","0","0","0"
"=""3522""","御頂","1,744","1,606","617","570","43.33%","22","7.86%","無","0","0","0"
"=""3523""","迎輝","817","678","612","573","4.55%","1","1.14%","","0","0","0"
"=""3526""","凡甲","2,433","2,199","1,475","1,359","37.00%","0","0.00%","","0","0","0"
"=""3527""","聚積","1,559","1,337","1,492","1,302","33.33%","0","0.00%","","0","0","0"
"=""3529""","力旺","3,106","2,793","2,576","2,264","14.00%","0","0.00%","","0","0","0"
"=""3531""","先益","902","774","783","662","28.00%","0","0.00%","N/A","0","0","0"
"=""3537""","堡達","1,323","1,159","1,048","917","29.00%","1","2.00%","N/A","0","0","0"
"=""3540""","曜越","1,187","1,017","842","694","5.26%","0","0.00%","","0","0","0"
"=""3541""","西柏","917","748","760","631","0.25%","0","0.00%","","0","0","0"
"=""3546""","宇峻","1,049","890","909","798","29.41%","0","0.00%","","0","0","0"
"=""3548""","兆利","783","665","631","471","33.00%","0","0.00%","","0","0","0"
"=""3551""","世禾","888","760","760","654","37.50%","16","2.29%","職業災害類別三類分別為上下班途中車禍事件10件，灼傷3件，撞傷3件。","0","0","0"
"=""3552""","同致","1,104","954","843","696","34.00%","0","0.00%","無","0","0","0"
"=""3555""","博士旺","928","809","860","841","40.00%","0","0.00%","","0","0","0"
"=""3556""","禾瑞亞","1,309","1,121","1,077","919","21.00%","0","0.00%","","0","0","0"
"=""3558""","神準","1,230","1,088","908","704","24.29%","1","0.00%","","0","0","0"
"=""3564""","其陽","1,118","943","840","675","22.22%","0","0.00%","","0","0","0"
"=""3567""","逸昌","857","647","652","524","20.00%","1","0.74%","","0","0","0"
"=""3570""","大塚","1,314","1,132","1,060","849","42.50%","0","0.00%","","0","0","0"
"=""3577""","泓格","867","719","739","669","27.10%","4","0.10%","下班途中發生事故","0","0","0"
"=""3580""","友威科","876","754","721","628","18.18%","4","3.45%","","0","0","0"
"=""3581""","博磊","1,035","848","911","773","15.91%","0","0.00%","","0","0","0"
"=""3587""","閎康","1,301","1,135","1,091","1,011","0.05%","0","0.00%","","0","0","0"
"=""3594""","磐儀","996","808","772","668","28.00%","0","0.00%","","0","0","0"
"=""3597""","映興","597","467","500","433","52.00%","0","0.00%","","0","0","0"
"=""3609""","三一東林","880","723","683","569","0.00%","0","0.00%","","0","0","0"
"=""3611""","鼎翰","1,136","979","863","683","20.00%","0","0.00%","未發生職業災害","0","0","0"
"=""3615""","安可","1,034","853","804","665","20.70%","0","0.00%","","0","0","0"
"=""3623""","富晶通","690","561","581","527","20.00%","2","1.56%","","0","0","0"
"=""3624""","光頡","743","618","648","537","32.40%","1","0.12%","","0","0","0"
