"報告年度:2022","議題:廢棄物管理"
"公司代號","公司名稱","有害廢棄物量(公噸)-有害廢棄物量(公噸)","非有害廢棄物(公噸)-非有害廢棄物(公噸)","總重量(有害+非有害)(公噸)-總重量(有害+非有害)(公噸)","資料範圍-資料範圍","廢棄物密集度-密集度(公噸/單位)","廢棄物密集度-單位","取得驗證-取得驗證"
"=""1294""","漢田生技","","","","","","","N/A"
"=""2751""","王座","","","","","","","N/A"
"=""4772""","台特化","","","","","","","N/A"
"=""4950""","牧東","","","","","","","N/A"
"=""6739""","竹陞科技","","","","","","","N/A"
"=""6913""","鴻呈","","","","","","","N/A"
"=""6967""","汎瑋材料","","","","","","","N/A"
"=""6968""","萬達寵物","","","","","","","N/A"
"=""7584""","樂意","","","","","","","N/A"
"=""7703""","銳澤","","","","","","","N/A"
"=""7708""","全家餐飲","","","","","","","N/A"
"=""8272""","全景軟體","","","","","","","N/A"
