"報告年度:2023","議題:廢棄物管理"
"公司代號","公司名稱","有害廢棄物(公噸(t))-有害廢棄物(公噸(t))","非有害廢棄物(公噸(t))-非有害廢棄物(公噸(t))","總重量(有害+非有害)(公噸(t))-總重量(有害+非有害)(公噸(t))","資料範圍-資料範圍","廢棄物密集度-廢棄物密集度","密集度單位-密集度單位","驗證標準-取得驗證"
"=""1240""","茂生農經","0.0000","22.6100","22.6100","僅母公司","0.0002","廢棄物量/產品","N/A"
"=""1259""","安心","0.0000","4,262.0000","4,262.0000","母公司","0.7175","廢棄物量/百萬元營業額","N/A"
"=""1264""","德麥","0.0000","71.0550","71.0550","母公司","0.0215","廢棄物量/百萬元營業額","N/A"
"=""1268""","漢來美食","0.0000","1,759.1800","1,759.1800","漢來美食全台各分公司及中央工廠","0.3577","廢棄物量/百萬元營業額","N/A"
"=""1336""","台翰","19.5114","513.0770","532.5884","台灣總部、越南廠區、菲律賓廠區、東莞廠區","0.2300","廢棄物量/百萬元營業額","N/A"
"=""1565""","精華","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1569""","濱川","504.8900","2,071.5600","2,576.4500","母公司、蘇州濱川精密工業有限公司、蘇州豐川電子科技有限公司及重慶豐川電子科技有限公司","0.7479","廢棄物量/百萬元營業額","N/A"
"=""1570""","力肯","1.0050","0.0000","1.0050","母公司之廢棄物","0.0026","廢棄物量/百萬元營業額","N/A"
"=""1580""","新麥","1.0800","13.2000","14.2800","台北總公司、台中區及高雄區","N/A","N/A","N/A"
"=""1584""","精剛","0.0000","160.7600","160.7600","本廠、二廠、精煉廠","0.0589","廢棄物量/百萬元營業額","ISO 14001"
"=""1586""","和勤","N/A","N/A","1,712.0000","N/A","2.5500","廢棄物量/百萬元營業額","N/A"
"=""1591""","駿吉-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1593""","祺驊","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1595""","川寶","0.0000","12.0000","12.0000","僅母公司","N/A","N/A","N/A"
"=""1599""","宏佳騰","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1742""","台蠟","N/A","N/A","N/A","N/A","0.0998","廢棄物量/百萬元營業額","N/A"
"=""1777""","生泰","839.3750","2,358.6400","3,198.0150","2023.01.01~2023.12.31","7.8696","廢棄物量/產品","N/A"
"=""1781""","合世","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1784""","訊聯","0.0000","23.6000","23.6000","本公司台北廠區 ","0.0209","廢棄物量/百萬元營業額","N/A"
"=""1785""","光洋科","335.0100","2,574.7500","2,909.7600","光洋應材母公司三個廠址(科工廠、光科園區、環科廠)","0.3500","廢棄物量/百萬元營業額","ISO 14001"
"=""1788""","杏昌","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1796""","金穎生技","6.9000","408.3949","415.2949","僅母公司新營廠及南科廠","0.5239","廢棄物量/百萬元營業額","N/A"
"=""1799""","易威","N/A","N/A","2.4200","新竹市研發二路10號1樓","0.0089","廢棄物量/百萬元營業額","N/A"
"=""1813""","寶利徠","0.0000","12.0000","12.0000","母公司","0.0600","廢棄物量/百萬元營業額","N/A"
"=""1815""","富喬","1.0100","6,876.0020","6,877.0120","母公司","2.3886","廢棄物量/百萬元營業額","ISO 9001,ISO 14001"
"=""2035""","唐榮公司","726.0600","18,143.1250","18,869.1850","高雄市小港區沿海二路4號","1.7172","廢棄物量/百萬元營業額","N/A"
"=""2061""","風青","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2063""","世鎧","51.6000","230.6830","282.2830","世鎧岡山廠+路竹廠+包裝廠","0.1976","廢棄物量/百萬元營業額","N/A"
"=""2064""","晉椿","0.0000","1,371.4800","1,371.4800","母公司","0.0012","其他(公噸/千元營業額)","ISO 14001"
"=""2065""","世豐","96.4100","243.1700","339.5800","僅母公司","0.1462","廢棄物量/百萬元營業額","N/A"
"=""2066""","世德","N/A","65.4100","65.4100","台灣廠區","0.0434","廢棄物量/百萬元營業額","N/A"
"=""2067""","嘉鋼","N/A","N/A","N/A","N/A","N/A","N/A","ISO 14001"
"=""2070""","精湛","0.0000","42.9000","42.9000","母公司","0.0952","廢棄物量/百萬元營業額","N/A"
"=""2073""","雄順","5,492.2400","1,034.0100","6,526.2500","盤查範圍涵蓋本公司所轄之廠區，包括本廠(一廠及二廠)、三廠、六廠","12.6278","廢棄物量/百萬元營業額","N/A"
"=""2221""","大甲","52.0000","159.0000","211.0000","僅母公司","0.2850","廢棄物量/百萬元營業額","ISO 14001"
"=""2230""","泰茂","4.4200","166.4400","170.8600","泰茂實業股份有限公司","0.2595","廢棄物量/百萬元營業額","N/A"
"=""2235""","謚源","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2596""","綠意","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2640""","大車隊","N/A","N/A","0.0000","N/A","N/A","N/A","N/A"
"=""2641""","正德","0.0000","101.6872","101.6872","母公司+船隊","0.0761","廢棄物量/百萬元營業額","N/A"
"=""2643""","捷迅","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2718""","晶悅","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2719""","燦星旅","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2724""","藝舍-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2726""","雅茗-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2729""","瓦城","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2732""","六角","0.0000","14.4000","14.4000","六角總部、所屬直營門市及中央廚房","0.0100","廢棄物量/百萬元營業額","N/A"
"=""2734""","易飛網","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2736""","富野","0.0000","0.0000","0.0000","尚於建置中","0.0000","其他","其他"
"=""2740""","天蔥","0.0000","135.4800","135.4800","包含合併財務報表之母子公司","0.8280","廢棄物量/百萬元營業額","N/A"
"=""2743""","山富","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2745""","五福","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2752""","豆府","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2754""","亞洲藏壽司","0.0000","1,938.2800","1,938.2800","僅母公司","N/A","N/A","N/A"
"=""2755""","揚秦","0.0000","205.4100","205.4100","僅母公司","0.0954","廢棄物量/百萬元營業額","N/A"
"=""2756""","聯發國際","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2916""","滿心","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2924""","宏太-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2926""","誠品生活","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2937""","集雅社","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2941""","米斯特","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2947""","振宇五金","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2948""","寶陞","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2949""","欣新網","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3064""","泰偉","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3066""","李洲","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3067""","全域","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3071""","協禧","5.2000","358.3400","363.5400","中國昆山廠(江蘇省昆山市張浦鎮江豐路133號)、中國增達廠(廣東省惠州市博羅縣上興三路7號)","0.1500","廢棄物量/百萬元營業額","N/A"
"=""3073""","天方能源","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3078""","僑威","1.3510","303.7100","305.0610","僑威科技","0.0280","廢棄物量/百萬元營業額","N/A"
"=""3081""","聯亞","65.7200","27.8600","93.5800","本公司各廠區(一、二廠)","0.0770","廢棄物量/產品","N/A"
"=""3083""","網龍","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3085""","新零售","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3086""","華義","0.0000","5.2800","5.2800","母公司及分公司","N/A","N/A","N/A"
"=""3088""","艾訊","3.9000","59.1800","63.0800","母公司","N/A","N/A","ISO 14001"
"=""3093""","港建*","0.0000","1.8960","1.8960","母公司","N/A","N/A","N/A"
"=""3095""","及成","N/A","N/A","N/A","N/A","N/A","N/A","ISO 14001"
"=""3105""","穩懋","2,463.0000","1,295.0000","3,758.0000","母公司","0.0172","廢棄物量/產品","ISO 14001"
"=""3114""","好德","N/A","N/A","0.0000","N/A","N/A","N/A","N/A"
"=""3115""","富榮綱","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3118""","進階","0.0000","16.1000","16.1000","本公司台北區域。","N/A","N/A","N/A"
"=""3122""","笙泉","0.0000","3.9600","3.9600","生活廢棄物","0.0582","廢棄物量/百萬元營業額","N/A"
