"報告年度:2023","議題:能源管理"
"公司代號","公司名稱","再生能源使用率-再生能源使用率","資料範圍-資料範圍","驗證標準-取得驗證"
"=""1240""","茂生農經","N/A","N/A","N/A"
"=""1259""","安心","N/A","N/A","ISO 50001"
"=""1264""","德麥","N/A","N/A","N/A"
"=""1268""","漢來美食","N/A","N/A","N/A"
"=""1336""","台翰","N/A","N/A","N/A"
"=""1565""","精華","N/A","N/A","N/A"
"=""1569""","濱川","6.9100%","母公司、蘇州濱川精密工業有限公司、蘇州豐川電子科技有限公司及重慶豐川電子科技有限公司","N/A"
"=""1570""","力肯","N/A","N/A","N/A"
"=""1580""","新麥","N/A","N/A","N/A"
"=""1584""","精剛","N/A","N/A","N/A"
"=""1586""","和勤","N/A","N/A","N/A"
"=""1591""","駿吉-KY","N/A","N/A","N/A"
"=""1593""","祺驊","N/A","N/A","N/A"
"=""1595""","川寶","N/A","N/A","N/A"
"=""1599""","宏佳騰","N/A","N/A","N/A"
"=""1742""","台蠟","N/A","N/A","N/A"
"=""1777""","生泰","N/A","N/A","N/A"
"=""1781""","合世","N/A","N/A","N/A"
"=""1784""","訊聯","N/A","N/A","N/A"
"=""1785""","光洋科","N/A","N/A","ISO 50001"
"=""1788""","杏昌","N/A","N/A","N/A"
"=""1796""","金穎生技","0.0000%","僅母公司新營廠及南科廠","N/A"
"=""1799""","易威","N/A","N/A","N/A"
"=""1813""","寶利徠","N/A","N/A","N/A"
"=""1815""","富喬","N/A","N/A","N/A"
"=""2035""","唐榮公司","100.0000%","高雄市小港區沿海二路4號","N/A"
"=""2061""","風青","N/A","N/A","N/A"
"=""2063""","世鎧","N/A","N/A","N/A"
"=""2064""","晉椿","5.0000%","廢熱回收再利用","N/A"
"=""2065""","世豐","N/A","N/A","N/A"
"=""2066""","世德","N/A","N/A","N/A"
"=""2067""","嘉鋼","N/A","N/A","N/A"
"=""2070""","精湛","41.4935%","母公司","N/A"
"=""2073""","雄順","N/A","N/A","N/A"
"=""2221""","大甲","N/A","N/A","N/A"
"=""2230""","泰茂","N/A","N/A","N/A"
"=""2235""","謚源","N/A","N/A","N/A"
"=""2596""","綠意","N/A","N/A","N/A"
"=""2640""","大車隊","N/A","N/A","N/A"
"=""2641""","正德","N/A","N/A","N/A"
"=""2643""","捷迅","N/A","N/A","N/A"
"=""2718""","晶悅","N/A","N/A","N/A"
"=""2719""","燦星旅","N/A","N/A","N/A"
"=""2724""","藝舍-KY","N/A","N/A","N/A"
"=""2726""","雅茗-KY","N/A","N/A","N/A"
"=""2729""","瓦城","N/A","N/A","N/A"
"=""2732""","六角","N/A","N/A","N/A"
"=""2734""","易飛網","N/A","N/A","N/A"
"=""2736""","富野","0.0000%","尚於建置中","其他"
"=""2740""","天蔥","0.0000%","包含合併財務報表之母子公司","N/A"
"=""2743""","山富","N/A","N/A","N/A"
"=""2745""","五福","N/A","N/A","N/A"
"=""2752""","豆府","0.0000%","母公司","N/A"
"=""2754""","亞洲藏壽司","0.0000%","僅母公司","N/A"
"=""2755""","揚秦","N/A","N/A","N/A"
"=""2756""","聯發國際","N/A","N/A","N/A"
"=""2916""","滿心","N/A","N/A","N/A"
"=""2924""","宏太-KY","N/A","N/A","N/A"
"=""2926""","誠品生活","N/A","N/A","N/A"
"=""2937""","集雅社","N/A","N/A","N/A"
"=""2941""","米斯特","N/A","N/A","N/A"
"=""2947""","振宇五金","N/A","N/A","N/A"
"=""2948""","寶陞","N/A","N/A","N/A"
"=""2949""","欣新網","N/A","N/A","N/A"
"=""3064""","泰偉","N/A","N/A","N/A"
"=""3066""","李洲","N/A","N/A","N/A"
"=""3067""","全域","N/A","N/A","N/A"
"=""3071""","協禧","0.0000%","台灣總部(高雄市新光路38號34-35樓)、中國昆山廠(江蘇省昆山市張浦鎮江豐路133號)、中國增達廠(廣東省惠州市博羅縣上興三路7號)","N/A"
"=""3073""","天方能源","N/A","N/A","N/A"
"=""3078""","僑威","N/A","N/A","N/A"
"=""3081""","聯亞","0.0000%","本公司廠區(一、二廠)","N/A"
"=""3083""","網龍","N/A","N/A","N/A"
"=""3085""","新零售","N/A","N/A","N/A"
"=""3086""","華義","N/A","N/A","N/A"
"=""3088""","艾訊","N/A","N/A","N/A"
"=""3093""","港建*","N/A","N/A","N/A"
"=""3095""","及成","N/A","N/A","N/A"
"=""3105""","穩懋","N/A","N/A","N/A"
"=""3114""","好德","N/A","N/A","N/A"
"=""3115""","富榮綱","N/A","N/A","N/A"
"=""3118""","進階","N/A","N/A","N/A"
"=""3122""","笙泉","0.0000%","台灣總公司與台南辦公室","N/A"
"=""3128""","昇銳","N/A","N/A","N/A"
"=""3131""","弘塑","N/A","N/A","N/A"
"=""3141""","晶宏","N/A","N/A","N/A"
"=""3147""","大綜","N/A","N/A","N/A"
"=""3152""","璟德","N/A","N/A","N/A"
"=""3162""","精確","N/A","N/A","N/A"
"=""3163""","波若威","N/A","N/A","N/A"
"=""3169""","亞信","N/A","N/A","N/A"
"=""3171""","新洲","N/A","N/A","N/A"
"=""3176""","基亞","N/A","N/A","N/A"
"=""3178""","公準","N/A","N/A","N/A"
"=""3188""","鑫龍騰","N/A","N/A","N/A"
"=""3191""","雲科","N/A","N/A","N/A"
"=""3202""","樺晟","N/A","N/A","N/A"
"=""3205""","佰研","N/A","N/A","N/A"
"=""3206""","志豐","30.0000%","僅子公司-東莞志豐電子有限公司、蘇州百豐電子有限公司","ISO 50001"
"=""3207""","耀勝","N/A","N/A","N/A"
"=""3211""","順達","50.4300%","大陸子公司","N/A"
"=""3213""","茂訊","N/A","N/A","N/A"
"=""3217""","優群","N/A","N/A","N/A"
"=""3218""","大學光","N/A","N/A","N/A"
"=""3219""","倚強科","N/A","N/A","N/A"
"=""3221""","台嘉碩","N/A","N/A","N/A"
"=""3224""","三顧","N/A","N/A","N/A"
"=""3226""","至寶電","N/A","N/A","N/A"
"=""3227""","原相","N/A","N/A","N/A"
"=""3228""","金麗科","N/A","N/A","N/A"
"=""3230""","錦明","N/A","N/A","N/A"
"=""3232""","昱捷","0.0000%","母子公司","N/A"
"=""3234""","光環","N/A","N/A","N/A"
"=""3236""","千如","12.5547%","台灣楊梅一廠、台灣楊梅二廠、上海廠、廣州廠、馬來西亞廠","N/A"
"=""3252""","海灣","N/A","N/A","N/A"
"=""3259""","鑫創","N/A","N/A","N/A"
"=""3260""","威剛","N/A","N/A","N/A"
"=""3264""","欣銓","6.0000%","欣銓總部、子公司(新加坡、韓國、南京及全智科技)","ISO 50001"
"=""3265""","台星科","0.0000%","包含合併財務報表之母子公司","N/A"
"=""3268""","海德威","N/A","N/A","N/A"
"=""3272""","東碩","41.4600%","東碩昆山","ISO 50001"
"=""3276""","宇環","N/A","N/A","N/A"
"=""3284""","太普高","N/A","N/A","N/A"
"=""3285""","微端","N/A","N/A","N/A"
"=""3287""","廣寰科","N/A","N/A","N/A"
"=""3288""","點晶","N/A","N/A","N/A"
"=""3289""","宜特","N/A","N/A","N/A"
"=""3290""","東浦","N/A","N/A","N/A"
"=""3293""","鈊象","N/A","N/A","N/A"
"=""3294""","英濟","N/A","N/A","N/A"
"=""3297""","杭特","N/A","N/A","N/A"
"=""3303""","岱稜","0.9842%","台灣台南所有廠區","ISO 50001"
"=""3306""","鼎天","N/A","N/A","N/A"
"=""3310""","佳穎","N/A","N/A","N/A"
"=""3313""","斐成","N/A","N/A","N/A"
"=""3317""","尼克森","N/A","N/A","N/A"
"=""3322""","建舜電","N/A","N/A","N/A"
"=""3323""","加百裕","N/A","N/A","N/A"
"=""3324""","雙鴻","0.0000%","涵蓋台北營運總部（母公司）","N/A"
"=""3325""","旭品","N/A","N/A","N/A"
"=""3332""","幸康","N/A","N/A","N/A"
"=""3339""","泰谷","N/A","N/A","N/A"
"=""3349""","寶德","N/A","N/A","N/A"
"=""3354""","律勝","N/A","N/A","N/A"
"=""3357""","臺慶科","N/A","N/A","N/A"
"=""3360""","尚立","N/A","N/A","N/A"
"=""3362""","先進光","N/A","N/A","N/A"
"=""3363""","上詮","N/A","N/A","N/A"
"=""3372""","典範","1.0800%","台灣典範半導體股份有限公司一、二廠","N/A"
"=""3373""","熱映","N/A","N/A","N/A"
"=""3374""","精材","1.0600%","僅母公司","ISO 50001"
"=""3379""","彬台","N/A","N/A","N/A"
"=""3388""","崇越電","N/A","N/A","N/A"
"=""3390""","旭軟","N/A","N/A","N/A"
"=""3402""","漢科","N/A","N/A","N/A"
"=""3426""","台興","N/A","N/A","N/A"
"=""3430""","奇鈦科","N/A","N/A","N/A"
"=""3434""","哲固","N/A","N/A","N/A"
"=""3438""","類比科","N/A","N/A","N/A"
"=""3441""","聯一光電","N/A","N/A","N/A"
"=""3444""","利機","N/A","N/A","N/A"
"=""3455""","由田","N/A","N/A","N/A"
"=""3465""","進泰電子","N/A","N/A","N/A"
"=""3466""","德晉","N/A","N/A","N/A"
"=""3479""","安勤","N/A","N/A","N/A"
"=""3483""","力致","N/A","N/A","N/A"
"=""3484""","崧騰","N/A","N/A","N/A"
"=""3489""","森寶","N/A","N/A","N/A"
"=""3490""","單井","N/A","N/A","N/A"
"=""3491""","昇達科","N/A","N/A","N/A"
"=""3492""","長盛","N/A","N/A","N/A"
"=""3498""","陽程","N/A","N/A","N/A"
"=""3499""","環天科","N/A","N/A","N/A"
"=""3508""","位速","N/A","N/A","N/A"
"=""3511""","矽瑪","N/A","N/A","N/A"
