"公司代號","公司名稱","英文簡稱","申報原因","產業類別","報告書內容涵蓋期間","編製依循準則","第三方驗證單位","第三方採用標準","會計師確信驗證單位","會計師確信採用標準","永續報告書網址","永續報告書檔案","上傳日期","修正後報告書","修正後報告書上傳日期","永續報告書英文版網址","永續報告書英文版檔案","英文版上傳日期","英文版修正後報告書","英文版修正後報告書上傳日期","報告書聯絡資訊","備註"
"1259","安心","AN-SHIN","2. 屬餐飲收入占其全部營業收入之比率達百分之五十以上者","觀光餐旅","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","資誠聯合會計師事務所","","https://encsr.mos.com.tw/index.php?lang=tw","","2022/08/04","","","https://encsr.mos.com.tw/index.php?lang=tw                                                                                                                                                              ","","2022/11/09","","","CSR@mos.com.tw                                                                                                          ","無"
"1264","德麥","TEHMAG","1. 屬食品工業者","食品工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","志璟會計師事務所","","https://www.tehmag.com.tw/investors.php?NO=3","","2022/09/30","","","                                                                                                                                                                                                        ","","","","","acc@tehmag.com.tw                                                                                                       ",""
"1268","漢來美食","Hi-Lai Foods","2. 屬餐飲收入占其全部營業收入之比率達百分之五十以上者","觀光餐旅","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","勤業眾信聯合會計師事務所","","https://www.hilai-foods.com/stakeholders#98","","2022/07/29","","","                                                                                                                                                                                                        ","","","","","stock@hilai-foods.com                                                                                                   ",""
"1336","台翰","TAIHAN","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電子零組件業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","BSI英國標準協會","","","","2022/09/30","","","                                                                                                                                                                                                        ","","","","","macro_chien@thpt.com.tw                                                                                                 ","無"
"1586","和勤","CFTC","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","電機機械","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.cftc-hc.com.tw/csr/CSR%E6%94%BF%E7%AD%96.htm","","2022/09/27","","2022/12/19","                                                                                                                                                                                                        ","","","","","bruce@cftc.tw                                                                                                           ",""
"1742","台蠟","TWC","3. 屬化學工業者","化學工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","資誠聯合會計師事務所","","","","2022/06/28","","2022/09/30","                                                                                                                                                                                                        ","","","","","twx6688@ms26.hinet.net                                                                                                  ",""
"1777","生泰","SYN-TECH","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","生技醫療業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","http://www.syn-tech.com.tw","","2022/09/30","","","                                                                                                                                                                                                        ","","","","","fcsm@syn-tech.com.tw                                                                                                    ",""
"1785","光洋科","Solar","5. 股本達新臺幣一百億元以上者","其他電子業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","台灣檢驗科技股份有限公司（SGS Taiwan Ltd.）","","http://www.solartech.com.tw/tw/corporate_sustainability_reports.html","","2022/06/28","","2022/06/30","http://www.solartech.com.tw/en/corporate_sustainability_reports.html                                                                                                                                    ","","2022/07/28","","","service@solartech.com.tw                                                                                                ",""
"1796","金穎生技","GeneFerm","1. 屬食品工業者","食品工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","資誠聯合會計師事務所","","https://www.geneferm.com/zh-tw/financials.html","","2022/09/02","","","                                                                                                                                                                                                        ","","","","","investor@geneferm.com                                                                                                   ","無"
"2035","唐榮公司","TE","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","鋼鐵工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","http://www.tangeng.com.tw","","2022/09/21","","","http://www.tangeng.com.tw                                                                                                                                                                               ","","2022/09/21","","2022/10/28","13076@mail.tangeng.com.tw                                                                                               ",""
"2063","世鎧","SHEH KAI","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","鋼鐵工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.shehkai.com.tw/list/cate-60076.htm","","2022/09/28","","","                                                                                                                                                                                                        ","","","","","roger@shehkai.com.tw                                                                                                    ",""
"2065","世豐","SF","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","鋼鐵工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.shehfung.com/index.php?option=module&lang=cht&task=pageinfo&id=345&index=1","","2022/09/29","","","                                                                                                                                                                                                        ","","","","","http://www.shehfung.com                                                                                                 ","無"
"2643","捷迅","Soonest","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","航運業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","http://www.soonest.com/","","2022/06/30","","","                                                                                                                                                                                                        ","","","","","kelly@soonest.com.tw                                                                                                    ",""
"2729","瓦城","TTFB","2. 屬餐飲收入占其全部營業收入之比率達百分之五十以上者","觀光餐旅","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","資誠聯合會計師事務所","","http://www.ttfb.com/","","2022/09/30","","","                                                                                                                                                                                                        ","","","","","csr@ttfb.com                                                                                                            ",""
"2740","天蔥","Mr. Onion","2. 屬餐飲收入占其全部營業收入之比率達百分之五十以上者","觀光餐旅","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","蘊揚聯合會計師事務所","","http://www.mr-onion.com/Enterprise/CSR","","2022/09/29","","","                                                                                                                                                                                                        ","","","","","irene.lee@mr-onion.com                                                                                                  ",""
"2752","豆府","TOFU","2. 屬餐飲收入占其全部營業收入之比率達百分之五十以上者","觀光餐旅","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","勤業眾信聯合會計師事務所","","http://www.tofuglobal.com","","2022/09/30","","","                                                                                                                                                                                                        ","","","","","tofu.ir@dubuhouse.com.tw                                                                                                ",""
"2754","亞洲藏壽司","KURA SUSHI ASIA","2. 屬餐飲收入占其全部營業收入之比率達百分之五十以上者","觀光餐旅","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","安永聯合會計師事務所","","https://investor.kurasushi.tw/corporate-social-responsibility/","","2022/06/24","","","                                                                                                                                                                                                        ","","","","","ir@kurasushi.tw                                                                                                         ","NA"
"2755","揚秦","YoungQin","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","觀光餐旅","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","英國標準協會台灣分公司(BSI Taiwan)","","https://www.youngqin.com.tw/index.php?code=list&ids=888","","2022/09/26","","","                                                                                                                                                                                                        ","","","","","CSR@youngqin.com.tw                                                                                                     ",""
"3081","聯亞","LandMark","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","通信網路業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","http://www.lmoc.com.tw/index.php?option=module&lang=cht&task=showlist&id=25&index=3","","2022/06/30","","","http://www.lmoc.com.tw/index.php?option=module&lang=cht&task=showlist&id=25&index=3                                                                                                                     ","","2023/03/09","","","csr@lmoc.com.tw                                                                                                         ",""
"3083","網龍","CHINESEGAMER","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","文化創意業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.chinesegamer.net/web/i9.asp","","2022/09/27","","","                                                                                                                                                                                                        ","","","","","investment@chinesegamer.net                                                                                             ",""
"3086","華義","WAYI","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","文化創意業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","BSI英國標準協會","","http://www.wayi.net/investors_Page_01_03.php","","2022/09/28","","","http://www.wayi.net/investors_Page_01_03.php                                                                                                                                                            ","","2022/12/28","","","ESG@wayi.com.tw                                                                                                         ",""
