"公司代號","公司名稱","英文簡稱","申報原因","產業類別","報告書內容涵蓋期間","編製依循準則","第三方驗證單位","第三方採用標準","會計師確信驗證單位","會計師確信採用標準","永續報告書網址","永續報告書檔案","上傳日期","修正後報告書","修正後報告書上傳日期","永續報告書英文版網址","永續報告書英文版檔案","英文版上傳日期","英文版修正後報告書","英文版修正後報告書上傳日期","報告書聯絡資訊","備註"
"1101","台泥","TCC","5. 股本達新臺幣一百億元以上者","水泥工業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","勤業眾信聯合會計師事務所","","https://www.taiwancement.com/tw/esgReport.html","","2023/06/28","","","https://www.taiwancement.com/en/esgReport.html                                                                                                                                                          ","","2023/06/28","","","tcc_csr@taiwancement.com                                                                                                ",""
"1102","亞泥","ACC","5. 股本達新臺幣一百億元以上者","水泥工業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","3. AA1000 第2類型(Type2 ) 中度保證","SGS公司","","https://esg.acc.com.tw/","","2023/06/30","","2023/08/02","https://esg.acc.com.tw/en/resource_center/esg_report                                                                                                                                                    ","","2023/08/02","","","sheng.lin@acc.com.tw                                                                                                    ","溫室氣體查驗於2023/06/30完成，待取得第三方驗證報告書後將再更新。"
"1103","嘉泥","CHC","5. 股本達新臺幣一百億元以上者","水泥工業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","英國標準協會台灣分公司(BSI Taiwan)","","https://www.chcgroup.com.tw/%e5%a0%b1%e5%91%8a%e6%9b%b8%e4%b8%8b%e8%bc%89/","","2023/06/28","","","https://www.chcgroup.com.tw/en/%e5%a0%b1%e5%91%8a%e6%9b%b8%e4%b8%8b%e8%bc%89-en/?lang=en                                                                                                                ","","2023/08/25","","","kellyyu@chcgroup.com.tw                                                                                                 ",""
"1104","環泥","UCC","5. 股本達新臺幣一百億元以上者","水泥工業","2022/01/01~2022/12/31","2. OTHERS其他依循標準：依循GRI永續報告核心準則及永續會計準則(SASB)之建築材料業準則","會計師事務所：","1.確信準則公報第一號","秉承聯合會計師事務所","","http://www.ucctw.com/m/412-1518-11789.php?Lang=zh-tw","","2023/06/28","","","http://www.ucctw.com/m/412-1518-11789.php                                                                                                                                                               ","","2023/09/11","","","peter.chang@ucctw.com                                                                                                   ",""
"1108","幸福","LUCKY CEMENT","5. 股本達新臺幣一百億元以上者","水泥工業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.luckygrp.com.tw/tw/index.asp?au_id=11&sub_id=53","","2023/06/08","","","https://en.luckygrp.com.tw/upload/menu/20230627011400.pdf                                                                                                                                               ","","2023/06/27","","","barrychang@luckygrp.com.tw                                                                                              ",""
"1109","信大","HsingTa","5. 股本達新臺幣一百億元以上者","水泥工業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","http://www.hsingta.com.tw/SupportDetail.asp?lv=-1&id=7","","2023/09/22","","","                                                                                                                                                                                                        ","","","","","vivian201@hsingta.com.tw、emily@hsingta.com.tw                                                                          ",""
"1110","東泥","TUNA CEMENT","5. 股本達新臺幣一百億元以上者","水泥工業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","http://www.southeastcement.com.tw/index.php?q=csr","","2023/06/29","","","                                                                                                                                                                                                        ","","","","","southeast@secement.com                                                                                                  ",""
"1201","味全","WEI CHUAN","","食品工業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","資誠聯合會計師事務所","","https://www.weichuan.com.tw/uploads/esg_reports/651510ec6e635.pdf","","2023/09/28","","","                                                                                                                                                                                                        ","","","","","ESG@weichuan.com.tw                                                                                                     ",""
"1203","味王","VE WONG","1. 屬食品工業者","食品工業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","勤業眾信聯合會計師事務所","","https://www.vewong.com/ec99/ushop20069/profile-12.asp","","2023/09/23","","","                                                                                                                                                                                                        ","","","","","niel@vewong.com.tw                                                                                                      ","無"
"1210","大成","GREATWALL","1. 屬食品工業者","食品工業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","安侯建業聯合會計師事務所","","https://www.dachan.com/csr","","2023/09/25","","","https://www.dachan.com/en/csr                                                                                                                                                                           ","","2023/12/29","","","csr@ms.greatwall.com.tw                                                                                                 ",""
"1213","大飲","OCEANIC Bev.","1. 屬食品工業者","食品工業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","馬施云大華聯合會計師事務所","","http://applesidra.com.tw/","","2023/09/28","","","                                                                                                                                                                                                        ","","","","","c5012903@ms23.hinet.net                                                                                                 ",""
"1215","卜蜂","CPE","1. 屬食品工業者","食品工業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","資誠聯合會計師事務所","","https://www.cptwn.com.tw/ec99/rwd1453/category.asp?category_id=27","","2023/09/28","","2023/12/08","                                                                                                                                                                                                        ","","","","","tough@cptwn.com.tw                                                                                                      ",""
"1216","統一","UNI-PRESIDENT","","食品工業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","資誠聯合會計師事務所","","https://www.uni-president.com.tw/ESG/index.html","","2023/07/26","","","https://www.uni-president.com.tw/esg/index.html                                                                                                                                                         ","","2023/09/22","","","zona.wang@mail.pec.com.tw                                                                                               ","無"
"1217","愛之味","AGV","","食品工業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","國富浩華聯合會計師事務所","","https://www.agv.com.tw/投資&#12040;專區/永續報告書/","","2023/09/21","","","https://www.agv.com.tw/投資人專區/永續報告書/                                                                                                                                                           ","","2023/10/16","","","YUEHCHU@mail.agv.com.tw                                                                                                 ","本報告書依循GRI 準則、SASB、TCFD。"
"1218","泰山","TAISUN","1. 屬食品工業者","食品工業","2022/01/01~2022/12/31","2. OTHERS其他依循標準：R2. 其他依循標準：GRI準則、SASB、上市公司編製與申報永續報告書作業辦法第四條","會計師事務所：","1.確信準則公報第一號","安侯建業聯合會計師事務所","","https://www.taisun.com.tw/download/2022esg%e6%b0%b8%e7%ba%8c%e5%a0%b1%e5%91%8a%e6%9b%b8/?wpdmdl=16861&refresh=64e433df22a291692677087","","2023/08/25","","","https://www.taisun.com.tw/corporate/calendar-year-report/?lang=en#                                                                                                                                      ","","2023/10/27","","","vita@taisun.com.tw                                                                                                      ","無"
"1219","福壽","FWUSOW","","食品工業","2022/01/01~2022/12/31","2. OTHERS其他依循標準：GRI準則、氣候相關財務揭露(TCFD)、SASB準則","會計師事務所：","1.確信準則公報第一號","群智聯合會計師事務所","","https://www.fwusow.com.tw/download/itemlist/category/165.html","","2023/06/30","","2024/01/24","https://www.fwusow.com.tw/download/itemlist/category/165.html                                                                                                                                           ","","2023/08/25","","2024/01/26","ccyao@fwusow.com.tw                                                                                                     ",""
"1220","台榮","TAIROUN","","食品工業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","立本會計師事務所","","http://www.tairoun.com.tw/responsibility.html","","2023/09/28","","","                                                                                                                                                                                                        ","","","","","grantchou@tairoun.com.tw                                                                                                ",""
"1225","福懋油","FOPCO","","食品工業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","勤業眾信聯合會計師事務所","","http://fopco.com.tw/About.php?ADKey=27","","2023/06/30","","2024/01/31","                                                                                                                                                                                                        ","","","","","matt.kuo@fopco.com.tw                                                                                                   ","無"
"1227","佳格","S.F.C","","食品工業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","安侯建業聯合會計師事務所","","https://www.sfworldwide.com/sustainability-reports.html","","2023/09/25","","","https://www.sfworldwide.com/sustainability-reports.html                                                                                                                                                 ","","2023/09/28","","","verenashih@sfworldwide.com                                                                                              ",""
"1229","聯華","LHIHC","","食品工業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","安侯建業聯合會計師事務所","","https://www.lhicholdings.com/csr/report/","","2023/09/04","","","https://www.lhicholdings.com/en/csr/report/                                                                                                                                                             ","","2023/11/03","","","csr@lhic.com.tw                                                                                                         ",""
"1231","聯華食","Lian Hwa Foods","","食品工業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","勤業眾信聯合會計師事務所","","https://www.lianhwa.com.tw/ad_click_count.php?ad_sn=286","","2023/09/28","","2024/02/17","                                                                                                                                                                                                        ","","","","","CSR@lianhwa.com.tw                                                                                                      ","包含截至2023年04月25日之重大事件"
"1232","大統益","TTET","1. 屬食品工業者","食品工業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","資誠聯合會計師事務所","","https://www.ttet.com.tw/index.php?option=module&lang=cht&task=showlist&id=17&index=6","","2023/08/24","","","                                                                                                                                                                                                        ","","","","","ttet@mail.ttet.com.tw                                                                                                   ",""
"1233","天仁","Ten Ren","1. 屬食品工業者","食品工業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","安永聯合會計師事務所","","https://www.tenren.com.tw/Content/Downloads/List.aspx?SiteID=10&MmmID=654047254431755517","","2023/09/14","","","                                                                                                                                                                                                        ","","","","","irene@tenren.com.tw                                                                                                     ","無"
"1234","黑松","HEY SONG","","食品工業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","勤業眾信聯合會計師事務所","","https://www.heysong.com.tw/corporate-social-responsibility/csrreport","","2023/09/27","","","https://en.heysong.com.tw/corporate-social-responsibility/sustainability-report                                                                                                                         ","","2023/12/06","","","http://www.heysong.com.tw/Contact                                                                                       ",""
"1235","興泰","ST","1. 屬食品工業者","食品工業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","2.ISAE3000","群智聯合會計師事務所","","http://www.goldenbrand.com.tw/","","2023/09/27","","","                                                                                                                                                                                                        ","","","","","queena_tai@goldenbrand.com.tw                                                                                           ",""
"1236","宏亞","Hunya","1. 屬食品工業者","食品工業","2022/01/01~2022/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","安永聯合會計師事務所","","https://csr.hunya.com.tw/download.php","","2023/08/14","","","https://csr.hunya.com.tw/en/                                                                                                                                                                            ","","2023/09/13","","","charleshsu@hunya.com.tw                                                                                                 ",""
