"公司代號","公司名稱","英文簡稱","申報原因","產業類別","報告書內容涵蓋期間","編製依循準則","第三方驗證單位","第三方採用標準","會計師確信驗證單位","會計師確信採用標準","會計師確信意見類型","永續報告書網址","永續報告書檔案","上傳日期","修正後報告書","修正後報告書上傳日期","永續報告書英文版網址","永續報告書英文版檔案","英文版上傳日期","英文版修正後報告書","英文版修正後報告書上傳日期","報告書聯絡資訊","備註"
"1101","臺灣水泥股份有限公司","TCC","資本額達新臺幣二十億元以上者","水泥工業","2023/01/01~2023/12/31","GRI準則、SASB建築材料產業準則","英國標準協會BSI","AA1000 第1類型(Type1) 中度保證","Deloitte 勤業眾信聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信","https://media.taiwancement.com/web_tcc/tw/report/csr/report_2023_all.pdf","","2024/08/29","","","https://media.taiwancement.com/web_tcc/en/report/csr/report_2023_all.pdf","","2024/08/29","","","tcc_csr@taiwancement.com","因申報檔案容量限制，無壓縮版本懇請至台泥官方網站查看"
"1102","亞洲水泥股份有限公司","ACC","資本額達新臺幣二十億元以上者","水泥工業","2023/01/01~2023/12/31","GRI準則"," SGS 台灣檢驗科技股份有限公司","AA1000 第2類型(Type2) 中度保證","","","","https://esg.acc.com.tw/resource_center/esg_report","","2024/06/28","","2024/08/19","https://esg.acc.com.tw/upload/2024/r12_files/2023_Sustainability_Report.pdf","","2024/09/25","","","sheng.lin@acc.com.tw",""
"1103","嘉新水泥股份有限公司","CHC","資本額達新臺幣二十億元以上者","水泥工業","2023/01/01~2023/12/31","GRI準則","BSI 新加坡商英國標準協會集團私人有限公司臺灣分公司 ","AA1000 第1類型(Type1) 中度保證","","","","https://www.chcgroup.com.tw/%e5%a0%b1%e5%91%8a%e6%9b%b8%e4%b8%8b%e8%bc%89/","","2024/06/28","","","https://www.chcgroup.com.tw/en/%e5%a0%b1%e5%91%8a%e6%9b%b8%e4%b8%8b%e8%bc%89-en/?lang=en : https://www.chcgroup.com.tw/wp-content/uploads/2024/07/2023-Sustainability-Report.pdf","","2024/08/07","","","kellyyu@chcgroup.com.tw  ;  simonchin@chcgroup.com.tw",""
"1104","環球水泥股份有限公司","UCC","資本額達新臺幣二十億元以上者","水泥工業","2023/01/01~2023/12/31","GRI準則","","","秉承聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信","http://www.ucctw.com/m/412-1518-11789.php?Lang=zh-tw","","2024/08/15","","","","","","","","peter.chang@ucctw.com",""
"1108","幸福水泥股份有限公司","LUCKY CEMENT","資本額達新臺幣二十億元以上者","水泥工業","2023/01/01~2023/12/31","GRI準則","","","","","","https://www.luckygrp.com.tw/tw/index.asp?au_id=11&sub_id=53","","2024/06/28","","2024/11/26","https://en.luckygrp.com.tw/en/index.asp?au_id=11&sub_id=71","","2024/06/28","","","barrychang@luckygrp.com.tw",""
"1109","信大水泥股份有限公司","HsingTa","資本額達新臺幣二十億元以上者","水泥工業","2023/01/01~2023/12/31","GRI準則","","","","","","https://www.hsingta.com.tw/SupportDetail.asp?lv=-1&id=7","","2024/08/22","","","","","","","","Momo_Du@hsingta.com.tw ; emily@hsingta.com.tw",""
"1110","東南水泥股份有限公司","TUNA CEMENT","資本額達新臺幣二十億元以上者","水泥工業","2023/01/01~2023/12/31","GRI準則","","","","","","http://www.southeastcement.com.tw/index.php?q=csr","","2024/08/22","","2024/08/23","","","","","","sujin.liou@secement.com",""
"1201","味全食品工業股份有限公司","WEI CHUAN","屬食品工業者、資本額達新臺幣二十億元以上者","食品工業","2023/01/01~2023/12/31","GRI準則","","","資誠聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信","https://www.weichuan.com.tw/uploads/esg_reports/66cbfcf997eb6.pdf","","2024/08/26","","","","","","","","ESG@weichuan.com.tw",""
"1203","味王股份有限公司","VE WONG","屬食品工業者、資本額達新臺幣二十億元以上者","食品工業","2023/01/01~2023/12/31","GRI準則","","","Deloitte 勤業眾信聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信","https://www.vewong.com/ec99/ushop20069/profile-12.asp","","2024/08/27","","","","","","","","neil@vewong.com.tw","無"
"1210","大成長城企業股份有限公司","GREATWALL","屬食品工業者","食品工業","2023/01/01~2023/12/31","GRI準則","","","KPMG 安侯建業聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信","https://www.dachan.com/csr","","2024/08/27","","2024/10/28","","","","","","csr@ms.greatwall.com.tw",""
