"報告年度:2022","議題:廢棄物管理"
"公司代號","公司名稱","有害廢棄物量(公噸)-有害廢棄物量(公噸)","非有害廢棄物(公噸)-非有害廢棄物(公噸)","總重量(有害+非有害)(公噸)-總重量(有害+非有害)(公噸)","資料範圍-資料範圍","廢棄物密集度-密集度(公噸/單位)","廢棄物密集度-單位","取得驗證-取得驗證"
"=""1101""","台泥","0.0000","1363.6600","1363.6600","台泥台灣個體公司 (涵蓋企業團營運總部、研究室、2座水泥廠、24座製品廠)","0.0002","產品","ISO 9001"
"=""1102""","亞泥","0.0000","2654.0000","2654.0000","亞洲水泥個體公司","0.2470","百萬元營業額","ISO14001、ISO9001"
"=""1103""","嘉泥","0.0000","344.0000","344.0000","包含合併財務報表之母子公司","0.0002","百萬元營業額",""
"=""1104""","環泥","0.0000","16243.7284","16243.7284","母公司","0.0036","新台幣千元產值",""
"=""1108""","幸福","無，本公司於生產水泥熟料過程中，經過1450度旋窯之燒成，所有替代原料(包含廢棄物)均不會產生，故於生產過程中尚無產生廢棄物；另一般辦公室及廠房所產生之垃圾，則無法統計數量。","無，本公司於生產水泥熟料過程中，經過1450度旋窯之燒成，所有替代原料(包含廢棄物)均不會產生，故於生產過程中尚無產生廢棄物；另一般辦公室及廠房所產生之垃圾，則無法統計數量。","無，本公司於生產水泥熟料過程中，經過1450度旋窯之燒成，所有替代原料(包含廢棄物)均不會產生，故於生產過程中尚無產生廢棄物；另一般辦公室及廠房所產生之垃圾，則無法統計數量。","","無，無統計相關數據","",""
"=""1109""","信大","無，詳年報說明","無，詳年報說明","無，詳年報說明","","無，無統計相關數據","","ISO 9001"
"=""1110""","東泥","0.0000","51.1400","51.1400","僅母公司","0.0301","百萬元營業額",""
"=""1201""","味全","1.3000","5378.4000","5379.7000","1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠) 2.111年廢棄物重量為5379.70公噸，包含非有害廢棄物5378.40公噸及有廢棄物1.30公噸。 廢棄物處理方式：有害廢棄物採焚燒及化學處理、非有害廢棄物則以回收再利用(含回收及  堆肥處理為主、焚化處理次之) 3.111年廢棄物回收再利用及堆肥量等共計5212.00公噸，資源回收再利用率為96.9%。","0.6650","百萬元營業額","ISO 14001"
"=""1203""","味王","0.0000","0.0000","567.8000","僅母公司","0.2500","百萬元營業額",""
"=""1210""","大成","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1213""","大飲","52.1300","20.0000","72.1300","僅母公司","無，NA","","NA"
"=""1215""","卜蜂","0.0000","30571.4500","30571.4500","南投肉食品加工廠、台中飼料廠、高雄飼料廠、雲林飼料廠","無，無統計相關數據","",""
"=""1216""","統一","2.2600","36403.7100","36405.9700","僅母公司","7.8000","營業收入千萬元","ISO 14001"
