"報告年度:2023","議題:氣候相關議題管理"
"公司代號","公司名稱","董事會與管理階層對於氣候相關風險與機會之監督及治理-董事會與管理階層對於氣候相關風險與機會之監督及治理","辨識之氣候風險與機會如何影響企業之業務、策略及財務 (短期、中期、長期)-辨識之氣候風險與機會如何影響企業之業務、策略及財務 (短期、中期、長期)","極端氣候事件及轉型行動對財務之影響-極端氣候事件及轉型行動對財務之影響","氣候風險之辨識、評估及管理流程如何整合於整體風險管理制度-氣候風險之辨識、評估及管理流程如何整合於整體風險管理制度","若使用情境分析評估面對氣候變遷風險之韌性，應說明所使用之情境、參數、假設、分析因子及主要財務影響。-若使用情境分析評估面對氣候變遷風險之韌性，應說明所使用之情境、參數、假設、分析因子及主要財務影響。","若有因應管理氣候相關風險之轉型計畫，說明該計畫內容，及用於辨識及管理實體風險及轉型風險之指標與目標。-若有因應管理氣候相關風險之轉型計畫，說明該計畫內容，及用於辨識及管理實體風險及轉型風險之指標與目標。","若使用內部碳定價作為規劃工具，應說明價格制定基礎。-若使用內部碳定價作為規劃工具，應說明價格制定基礎。","若有設定氣候相關目標，應說明所涵蓋之活動、溫室氣體排放範疇、規劃期程，每年達成進度等資訊；若使用碳抵換或再生能源憑證(RECs)以達成相關目標，應說明所抵換之減碳額度來源及數量或再生能源憑證(RECs)數量。-若有設定氣候相關目標，應說明所涵蓋之活動、溫室氣體排放範疇、規劃期程，每年達成進度等資訊；若使用碳抵換或再生能源憑證(RECs)以達成相關目標，應說明所抵換之減碳額度來源及數量或再生能源憑證(RECs)數量。"
"=""1240""","茂生農經","本公司董事會已通過設立於「永續發展委員會」，委員為總經理、生產部門廠長及獨董等共同組成，預計溫室氣體盤查（碳盤查）113年完成及114年完成編制永續報告書。每年至少一次召開永續發展委員會後提案向董事會報告，另董事會提出適當意見及監督建議，以提供公司主管負責整合各部門資源辨識氣候風險，訂定工作方針執行減碳目標，並採取節電減碳等措施，積極推動有關氣候的因應措施。","本公司為家禽家畜食用飼料的製造銷售公司，面臨的氣候風險和機會是對營運中的關鍵挑戰，主要在購買國外大宗原物料黃小玉更為明顯。了解全球生產地所受氣候影響下，需擬定買賣策略，以減少氣候對大宗原物料購買和財務狀況的影響，財務投資方面可接觸綠色技術和農業技術創新，提升抗氣候變化能力及投資綠色債券。","極端氣候事件及轉型行動，可以考慮於全球各地採購，同時採用減碳方向的生產設備及投資綠色債券。","本公司董事會已通過設立於「永續發展委員會」，將可提供企業營運在永續發展議題所面臨的風險，包含生產減碳及氣候變遷可能帶來之實體與轉型風險，可以提出看法建議，對各部門進行因應策略規劃，整合及管理有所助，每年至少一次召開永續發展委員會後提案向董事會報告。提出管理執行情形與風險控管報告，以期強化企業體質。","","","",""
"=""1259""","安心","董事會：氣候變遷管理最高單位，負責審查年度氣候相關風險管理制度有效進行。 ESG委員會：自2014年起，設立「企業社會責任委員會(2021年改為ESG委員會)」指導ESG相關事務。 目前委員會成員由4名董事組成之，其中1位為獨立董事，並由董事擔任召集人及會議主席，每年至少召開2次會議。","2023年世界經濟論壇（World Economy Forum，WEF）發布全球風險報告指出，未來10年內全球最有可能發生的前五大風險當中，前五項分別為氣候變遷減緩失敗、氣候變遷調適失敗、自然災害及極端天氣事件、生物多樣性流失與生態系統失衡、大規模非志願性移民，前四名皆和氣候變遷議題相關，顯示環境問題依然為全球未來之重大議題，淨零排放的議題更是讓許多產業不得不重視氣候變遷可能會來的危機。 根據許多研究和專家學者的建議，餐飮業可以透過減少使用碳排放量大的食物(牛肉等)、有效減少剩食和提升廚房的設備效率，減少碳排放量。為此，安心食品透過氣候變遷的風險管理，找出氣候變遷可能對餐飮業所帶來的危機，針對危機實施預防措施，同時也希望找到轉型的契機，為餐飮業的永續發展而努力。","極端氣候造成短時間強降雨，導致店舖設備受到淹水等危害加速資產折舊，增加設備維修成本，同時造成店舖無法營業，導致營業收入減少。 投資智慧農場、食品工廠等，但受市場價格影響其競爭力，造成營業成本增加，影響獲利。","為因應氣候變遷與能源供應的潛在危機，安心食品結合環境、社會/人權、治理等面向，積極執行節能減碳與省水相關專案，並鑑別降低氣候變遷相關之風險，開發低碳蔬食商品與服務，強化氣候韌性與建立永續發展文化。為因應氣候變遷對於企業營運的衝擊與具體呈現氣候變遷的資訊揭露，安心食品自2019年起，依循TCFD公布之氣候相關財務揭露建議書架構，開始針對氣候變遷進行資料蒐集、鑑別、評估財務影響，以降低風險並掌握機會。","安心依照IPCC第5次評估報告（Assessment Report5，AR5）中，以「代表濃度途徑」（RepresentativeConcentrationPathways，簡稱RCPs）定義未來氣候變遷的情境，選定RCP2.6及RCP8.5風險之情境。 ESG專案小組依循TCFD之氣候相關風險、機會與參考標竿企業為基礎，歸納出16項氣候風險與機會。 將16項氣候風險與機會，進行檢視篩選出8項氣候風險、8項氣候機會，進行深入的氣候情境分析。氣候相關風險與機會之管理，將企業各層級的權責與分工內化到公司管理流程。 召集公司內業務相關單位，進行討論，鑑別氣候風險與機會，以衝擊嚴重性和發生機率等二大面向進行評估。","為有效管理氣候變遷相關風險與機會對安心的衝擊，我們依循國發會公布的「台灣2050淨零排放路徑及策略總說明」，除完成能源效率提升、安心智慧農場之目標外，我們也規劃廠商安裝智慧電表，用以監測用電狀況；此外，安心食品也依循台灣2050淨零轉型的四大轉型當中的能源轉型政策，規劃設置儲能設備。 關鍵績效指標：提升能源效率、建立短鏈供應鏈 中長期目標：為降低銷售密集度，將持續汰換設備，以提升能源效率。 持續研發、試種並量產作物。未來預計再增加48公噸/年蔬菜產能。 持續擴大安心智慧農場生產規模與通路布局。擴大摩斯漢堡、餐飮關係企業、外部通路蔬菜需求，讓更多消費者品嘗安心、健康、高品質蔬菜，享受健康食材。","",""
"=""1264""","德麥","本公司為因應氣候的高度不確定性與政策、市場的快速變化，並即時掌握和推估氣候變化造成的可能影響，定期召集各部門主管辨識重大氣候風險，期能掌握在外環境與市場動態，更全面地考量整體的營運策略規劃。 本公司由總經理室領導相關功能部門主管負責制定、推動永續發展(包括氣候相關議題)重要政策，並編製ESG報告提報董事會。","辯識之風險 (1)極端氣候導致農作物欠收致使烘焙原料成本上漲。 (2)轉型至低碳經濟所產生之風險。 辯識之機會:提前辯認風險擬定因應策略，可使本公司更穩固永續發展。 影響企業之業務、策略及財務 (1)農作物欠收造成進貨成本上升，毛利率下降 短期策略：隨時關注農作物市場價格波動及供需情形。 中期策略：增加供應商數量，降低過度集中風險。 長期策略：積極尋找替代原料。 (2)溫室氣體總量管制與碳稅、碳費繳納造成營業成本上升及淨零排放購置減碳設備造成營運成本增加 短期策略：制定碳排放減量目標。 中期策略：購置減碳設備。 長期策略：鼓勵供應商採取氣候減緩和調適行動。","本公司透過內部討論及評估，辨識出洪災、旱災，以及降水模式變化和氣候模式的極端變化等對烘焙原料種植有潛在風險。強降雨及乾旱階可能導致作物欠收，進而導致原料成本上漲。 隨著全球提倡淨零排放趨勢及未來各國碳費稅政策的擬定趨勢，本公司亦與大多數企業相同，面臨轉型發展低碳經濟之壓力，未來勢必增加相關支出以符合各項法規政策，本公司也隨著法規與時程，逐步統計、制定減碳目標並定期追蹤。","本公司由總經理室領導相關功能部門主管定期開會辨識、評估重大氣候風險，並制相關因應策略，並編製ESG報告提報董事會，本公司於2022年開始著手統計溫室氣體，並訂定未來每年減碳2%的目標，另集團評估台灣公司主要以買賣為主，故擬優先針對主要生產子公司進行減碳改善，於2023年重要子公司芝蘭雅已購置光伏設備，降低能源消耗及溫室氣體排放。","","","",""
"=""1268""","漢來美食","漢來美食參考TCFD架構，將氣候議題的治理納入永續發展委員會運作，由董事會擔任最高治理層級，負責監督與指導公司對氣候相關風險與機會之管理情形；管理階層則依永續發展委員會組織架構及運作頻率，負責氣候相關風險與機會之策略規劃、執行及管理，並向董事會報告。","漢來美食經蒐集氣候風險與機會議題並參考相關資訊，評估議題發生的可能性後選出前5大項目，對公司業務、策略及財務的影響如下： (1)政策及法規上，政府可能針對現有產品和服務，制訂與環境相關法規和管制，強化對公司的要求與監督。 (2)技術方面，為低碳轉型，公司可能需創新製程或改變服務的提供方式。 (3)市場方面，原物料取得則可能因為自然資源改變，能源、水取得的便利性及廢棄物處理也可能受到影響。 (4)颱風、洪水等極端天氣事件嚴重程度提高，對公司營運或供應鏈中斷可能產生立即性影響。 (5)公司可掌握機會開發替代原物料或產品，或採購節能設備提升資源使用效率。","因應氣候變遷的風險與機會，相關轉型行動對財務的影響如下： (1)政策及法規上，為配合政策法規，需展開如溫室氣體盤查、減量、查證或包材減量等工作，使維運成本增加。 (2)技術方面，為開發符合低碳轉型的品牌、菜色及食材，包材並持續朝回收或再生材料規劃，需創新製程或改變服務的提供方式，使研發支出增加。 (3)市場方面，為提升能資源使用效率，需規劃汰換節能設備、加強廢棄物管理或提高再生原物料的使用，使資本支出及取得、處理成本增加。 (4)颱風、洪水等極端天氣事件嚴重程度提高，會增加營運或供應鏈中斷的衝擊，使營收減少或成本提高。 (5)在提升資源使用效率上，需投入研發或設備汰換，使研發支出及資本支出增加。","漢來美食的氣候相關風險與機會經評估與鑑別後，係整合於風險管理制度，由各營運單位填寫自行評估表，依據業務相關之風險特性與影響程度予以辨識、分析、衡量、監控、回應、報告風險及因應措施，由稽核室彙整提報功能小組統籌組，再由統籌組整合向風險管理委員會及董事會報告。","","因應氣候變遷，漢來美食的轉型行動及指標目標如下： (1)餐廳建置搭配建築案取得黃金級綠建築標章證書，投入含央環控系統及省電照明空調建置。衡量指標為節電省水的效益。 (2)投入數位轉型計畫，達到供應鏈管理優化及採購流程電子化，降低作業成本、倉儲成本並減少食材耗損。衡量指標為節省人工小時、帶動合作供應商家數及系統服務使用人次。 (3)投入硬體設備汰換、包裝減量計畫及碳盤查專案達成節能減碳，衡量指標為排碳量或減少包材重量。","","目前氣候目標包括 (1)溫室氣體盤查：每年追踪範疇一、二減排成效並公開揭露，溫室氣體排放減量目標為每年碳排量以不增加為原則（企業營運範圍未變動之同基期前提）。2023年未達成目標。 (2)廢棄物減量：每年統計每千元營業額平均產出廢食用油量及廚餘量，在正常營運之前提下，以不高於前一年度為原則。2023年廢食用油達成目標，廚餘量未達成目標。 (3)減少用水：每年統計每千元營業額平均用水量，在正常營運之前提下，以不高於前一年度為原則。2023年達成目標。 (4)訪查供應商環境：每年針對主要供應商、年節餅類供應商及包裝類供應商進行訪廠，在正常營運之前提下，以不低於30家為原則。2023年達成目標。 (5)進行餐廳評核：優良餐廳及取得HACCP評鑑餐廳之取得認證後營收占公司總營收之比例，在正常營運之前提下，以不低於前一年度為原則。2023年達成目標。"
"=""1336""","台翰","董事會為本公司氣候風險管理最高決策單位，轄下「永續發展委員會」協助落實永續發展推動，監督各項永續議題之進度及成效，並擬定氣候相關風險管理及因應策略，每年一次向董事會報告執行成果、未來因應計畫等。 本公司已將氣候變遷議題列入日常永續議題一同管理，由「永續推行小組」擔任上下串連及跨部門整合單位，每月追蹤水、電及廢棄物之用量，並每季檢討減量計畫之成果，亦每年一次將TCFD中鑑別出的風險、相關因應對策及短、中、長期計畫定期提報至永續發展委員會，並由執行副總提報至董事會。","本公司參考TCFD(Task Force on Climate-Related Financial Disclosures) 架構， 揭露本公司對氣候相關風險與機會因子所發生的可能性、機率及影響程度，並評估其短、中、長期可能對本公司造成的財務影響，再由鑑別優先管理之實體及轉型風險，並透過跨部門討論將氣候風險與機會列入日常營運考量，且皆已依照應對策略預估相關因應計畫所需投入之成本，以降低氣候風險對本公司之營運造成衝擊。","台翰科技推估在最理想情境及最劣情境下，本公司可能承擔之實體及轉型風險結果如下： 實體風險：本公司評估2050年乾旱、豪雨及歷年淹水地區推估，對廠房及設備皆不會造成重大影響，故以停工一日之產值損失推估極端氣候對本公司造成之影響。集團停工一日造成之產值損失約600萬元。 轉型風險： (1) 碳費：依照既定政策情境(Stated Policies Scenario)模擬本公司2050年之碳費支出成本預計來到6,000萬以上；以2050淨零排放情境(Net Zero Emissions by 2050 Scenario)下2050年之碳費成本預計為5,600萬以上。 (2) 積極投入減碳轉型技術，本公司預計2050年較2023年之用電量下降25%。再生能源設置方面，本公司預計在既定政策的情境下，將不會額外建置再生能源。而在2050年淨零排放的政策下則預計將建置2023年總用電量佔比20%的再生能源。","本公司每兩年一次由「永續推行小組」發起TCFD氣候風險與機會之討論，召集各部門之高階主管，參考國內外相關產業及國際組織提出之議題、TCFD架構之建議及營運過程中的感受的風險與機會。分別檢視其對本公司造成財務風險之可能性、衝擊程度及發生時間，作為排列氣候風險及機會管理之優先順序，並將研擬之因應計畫納入ESG日常管追蹤管理，以檢視其執行進度及成效。","台翰科技在實體風險方面依據IPCC AR6版中的理想情境(SSP1-2.6)及最劣情境(SSP5-8.5)，並參考台灣氣候變遷推估資訊與調適知識平台(TCCIP)提供之模擬資訊，推估台灣及各廠區在極端氣候下面臨之風險及潛在財務損失。 本公司轉型風險之情境模擬參考據國際能源署(International Energy Agency, IEA) 2022 年全球能源展望(World Energy Outlook, WEO)，相關假設如下： (1) 既定政策情境（STEPS）描述當今政策環境下的發展軌跡。 (2) 2050 年淨零排放情境（NZE）提出一種將全球平均升溫穩定在 1.5°C，並於2030 年前實現現代能源普及的方案。","台翰科技已規劃於2026完成所有廠區的溫室氣體排放量確信，並於2030年下降15%之排放量(與2022年相較)，逐步由內部設備開始汰換，及再生能源憑證的購買，到提升再生能源以及再生原料使用比例。","","台翰科技預計於2030年前(中期目標)達成所有廠區範疇一、二之碳排量較2022年減少15%，並於2040年較2022年減少30%的碳排量。"
"=""1565""","精華","已訂定設置溫室氣體盤查兼職單位，並指派管理部經理擔任管理代表人，統籌規劃溫室氣體盤查相關事務，並定期於每季董事會報告執行進度。","待溫室氣體盤查完畢後評估。","暫無重大影響。","待溫室氣體盤查完畢後評估。","","","",""
"=""1569""","濱川","董事會作為氣候變遷管理之最高治理機構，面對氣候變遷之挑戰，未來將對於氣候相關風險與機會之監督及治理，訂定政策，以強化對氣候風險與機會之管理與因應。","尚未完成辨識之氣候風險與機會。","尚未完成評估極端氣候事件及轉型行動對財務之影響。","尚未完成氣候風險之辨識、評估及管理流程。","","","",""
"=""1570""","力肯","公司依據氣候相關財務揭露建議的架構可分治理、策略、風險管理、指標及目標等，由永續發委員會之各委員進行鑑別氣候相關揭露的風險與機會，擬定後續的因應策略，每年至少一次向董事會報告，由董事會成員藉此了解減緩氣候變遷工作推動情形，並適時提出建議與回饋。","R1: 氣候變遷風險調適建議: 以低碳商品替代現有產品及服務 風險等級: 中 時間範疇: 中期、長期 R2: 氣候變遷風險調適建議: 客戶行為變化 風險等級: 中 時間範疇: 短期、中期 R3: 氣候變遷風險調適建議: 降雨(水)模式變化和天氣事件嚴重程度提高 風險等級: 高 時間範疇: 中期、長期 R4: 氣候變遷風險調適建議: 原物料成本上漲 風險等級: 高 時間範疇: 短期、中期、長期 C1: 氣候變遷風險調適建議: 減少用水量及耗水量 風險等級: 高 時間範疇: 短期、中期、長期 C2: 氣候變遷風險調適建議: 使用更高效率的生產及配銷流程 風險等級: 中 時間範疇: 中期、長期 C3: 氣候變遷風險調適建議: 回收再利用 風險等級: 高 時間範疇: 短期、中期 C4: 氣候變遷風險調適建議: 使用低碳能源 風險等級: 中 時間範疇: 中期、長期 （時間範疇說明:短期: 1-3年、中期: 4-6年、長期: 7年以上）","●風險項目: 降雨(水)模示變化和氣候模式的極端變化 財務衝擊及因應機制: 因極端天氣事件增加、導致颱風暴雨發生頻率增加可能造成廠房淹水影響公司之營運經評估後可能成財務之損失本公司因應措施為落實排水系統的維護並建立颱風暴雨緊急應變計劃以減少立即性風險廠區已完成防水層且已導入第三方驗證ISO14001，故此風險對整體營運衝擊程度不至構成太大影響。 ●風險項目: 原物料成本上漲 財務衝擊及因應機制: 因應氣候變遷包含歐盟2023年起試行徵收碳稅，造成大宗原物料生產成本及運費成本提高，進而對營運造成影響。唯公司之原物料多為在地化採購，故此風險對整體營運衝擊程度不至構成太大影響。 ●風險項目: 減少用水量及耗水量 財務衝擊及因應機制: 建立各水資源管理方案並依據減量、再利用與回收三項策略進行，包括使用省水水龍頭或省水裝置以及省水馬桶，以減少耗水量。","預定113年洽請ESG專業顧問進行輔導，藉由政策法規蒐集、市場趨勢、內部目標等內外部議題，整理出氣候變遷風險議題清單。透過未來情境條件設定，鑑別分析未來可能面臨之相關風險，對潛在中高風險項目進行質性或量化分析，評估這些風險可能造成影響程度，提出新的因應措施方案。","","","",""
"=""1580""","新麥","本公司董事會為風險控管的最高決策單位，且持續關注氣候變遷相關議題，並辨認氣候變遷相關之風險與機會，本公司將成立永續發展委員會，由相關成員負責制定、推動及強化永續發展（包括氣候相關議題）重要政策之行動計畫與資本支出，檢討、追蹤與修訂永續發展執行情形與成效，並提報董事會。","風險因子 1.極端天氣事件    (1)財務及業務影響         a.營運成本增加         b.營收減少         c.資產損失         d.災害使人員傷亡     (2)期間及因應策略         a.短期：即時掌控氣象資訊，針對各類型極端天氣制訂緊急應變計畫。         b.中期：評估生產據點針對極端氣候風險，並執行減緩措施。         c.長期：新增或重建廠房等重要據點時，建造時納入氣候變遷因素。 2.環境相關法規修訂等轉型風險     (1)財務及業務影響         a.研發費用增加         b.資本支出增加     (2)期間及因應策略         a.短期：溫室氣體盤查及管制，規劃低碳產品及節能設備更新的計畫。         b.中期：投入低碳產品的研發，採購節能設備。         c.長期：依碳排淨零方向發展。 機會因子 1.低碳產品的研發及創新    (1)財務及業務影響         低碳產品需求增加，使營收增加    (2)期間及因應策略         持續投入研發低碳產品，採購原物料時評估採用低碳足跡之原物料。 2.推動低碳生產    (1)財務及業務影響         節省能源消耗，使營運成本下降    (2)期間及因應策略         採購節能設備，訂定節能政策，提高能源使用效率，以降低能源消耗及節省營運成本。","極端氣候事件 本公司經評估可能因缺水、颱風、強降雨等極端天氣，而造成廠區營運中斷，財務方面造成營運成本上升、營收下降及資產損失等情形，本公司將針對各類型極端天氣制訂緊急應變計畫，以避免風險衝擊，並持續關注氣候造成的影響即時應變及檢討。 轉型行動 因環境法令或規範日趨嚴謹及低碳產品的趨勢下，低碳轉型成為重要目標，其中碳費與溫室氣體總量管制、再生能源法規規範，以及消費者喜好轉變等，可能使生產成本及研發成本增加或使銷售量降低，本公司將實施研發低碳產品、訂定能源政策及更新節能設備等措施，以符合法規規範，並以淨零排放的目標前進。","本公司董事會為風險控管的最高決策單位，直接監督公司風險治理架構。為健全風險評估及強化管理機能，本公司將成立工作小組，負責辨識和管理企業營運之風險，包含氣候變遷可能帶來之實體與轉型風險。","","","",""
