"報告年度:2023","議題:董事會"
"公司代號","公司名稱"," 董事會席次(席)- 董事會席次(席)","獨立董事席次(席)-獨立董事席次(席)","董事出席董事會出席率-董事出席董事會出席率","董事進修時數符合進修要點比率-董事進修時數符合進修要點比率","女性董事席次及比率-席","女性董事席次及比率-比率"
"=""1240""","茂生農經","7","3","100.00%","100.00%","1","0.14%"
"=""1259""","安心","11","3","98.65%","100.00%","2","18.18%"
"=""1264""","德麥","11","3","100.00%","100.00%","2","18.18%"
"=""1268""","漢來美食","7","3","95.92%","100.00%","1","14.29%"
"=""1336""","台翰","8","4","95.00%","100.00%","1","12.50%"
"=""1565""","精華","8","3","100.00%","100.00%","0","0.00%"
"=""1569""","濱川","10","3","98.00%","100.00%","1","10.00%"
"=""1570""","力肯","9","3","88.89%","0.00%","2","22.22%"
"=""1580""","新麥","9","3","100.00%","100.00%","1","11.11%"
"=""1584""","精剛","9","4","98.41%","100.00%","0","0.00%"
"=""1586""","和勤","8","4","90.74%","100.00%","2","25.00%"
"=""1591""","駿吉-KY","9","3","93.00%","100.00%","0","0.00%"
"=""1593""","祺驊","7","4","95.65%","87.50%","2","28.57%"
"=""1595""","川寶","10","3","90.00%","100.00%","0","0.00%"
"=""1599""","宏佳騰","7","4","95.24%","100.00%","0","0.00%"
"=""1742""","台蠟","9","3","100.00%","22.22%","1","11.11%"
"=""1777""","生泰","7","3","100.00%","100.00%","1","14.29%"
"=""1781""","合世","7","3","92.86%","14.29%","1","14.29%"
"=""1784""","訊聯","7","3","92.86%","100.00%","0","0.00%"
"=""1785""","光洋科","6","3","95.96%","100.00%","1","11.11%"
"=""1788""","杏昌","12","3","95.08%","100.00%","3","25.00%"
"=""1796""","金穎生技","9","3","100.00%","100.00%","1","11.11%"
"=""1799""","易威","10","4","85.71%","90.00%","2","20.00%"
"=""1813""","寶利徠","6","4","95.74%","100.00%","0","0.00%"
"=""1815""","富喬","9","3","93.00%","100.00%","0","0.00%"
"=""2035""","唐榮公司","11","3","98.48%","100.00%","0","0.00%"
"=""2061""","風青","8","3","100.00%","0.00%","4","50.00%"
"=""2063""","世鎧","7","3","100.00%","100.00%","1","14.29%"
"=""2064""","晉椿","7","3","85.71%","100.00%","2","28.57%"
"=""2065""","世豐","7","3","100.00%","100.00%","2","28.57%"
"=""2066""","世德","7","3","82.86%","0.00%","0","0.00%"
"=""2067""","嘉鋼","9","3","81.81%","100.00%","0","0.00%"
"=""2070""","精湛","7","3","89.29%","100.00%","2","28.57%"
"=""2073""","雄順","7","3","100.00%","0.00%","2","28.57%"
"=""2221""","大甲","7","3","85.71%","100.00%","0","0.00%"
"=""2230""","泰茂","7","3","71.43%","100.00%","0","0.00%"
"=""2235""","謚源","8","3","82.50%","87.50%","1","12.50%"
"=""2596""","綠意","7","4","96.97%","100.00%","1","14.29%"
"=""2640""","大車隊","11","4","97.53%","100.00%","3","27.27%"
"=""2641""","正德","8","4","96.00%","100.00%","2","25.00%"
"=""2643""","捷迅","9","3","96.00%","100.00%","0","0.00%"
"=""2718""","晶悅","7","3","100.00%","100.00%","3","43.00%"
"=""2719""","燦星旅","9","3","96.20%","77.78%","5","55.56%"
"=""2724""","藝舍-KY","7","3","91.43%","57.14%","1","14.29%"
"=""2726""","雅茗-KY","7","3","80.95%","100.00%","2","28.57%"
"=""2729""","瓦城","7","3","90.77%","100.00%","2","28.57%"
"=""2732""","六角","7","3","93.88%","100.00%","1","14.29%"
"=""2734""","易飛網","9","3","92.59%","100.00%","2","22.22%"
"=""2736""","富野","9","3","83.33%","100.00%","4","44.44%"
"=""2740""","天蔥","7","2","94.29%","100.00%","1","14.29%"
"=""2743""","山富","7","3","91.30%","6.36%","1","14.29%"
"=""2745""","五福","7","3","88.57%","100.00%","0","0.00%"
"=""2752""","豆府","7","3","92.86%","100.00%","0","0.00%"
"=""2754""","亞洲藏壽司","7","3","100.00%","0.00%","1","14.29%"
"=""2755""","揚秦","7","3","87.50%","100.00%","2","28.57%"
"=""2756""","聯發國際","7","3","100.00%","100.00%","2","28.57%"
"=""2916""","滿心","9","3","84.00%","0.00%","1","14.00%"
"=""2924""","宏太-KY","7","3","97.00%","100.00%","2","29.00%"
"=""2926""","誠品生活","9","4","91.23%","100.00%","3","33.33%"
"=""2937""","集雅社","7","3","93.94%","100.00%","1","14.29%"
"=""2941""","米斯特","8","4","100.00%","100.00%","2","25.00%"
"=""2947""","振宇五金","7","4","97.80%","100.00%","3","42.86%"
"=""2948""","寶陞","7","3","100.00%","100.00%","0","0.00%"
"=""2949""","欣新網","7","3","87.30%","14.29%","0","0.00%"
"=""3064""","泰偉","7","3","89.80%","57.14%","1","14.28%"
"=""3066""","李洲","7","3","100.00%","100.00%","0","0.00%"
"=""3067""","全域","7","3","69.39%","14.29%","1","14.29%"
"=""3071""","協禧","9","3","100.00%","100.00%","1","11.11%"
"=""3073""","天方能源","8","4","97.50%","75.00%","1","12.50%"
"=""3078""","僑威","10","4","98.41%","100.00%","2","20.00%"
"=""3081""","聯亞","7","3","100.00%","100.00%","1","14.29%"
"=""3083""","網龍","9","3","97.20%","100.00%","0","0.00%"
"=""3085""","新零售","7","3","85.71%","85.71%","0","0.00%"
"=""3086""","華義","7","3","94.29%","100.00%","1","14.29%"
"=""3088""","艾訊","7","3","100.00%","100.00%","",""
"=""3093""","港建*","10","3","92.50%","50.00%","1","10.00%"
"=""3095""","及成","7","3","98.21%","100.00%","1","14.29%"
"=""3105""","穩懋","11","4","95.31%","100.00%","1","9.09%"
"=""3114""","好德","8","3","95.00%","100.00%","0","0.00%"
"=""3115""","富榮綱","7","3","88.57%","100.00%","1","14.29%"
"=""3118""","進階","9","3","96.83%","100.00%","2","22.22%"
"=""3122""","笙泉","7","3","92.31%","100.00%","0","0.00%"
"=""3128""","昇銳","7","3","97.80%","100.00%","2","28.57%"
"=""3131""","弘塑","7","3","89.29%","100.00%","1","14.29%"
"=""3141""","晶宏","7","4","97.14%","100.00%","0","0.00%"
"=""3147""","大綜","7","3","97.96%","100.00%","1","14.29%"
"=""3152""","璟德","10","4","97.50%","80.00%","2","20.00%"
"=""3162""","精確","7","3","86.00%","100.00%","2","29.00%"
"=""3163""","波若威","9","3","100.00%","100.00%","1","11.11%"
"=""3169""","亞信","9","3","100.00%","100.00%","0","0.00%"
"=""3171""","新洲","5","3","96.00%","60.00%","0","0.00%"
"=""3176""","基亞","8","4","95.83%","100.00%","3","37.50%"
"=""3178""","公準","7","3","100.00%","100.00%","0","0.00%"
"=""3188""","鑫龍騰","9","4","100.00%","22.22%","0","0.00%"
"=""3191""","雲科","9","3","100.00%","0.00%","1","1.00%"
"=""3202""","樺晟","9","4","94.74%","100.00%","2","22.22%"
"=""3205""","佰研","7","3","94.29%","100.00%","1","14.29%"
"=""3206""","志豐","9","4","100.00%","100.00%","4","44.44%"
"=""3207""","耀勝","9","3","90.60%","11.11%","1","11.11%"
"=""3211""","順達","9","5","96.83%","100.00%","1","11.11%"
"=""3213""","茂訊","7","3","95.86%","100.00%","2","28.57%"
"=""3217""","優群","9","3","97.22%","100.00%","0","0.00%"
"=""3218""","大學光","8","4","100.00%","100.00%","2","25.00%"
"=""3219""","倚強科","7","4","100.00%","100.00%","0","0.00%"
"=""3221""","台嘉碩","9","3","95.83%","100.00%","1","11.11%"
"=""3224""","三顧","9","3","98.41%","100.00%","1","11.11%"
"=""3226""","至寶電","6","4","100.00%","100.00%","1","16.67%"
"=""3227""","原相","7","4","100.00%","100.00%","1","14.00%"
"=""3228""","金麗科","9","4","91.67%","100.00%","0","0.00%"
"=""3230""","錦明","8","3","94.00%","100.00%","1","12.50%"
"=""3232""","昱捷","9","3","91.11%","100.00%","1","11.11%"
"=""3234""","光環","6","4","95.24%","100.00%","0","0.00%"
"=""3236""","千如","10","3","95.00%","100.00%","2","20.00%"
"=""3252""","海灣","7","3","100.00%","14.29%","1","14.29%"
"=""3259""","鑫創","7","3","95.23%","64.29%","0","0.00%"
"=""3260""","威剛","9","5","91.92%","100.00%","5","55.56%"
"=""3264""","欣銓","11","4","96.18%","95.50%","1","9.09%"
"=""3265""","台星科","9","3","96.30%","100.00%","0","0.00%"
"=""3268""","海德威","4","3","100.00%","100.00%","2","28.57%"
"=""3272""","東碩","10","4","100.00%","100.00%","4","40.00%"
"=""3276""","宇環","7","3","91.43%","14.29%","4","57.14%"
"=""3284""","太普高","9","3","94.44%","100.00%","2","22.22%"
"=""3285""","微端","7","3","96.97%","100.00%","2","28.57%"
"=""3287""","廣寰科","7","3","100.00%","100.00%","3","43.00%"
"=""3288""","點晶","9","4","89.04%","100.00%","1","11.11%"
"=""3289""","宜特","10","4","92.00%","100.00%","0","0.00%"
"=""3290""","東浦","9","3","98.15%","0.00%","2","22.22%"
"=""3293""","鈊象","9","3","100.00%","100.00%","0","0.00%"
"=""3294""","英濟","7","3","86.00%","100.00%","1","14.29%"
"=""3297""","杭特","7","3","100.00%","100.00%","4","57.14%"
"=""3303""","岱稜","9","3","100.00%","100.00%","1","11.11%"
"=""3306""","鼎天","7","3","88.57%","0.00%","1","14.29%"
"=""3310""","佳穎","6","2","65.22%","100.00%","2","33.33%"
"=""3313""","斐成","7","3","98.31%","100.00%","1","14.29%"
"=""3317""","尼克森","6","4","100.00%","66.67%","1","16.67%"
"=""3322""","建舜電","5","3","100.00%","100.00%","1","20.00%"
"=""3323""","加百裕","10","4","92.11%","100.00%","2","20.00%"
"=""3324""","雙鴻","9","4","100.00%","100.00%","1","11.11%"
"=""3325""","旭品","9","3","90.48%","100.00%","1","11.11%"
"=""3332""","幸康","7","3","97.14%","100.00%","0","0.00%"
"=""3339""","泰谷","7","3","100.00%","100.00%","1","14.29%"
"=""3349""","寶德","9","3","82.22%","100.00%","2","22.22%"
"=""3354""","律勝","7","4","88.10%","100.00%","2","28.57%"
"=""3357""","臺慶科","9","3","99.26%","100.00%","2","22.22%"
"=""3360""","尚立","9","4","100.00%","88.88%","2","22.22%"
"=""3362""","先進光","11","4","95.00%","36.00%","0","0.00%"
"=""3363""","上詮","7","3","100.00%","100.00%","2","28.57%"
"=""3372""","典範","7","3","100.00%","100.00%","0","0.00%"
