"公司代號","公司名稱","英文簡稱","申報原因","產業類別","報告書內容涵蓋期間","編製依循準則","第三方驗證單位","第三方採用標準","會計師確信驗證單位","會計師確信採用標準","永續報告書網址","永續報告書檔案","上傳日期","修正後報告書","修正後報告書上傳日期","永續報告書英文版網址","永續報告書英文版檔案","英文版上傳日期","英文版修正後報告書","英文版修正後報告書上傳日期","報告書聯絡資訊","備註"
"1101","台泥","TCC","5. 股本達新臺幣一百億元以上者","水泥工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","勤業眾信聯合會計師事務所","","https://www.taiwancement.com/tw/esgReport.html","","2022/06/28","","","https://www.taiwancement.com/tw/esgReport.html                                                                                                                                                          ","","2022/06/28","","","tcc_csr@taiwancement.com                                                                                                ",""
"1102","亞泥","ACC","5. 股本達新臺幣一百億元以上者","水泥工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","3. AA1000 第2類型(Type2 ) 中度保證","SGS公司","","https://csr.acc.com.tw/","","2022/07/01","","2023/05/26","                                                                                                                                                                                                        ","","","","2023/05/26","sheng.lin@acc.com.tw                                                                                                    ",""
"1103","嘉泥","CHC","5. 股本達新臺幣一百億元以上者","水泥工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","其他查驗證單位：","1. AA1000 第1類型(Type1 ) 中度保證","英國標準協會台灣分公司(BSI Taiwan)","","https://www.chcgroup.com.tw/index.php?route=csr/csr&cid=6","","2022/06/23","","2022/06/23","https://www.chcgroup.com.tw/index.php?route=csr/csr&cid=6                                                                                                                                               ","","2022/10/19","","","kellyyu@chcgroup.com.tw                                                                                                 ",""
"1104","環泥","UCC","5. 股本達新臺幣一百億元以上者","水泥工業","2021/01/01~2021/12/31","2. OTHERS其他依循標準：依循GRI永續報告核心準則及永續會計準則（SASB）之建築材料業準則","會計師事務所：","1.確信準則公報第一號","秉承聯合會計師事務所","","http://www.ucctw.com/m/412-1518-11789.php?Lang=zh-tw","","2022/09/21","","","http://www.ucctw.com/m/412-1518-11789.php?Lang=zh-tw                                                                                                                                                    ","","2022/12/28","","","peter.chang@ucctw.com                                                                                                   ",""
"1108","幸福","LUCKY CEMENT","6. 股本達新臺幣五十億元以上者，但未達新臺幣一百億元以上者","水泥工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","https://www.luckygrp.com.tw/upload/menu/20220622050747.pdf","","2022/06/27","","","https://en.luckygrp.com.tw/upload/menu/20220624045054.pdf                                                                                                                                               ","","2022/06/27","","","barrychang@luckygrp.com.tw                                                                                              ",""
"1110","東泥","TUNA CEMENT","5. 股本達新臺幣一百億元以上者","水泥工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","無","無資料","N/A","","http://www.southeastcement.com.tw/index.php?q=csr","","2022/06/23","","2022/06/23","                                                                                                                                                                                                        ","","","","","southeast@secement.com                                                                                                  ",""
"1201","味全","WEI CHUAN","","食品工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","資誠聯合會計師事務所","","https://www.weichuan.com.tw/uploads/esg_reports/64a92a1d51d00.pdf","","2022/09/27","","","                                                                                                                                                                                                        ","","","","","simon_chen@weichuan.com.tw                                                                                              ",""
"1203","味王","VE WONG","1. 屬食品工業者","食品工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","勤業眾信聯合會計師事務所","","https://www.vewong.com/ec99/ushop20069/profile-12.asp","","2022/09/26","","","                                                                                                                                                                                                        ","","","","","niel@vewong.com.tw                                                                                                      ","無"
"1210","大成","GREATWALL","1. 屬食品工業者","食品工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","安侯建業聯合會計師事務所","","https://www.dachan.com/csr","","2022/09/16","","","                                                                                                                                                                                                        ","","","","","csr@ms.greatwall.com.tw                                                                                                 ",""
"1213","大飲","OCEANIC Bev.","1. 屬食品工業者","食品工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","馬施云大華聯合會計師事務所","","http://applesidra.com.tw/","","2022/09/29","","","                                                                                                                                                                                                        ","","","","","c5012903@ms23.hinet.net                                                                                                 ",""
"1215","卜蜂","CPE","1. 屬食品工業者","食品工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","資誠聯合會計師事務所","","https://www.cptwn.com.tw/ec99/rwd1453/category.asp?category_id=27","","2022/09/28","","","                                                                                                                                                                                                        ","","","","","cp3800@cptwn.com.tw                                                                                                     ",""
"1216","統一","UNI-PRESIDENT","","食品工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","資誠聯合會計師事務所","","https://www.uni-president.com.tw/ESG/index.html","","2022/07/29","","","https://www.uni-president.com.tw/ESG/index.html                                                                                                                                                         ","","2022/09/08","","","zona.wang@mail.pec.com.tw                                                                                               ","無"
"1217","愛之味","AGV","1. 屬食品工業者","食品工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","國富浩華聯合會計師事務所","","https://www.agv.com.tw/投資人專區/永續報告書/","","2022/09/26","","","https://www.agv.com.tw/投資人專區/永續報告書/                                                                                                                                                           ","","2022/09/26","","","YUEHCHU@mail.agv.com.tw                                                                                                 ",""
"1218","泰山","TAISUN","1. 屬食品工業者","食品工業","2021/01/01~2021/12/31","1. GRI Standards GRI 準則","會計師事務所：","1.確信準則公報第一號","安候建業聯合會計師事務所","","https://www.taisun.com.tw/corporate/calendar-year-report/","","2022/06/30","","","https://reurl.cc/RXE4jD                                                                                                                                                                                 ","","2022/09/20","","","CSR@taisun.com.tw                                                                                                       ","「泰山企業社會責任報告書」自110年起更名為「泰山ESG永續報告書」。"
"1219","福壽","FWUSOW","1. 屬食品工業者","食品工業","2021/01/01~2021/12/31","2. OTHERS其他依循標準：GRI 準則、氣候相關財務揭露(TCFD)","會計師事務所：","1.確信準則公報第一號","群智聯合會計師事務所","","https://www.fwusow.com.tw/download/itemlist/category/165.html","","2022/06/30","","","https://www.fwusow.com.tw/download/itemlist/category/165.html                                                                                                                                           ","","2022/08/09","","","ccyao@fwusow.com.tw                                                                                                     ",""
