"公司代號","公司名稱","英文簡稱","申報原因","產業類別","報告書內容涵蓋期間","編製依循準則","第三方驗證單位","第三方採用標準","會計師確信驗證單位","會計師確信採用標準","會計師確信意見類型","永續報告書網址","永續報告書檔案","上傳日期","修正後報告書","修正後報告書上傳日期","永續報告書英文版網址","永續報告書英文版檔案","英文版上傳日期","英文版修正後報告書","英文版修正後報告書上傳日期","報告書聯絡資訊","備註"
"1259","安心食品服務股份有限公司","AN-SHIN","屬餐飲收入占其全部營業收人之比率達百分之五十以上者","觀光餐旅","2023/01/01~2023/12/31","GRI準則","","","資誠聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信","https://encsr.mos.com.tw/index.php?lang=tw","","2024/08/21","","2024/10/09","https://encsr.mos.com.tw/index.php?lang=en","","2024/10/15","","","csr@mos.com.tw ","無"
"1264","德麥食品股份有限公司","TEHMAG","屬食品工業者","食品工業","2023/01/01~2023/12/31","GRI準則","","","利安達平和聯合會計師事務所 Reanda Taiwan","確信準則3000號(原公報第一號)","有限確信","https://www.tehmag.com.tw/investors.php?NO=3","","2024/08/09","","","","","","","","vickychen@tehmag.com.tw","無"
"1268","漢來美食股份有限公司","Hi-Lai Foods","屬餐飲收入占其全部營業收人之比率達百分之五十以上者","觀光餐旅","2023/01/01~2023/12/31","GRI準則","","","Deloitte 勤業眾信聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信","https://www.hilai-foods.com/stakeholders#98","","2024/08/20","","2024/08/22","","","","","","stock@hilai-foods.com",""
"1336","台翰精密科技股份有限公司","TAIHAN","係自願編製與申報","電子零組件業","2023/01/01~2023/12/31","GRI準則","新加坡商英國標準協會集團私人有限公司臺灣分公司(BSI)","AA1000 第1類型(Type1) 中度保證","","","","https://www.thpt.com.tw/downloads/","","2024/08/29","","","https://www.thpt.com.tw/downloads/","","2024/09/19","","","macro_chien@thpt.com.tw",""
"1584","精剛精密科技股份有限公司","STC","係自願編製與申報","其他","2023/01/01~2023/12/31","GRI準則","","","資誠聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信","http://www.s-tech.com.tw/zh-tw/a4-694-6019/5-永續報告書.html","","2024/08/16","","","http://www.s-tech.com.tw/en/a4-2279-6130/Sustainability-Report.html","","2024/10/29","","","stc_supervisor@s-tech.com.tw",""
"1586","和勤精機股份有限公司","CFTC","係自願編製與申報","電機機械","2023/01/01~2023/12/31","GRI 2021/TCFD/SASB","","","","","","https://www.cftc-hc.com.tw/","","2024/09/30","","2024/10/17","","","","","","administration@cftc.tw","截至20231231無重大事項"
"1742","台灣蠟品股份有限公司","TWC","屬化學工業者","化學工業","2023/01/01~2023/12/31","GRI準則","","","資誠聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信","www.wax.com.tw","","2024/08/27","","","","","","","","paul.tseng@wax.com.tw",""
"1777","生泰合成工業股份有限公司","SYN-TECH","係自願編製與申報","生技醫療業","2023/01/01~2023/12/31","GRI準則","","","","","","https://www.syn-tech.com.tw","","2024/08/29","","","","","","","","cy.chang@syn-tech.com.tw",""
"1785","光洋應用材料科技股份有限公司","Solar","資本額達新臺幣二十億元以上者","其他電子業","2023/01/01~2023/12/31","GRI準則","台灣檢驗科技股份有限公司（SGS Taiwan Ltd.）","AA1000 第1類型(Type1) 中度保證","","","","https://www.solartech.com.tw/esg/download_esg_report/","","2024/06/14","","2024/10/04","https://www.solartech.com.tw/en/esg/download_esg_report/","","2024/06/14","","","service@solartech.com.tw",""
"1796","金穎生物科技股份有限公司","GeneFerm","屬食品工業者","食品工業","2023/01/01~2023/12/31","GRI準則","","","資誠聯合會計師事務所","確信準則3000號(原公報第一號)","有限確信","https://www.geneferm.com/zh-tw/governance.html","","2024/08/26","","","","","","","","yuting_chiu@geneferm.com","無"
"1815","富喬工業股份有限公司","FFG","資本額達新臺幣二十億元以上者","電子零組件業","2023/01/01~2023/12/31","GRI準則","","","","","","http://www.ffg.com.tw/company9.asp","","2024/08/13","","","","","","","","ckc@ffg.com.tw",""
"2035","唐榮鐵工廠股份有限公司","TE　　","資本額達新臺幣二十億元以上者","鋼鐵工業","2023/01/01~2023/12/31","GRI準則","","","","","","www.tangeng.com.tw","","2024/08/20","","","www.tangeng.com.tw","","2024/09/18","","","tecsr@mail.tangeng.com.tw",""
