市場別,報告年度,公司代號,公司名稱,用水量,資料範圍,用水密集度,用水密集度-單位,驗證狀態,網絡中心性,漂綠標籤,風險等級,異常標籤
上市,2021,1101.0,台泥,2996430.0,台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、25座製品廠),0.4821,產品,ISO 9001,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1102.0,亞泥,2462000.0,亞泥個體公司,0.668,產品,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1103.0,嘉泥,122.0,包含企業團所有台灣營運據點（用水量含總部嘉新大樓承租戶）及日本沖繩飯店；目前統計尚不含大陸地區。,0.0555,"營業額 2,197,183 (仟元)",Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1104.0,環泥,19100.0,母公司之阿蓮水泥廠、海湖石膏板廠、直屬七座預拌混凝土場之自來水用量,0.005,產值(新台幣千元),Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1108.0,幸福,972782.0,幸福水泥(股)公司東澳廠,1.572,產品,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1109.0,信大,224407.041,僅信大母公司南聖湖工廠,0.0,,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1110.0,東泥,17600.0,工廠,0.0253,產品,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1201.0,味全,1906416.0,"""1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)
 2.台中廠、斗六廠為地下水1,307,550公噸佔68.6%，總公司、中央研究所、營業所、高雄廠為自來水598,866公噸佔31.4%。""",12.82,產品,Unknown,0.0026627218934911242,無漂綠跡象,高風險,正常
上市,2021,1203.0,味王,325390.0,自來水+地下水,146.457,營業額,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1210.0,大成,0.0,nan,0.0,,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1213.0,大飲,98.587,僅母公司,0.0,,ISO 14001,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1215.0,卜蜂,922914.0,南投肉食品加工廠、台中飼料廠、高雄飼料廠,0.0,,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1216.0,統一,4232747.0,僅母公司,992.97,營業收入千萬元,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1217.0,愛之味,416493.0,母公司自來水用量,58.7,產品,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1218.0,泰山,616697.0,泰山企業所屬田中油脂廠、田中食品廠、水產飼料廠、田中行政大樓、台北長安大樓辦公室。,71.543,營業額,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1219.0,福壽,396858.0,母公司、子公司,0.0268,營業額,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1220.0,台榮,790354.0,本公司雲林廠及高雄飼料廠,29966.1534,營業額(億元),Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1225.0,福懋油,58085.0,涵蓋範圍:僅母公司,0.0,,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1227.0,佳格,427914.0,佳格母公司,0.342,萬元營業額,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1229.0,聯華,51.77,"""母公司-聯華實業投資控股(股)公司以及子公司-聯華製粉食品(股)公司、聯華置產(股)公司""",0.0082,營業額;單位為新台幣佰萬元,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1231.0,聯華食,595.357,臺灣地區的總公司及各工廠之所有營運相關之活動,0.0626,百萬營業額,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1232.0,大統益,236050.0,僅母公司,0.237,黃豆總加工量,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1233.0,天仁,87230.0,本公司天仁茶業股份有限公司直營單位,78.9026,分母以營業額為百萬元之計算,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1234.0,黑松,809000.0,中壢廠,4.12,產品,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1235.0,興泰,3310.0,依110年台灣自來水公司使用度數資訊,0.0806,營業額,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1236.0,宏亞,47513.0,母公司,0.0,營業額,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1256.0,鮮活果汁-KY,175016.0,集團主要營運主體，子公司蘇州鮮活飲品股份有限公司,48.586,營業額,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1301.0,台塑,24602210.0,母公司2020年經第三方查證數據，請參閱本公司2021年永續報告書P.73,17679.46,耗水量/當年度個體財報營收(億元)，請參閱本公司2021年永續報告書P.73,ISO 14001,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1303.0,南亞,20830240.0,母公司,0.0958,單位:公噸/110年個體營業額(千元)。,ISO 14001,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1304.0,台聚,998098.0,台聚高雄廠,4.002,產品,ISO 14001,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1305.0,華夏,2964600.0,華夏頭份廠、華聚林園廠、台氯林園廠,2.62,產品,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1307.0,三芳,165861.0,母公司,219.39,百萬營業額,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1308.0,亞聚,508888.0,亞聚林園廠,3.74,產品,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1309.0,台達化,1110246.0,前鎮廠、林園廠、頭份廠、中山廠,1.95,產品,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1310.0,台苯,1427585.0,110年高雄廠原水用量。,3.77,產品,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1312.0,國喬,2469000.0,國喬石油化學股份有限公司高雄廠,135.93,營業額,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1313.0,聯成,142250.0,聯成林園廠,0.0,,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1314.0,中石化,8856000.0,僅母公司,0.0003,"用水量:8,856,000公噸，營業收入:35,163,380仟元",Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1315.0,達新,4590.0,母公司,0.0,,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1316.0,上曜,769.0,僅母公司,0.0,,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1319.0,東陽,701176.0,母公司,51.06,百萬營業額,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1321.0,大洋,96.84,母公司,0.6834,產品,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1323.0,永裕,146951.0,"""台灣永裕 71740公噸
 上海永裕 71926公噸
 威瑪精密化學 3285公噸""",0.0376,台灣永裕 (71740)/1907428千元=0.0376,Unknown,0.001775147928994083,無漂綠跡象,高風險,正常
上市,2021,1324.0,地球,39128.33,母公司(幼一二廠),0.0,營業額,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1325.0,恆大,0.0,nan,0.0,,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1326.0,台化,32967200.0,110年母公司、台化出光及台醋公司之台灣廠區,13540.0,營業額億元,ISO 14001,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1337.0,再生-KY,0.0,nan,0.0,,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1338.0,廣華-KY,560833.0,僅重要子公司東莞廣澤汽車飾件有限公司,3.62,平方米(建築面積),Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1339.0,昭輝,100208.0,母公司,0.0,,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1340.0,勝悅-KY,0.0,nan,0.0,,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1341.0,富林-KY,119797.0,僅子公司同奈廠,7.83,產品,ISO 14001,0.001183431952662722,無漂綠跡象,高風險,正常
上市,2021,1342.0,八貫,0.0,nan,0.0,,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1402.0,遠東新,22627000.0,統計範疇共21個生產據點,2.93,產品,ISO 14001,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1409.0,新纖,1981972.0,新光合纖 中壢廠及觀音廠用水統計表,2.05,產品,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1410.0,南染,0.0,nan,0.0,,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1413.0,宏洲,392110.0,僅母公司,2.59,產品,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1414.0,東和,43478.0,本公司,0.0,,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1416.0,廣豐,0.0,nan,0.0,,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1417.0,嘉裕,0.0,nan,0.0,,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1418.0,東華,3515.0,本公司新竹廠,0.0,,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1419.0,新紡,80071.0,母公司生產區域,0.0118,產品,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1423.0,利華,2.207,母公司,0.0,元營業額,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1432.0,大魯閣,0.0,nan,0.0,,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1434.0,福懋,6137000.0,台灣廠區,250.59,營業額 百萬元(新台幣),Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1435.0,中福,473.0,僅母公司,39.0,無生產活動，以平均每月用水量計算,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1436.0,華友聯,0.17,僅母公司,0.0,,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1437.0,勤益控,0.0,nan,0.0,,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1438.0,三地開發,0.0,nan,0.0,,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1439.0,雋揚,0.0,nan,0.0,,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1440.0,南紡,808560.0,仁德廠+太子廠,2.6,產量公噸,ISO 14001,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1441.0,大東,0.0,nan,0.0,,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1442.0,名軒,237.0,母公司,0.0,,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1443.0,立益物流,0.0,nan,0.0,,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1444.0,力麗,570444.0,母公司各廠區,1.38,產品,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1445.0,大宇,0.0,nan,0.0,,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1446.0,宏和,23572.0,母公司,3600.0,產品,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1447.0,力鵬,4395898.0,母公司各廠區,24.7,產品,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1449.0,佳和,2075900.0,母公司,361.18,產品,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1451.0,年興,704199.0,2021年母公司總用水量,0.088,仟元營業額,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1452.0,宏益,64039.0,包含合併財務報表之母子公司,2.2458,產品,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1453.0,大將,0.0,nan,0.0,,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1454.0,台富,0.0,nan,0.0,,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1455.0,集盛,695569.0,母公司之5個紡織製品製造廠區,3.0,產品,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1456.0,怡華,2075.9,台南官田廠,361.18,服務,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1457.0,宜進,557.0,僅母公司,27.85,員工人數,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1459.0,聯發,5853.0,工廠,0.2427,產品,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1460.0,宏遠,2661715.0,母公司,174.68,產品,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1463.0,強盛新,0.0,nan,0.0,,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1464.0,得力,2964.0,僅母公司,2964.0,產品,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1465.0,偉全,0.0,nan,0.0,,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1466.0,聚隆,182737.0,母公司,3.72,產品,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1467.0,南緯,4309.0,母公司,0.0,,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1468.0,昶和,0.0,nan,0.0,,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1470.0,大統新創,1235482.0,合併財務報表之母子公司之桃園廠區,171.0,產量,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1471.0,首利,0.0,nan,0.0,,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
