市場別,年份,公司代號,公司名稱,董事席次,獨立董事席次,女性董事席次,女性董事比例,董事會出席率,董事進修比率,網絡中心性,風險等級,漂綠標籤,異常標籤
上市,2021,1101,台泥,15.0,5.0,4.0,0.27,0.9619,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1102,亞泥,14.0,3.0,0.0,0.0,0.97,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1103,嘉泥,7.0,3.0,0.0,0.0,0.9592,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1104,環泥,7.0,3.0,0.0,0.0,1.0,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1108,幸福,7.0,3.0,2.0,0.2857,1.0,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1109,信大,9.0,3.0,1.0,0.1111,0.9388,0.2222,0.0005330490405117271,中風險,正常,正常
上市,2021,1110,東泥,10.0,3.0,1.0,0.1,0.975,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1201,味全,9.0,3.0,0.0,0.0,0.956,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1203,味王,15.0,3.0,1.0,0.067,0.744,0.133,0.0005330490405117271,中風險,正常,異常
上市,2021,1210,大成,10.0,3.0,0.0,0.0,0.9667,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1213,大飲,9.0,3.0,1.0,0.11,0.93,0.11,0.0005330490405117271,中風險,正常,正常
上市,2021,1215,卜蜂,8.0,3.0,0.0,0.0,0.875,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1216,統一,13.0,3.0,3.0,0.2208,0.989,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1217,愛之味,9.0,3.0,0.0,0.0,0.8548,0.6019,0.0005330490405117271,中風險,正常,正常
上市,2021,1218,泰山,9.0,3.0,1.0,0.1111,1.0,0.4444,0.0005330490405117271,中風險,正常,正常
上市,2021,1219,福壽,9.0,3.0,3.0,0.3333,0.9444,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1220,台榮,12.0,3.0,2.0,0.1667,0.9655,0.0833,0.0005330490405117271,中風險,正常,正常
上市,2021,1225,福懋油,9.0,3.0,2.0,0.2222,1.0,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1227,佳格,7.0,3.0,1.0,0.1429,0.8,0.4286,0.0005330490405117271,低風險,正常,正常
上市,2021,1229,聯華,10.0,3.0,1.0,0.1,0.93,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1231,聯華食,9.0,3.0,2.0,0.222,1.0,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1232,大統益,11.0,3.0,0.0,0.0,0.97,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1233,天仁,7.0,2.0,0.0,0.0,0.9714,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1234,黑松,14.0,3.0,3.0,0.214,0.92,1.0,0.0005330490405117271,中風險,正常,異常
上市,2021,1235,興泰,7.0,3.0,1.0,0.1429,0.9881,0.5714,0.0005330490405117271,低風險,正常,正常
上市,2021,1236,宏亞,6.0,3.0,3.0,0.5,0.9583,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1256,鮮活果汁-KY,8.0,3.0,2.0,0.25,1.0,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1301,台塑,15.0,4.0,2.0,0.13,0.9143,1.0,0.0005330490405117271,中風險,正常,異常
上市,2021,1303,南亞,15.0,3.0,2.0,0.13,0.9778,1.0,0.0005330490405117271,中風險,正常,異常
上市,2021,1304,台聚,9.0,3.0,0.0,0.0,0.9778,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1305,華夏,9.0,3.0,0.0,0.0,0.9778,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1307,三芳,7.0,3.0,0.0,0.0,0.968,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1308,亞聚,9.0,3.0,0.0,0.0,1.0,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1309,台達化,9.0,5.0,1.0,0.11,0.9815,0.8182,0.0005330490405117271,中風險,正常,正常
上市,2021,1310,台苯,11.0,3.0,0.0,0.0,1.0,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1312,國喬,7.0,3.0,1.0,0.1429,0.9643,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1313,聯成,10.0,3.0,0.0,0.0,1.0,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1314,中石化,9.0,3.0,1.0,0.1111,0.9421,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1315,達新,8.0,3.0,0.0,0.0,0.9683,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1316,上曜,7.0,2.0,0.0,0.0,0.9841,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1319,東陽,7.0,3.0,1.0,0.1429,1.0,0.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1321,大洋,10.0,4.0,2.0,0.2,0.97,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1323,永裕,11.0,4.0,0.0,0.0,1.0,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1324,地球,5.0,3.0,0.0,0.0,1.0,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1325,恆大,7.0,3.0,3.0,0.4286,0.9796,0.1429,0.0005330490405117271,低風險,正常,正常
上市,2021,1326,台化,15.0,3.0,1.0,0.067,0.92,1.0,0.0005330490405117271,中風險,正常,異常
上市,2021,1337,再生-KY,7.0,3.0,0.0,0.0,0.9643,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1338,廣華-KY,7.0,3.0,0.0,0.0,1.0,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1339,昭輝,9.0,4.0,2.0,0.0222,0.9556,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1340,勝悅-KY,7.0,3.0,1.0,0.1428,1.0,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1341,富林-KY,7.0,3.0,0.0,0.0,1.0,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1342,八貫,7.0,3.0,0.0,0.0,0.96,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1402,遠東新,13.0,3.0,2.0,0.15,0.91,1.0,0.0005330490405117271,中風險,正常,異常
上市,2021,1409,新纖,12.0,3.0,1.0,0.0833,0.9762,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1410,南染,7.0,4.0,0.0,0.0,0.7755,0.7142,0.0005330490405117271,低風險,正常,正常
上市,2021,1413,宏洲,9.0,2.0,2.0,0.22,0.84,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1414,東和,7.0,3.0,1.0,0.14,1.0,0.714,0.0005330490405117271,低風險,正常,正常
上市,2021,1416,廣豐,8.0,3.0,0.0,0.0,0.9661,0.625,0.0005330490405117271,中風險,正常,正常
上市,2021,1417,嘉裕,7.0,3.0,2.0,0.286,0.9762,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1418,東華,9.0,2.0,0.0,0.0,0.9433,0.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1419,新紡,7.0,3.0,0.0,0.0,0.9855,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1423,利華,5.0,3.0,5.0,1.0,0.8333,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1432,大魯閣,9.0,4.0,2.0,0.2222,0.7273,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1434,福懋,11.0,3.0,1.0,0.0909,0.95,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1435,中福,7.0,3.0,0.0,0.0,0.959,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1436,華友聯,9.0,3.0,0.0,0.0,0.963,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1437,勤益控,7.0,3.0,0.0,0.0,1.0,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1438,三地開發,7.0,3.0,2.0,0.2857,0.0,0.4286,0.0005330490405117271,低風險,正常,正常
上市,2021,1439,雋揚,7.0,3.0,1.0,0.14,1.0,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1440,南紡,20.0,4.0,5.0,0.25,0.9,1.0,0.0005330490405117271,高風險,正常,異常
上市,2021,1441,大東,7.0,3.0,1.0,0.1429,1.0,0.86,0.0005330490405117271,低風險,正常,正常
上市,2021,1442,名軒,7.0,3.0,2.0,0.2857,1.0,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1443,立益物流,9.0,2.0,0.0,0.0,0.82,0.11,0.0005330490405117271,中風險,正常,正常
上市,2021,1444,力麗,9.0,3.0,1.0,0.1111,0.8547,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1445,大宇,7.0,3.0,0.0,0.0,0.9863,0.2727,0.0005330490405117271,低風險,正常,正常
上市,2021,1446,宏和,9.0,3.0,2.0,0.2222,0.8182,0.5556,0.0005330490405117271,中風險,正常,正常
上市,2021,1447,力鵬,9.0,3.0,2.0,0.2222,0.9572,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1449,佳和,11.0,3.0,0.0,0.0,0.73,0.8,0.0005330490405117271,中風險,正常,正常
上市,2021,1451,年興,9.0,3.0,0.0,0.0,0.9495,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1452,宏益,9.0,3.0,1.0,0.1111,0.9206,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1453,大將,7.0,3.0,1.0,0.1429,0.96,0.1429,0.0005330490405117271,低風險,正常,正常
上市,2021,1454,台富,9.0,2.0,0.0,0.0,1.0,0.44,0.0005330490405117271,中風險,正常,正常
上市,2021,1455,集盛,10.0,3.0,1.0,0.1,1.0,0.8,0.0005330490405117271,中風險,正常,正常
上市,2021,1456,怡華,9.0,2.0,1.0,0.11,1.0,0.83,0.0005330490405117271,中風險,正常,正常
上市,2021,1457,宜進,9.0,3.0,3.0,0.3333,0.81,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1459,聯發,9.0,3.0,0.0,0.0,0.963,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1460,宏遠,11.0,3.0,0.0,0.0,0.909,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1463,強盛新,7.0,2.0,1.0,0.1111,0.9722,0.4444,0.0005330490405117271,低風險,正常,正常
上市,2021,1464,得力,7.0,3.0,0.0,0.0,1.0,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1465,偉全,7.0,3.0,1.0,0.1429,0.9762,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1466,聚隆,10.0,3.0,2.0,0.2,0.98,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1467,南緯,11.0,3.0,1.0,0.0909,1.0,0.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1468,昶和,7.0,3.0,1.0,0.1428,1.0,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1470,大統新創,11.0,3.0,0.0,0.0,1.0,0.273,0.0005330490405117271,中風險,正常,正常
上市,2021,1471,首利,7.0,3.0,2.0,0.2857,0.8889,0.4286,0.0005330490405117271,低風險,正常,正常
上市,2021,1472,三洋實業,7.0,3.0,1.0,0.1428,0.9206,0.5714,0.0005330490405117271,低風險,正常,正常
上市,2021,1473,台南,11.0,3.0,4.0,0.3636,0.8891,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1474,弘裕,11.0,3.0,1.0,0.0909,0.9649,0.4545,0.0005330490405117271,中風險,正常,正常
上市,2021,1475,業旺,5.0,3.0,1.0,0.2,1.0,0.4,0.0005330490405117271,低風險,正常,正常
上市,2021,1476,儒鴻,12.0,4.0,1.0,0.0833,1.0,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1477,聚陽,15.0,3.0,6.0,0.4,0.978,1.0,0.0005330490405117271,中風險,正常,異常
上市,2021,1503,士電,14.0,3.0,0.0,0.0,0.9107,1.0,0.0005330490405117271,中風險,正常,異常
上市,2021,1504,東元,11.0,4.0,2.0,0.1818,0.9919,0.9091,0.0005330490405117271,中風險,正常,正常
上市,2021,1506,正道,9.0,3.0,1.0,0.1111,0.9667,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1512,瑞利,7.0,3.0,0.0,0.0,0.8776,0.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1513,中興電,9.0,3.0,1.0,0.1111,0.9815,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1514,亞力,12.0,3.0,2.0,0.1666,0.9041,0.1666,0.0005330490405117271,中風險,正常,正常
上市,2021,1515,力山,9.0,4.0,1.0,0.1111,0.9756,0.5556,0.0005330490405117271,中風險,正常,正常
上市,2021,1516,川飛,8.0,3.0,2.0,0.25,1.0,0.75,0.0005330490405117271,中風險,正常,正常
上市,2021,1517,利奇,7.0,3.0,4.0,0.57,1.0,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1519,華城,9.0,3.0,0.0,0.0,1.0,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1521,大億,9.0,3.0,1.0,0.11,0.7556,0.6667,0.0005330490405117271,中風險,正常,正常
上市,2021,1522,堤維西,9.0,3.0,0.0,0.0,0.963,1.0,0.0005330490405117271,中風險,正常,正常
