市場別,報告年度,公司代號,公司名稱,再生能源使用率,資料範圍,驗證狀態,網絡中心性,漂綠標籤,風險等級,異常標籤
上市,2021,1101,台泥,0.0051,台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、25座製品廠、子公司和平電力),ISO 9001,0.0012067578439259854,無漂綠跡象,低風險,正常
上市,2021,1102,亞泥,0.0,亞泥個體公司,ISO 9001,0.0008045052292839903,無漂綠跡象,低風險,正常
上市,2021,1103,嘉泥,0.0,nan,ISO 9001,0.0008045052292839903,無漂綠跡象,低風險,正常
上市,2021,1104,環泥,0.0,nan,Unknown,0.0008045052292839903,可能漂綠,高風險,正常
上市,2021,1108,幸福,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1109,信大,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1110,東泥,0.0,nan,Unknown,0.0008045052292839903,可能漂綠,高風險,正常
上市,2021,1201,味全,0.0,nan,ISO 9001,0.00040225261464199515,無漂綠跡象,低風險,正常
上市,2021,1203,味王,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1210,大成,0.0,nan,Unknown,0.0008045052292839903,可能漂綠,高風險,正常
上市,2021,1213,大飲,0.0,nan,ISO 14001,0.00040225261464199515,無漂綠跡象,低風險,正常
上市,2021,1215,卜蜂,0.0,nan,Unknown,0.0008045052292839903,可能漂綠,高風險,正常
上市,2021,1216,統一,0.0037,僅母公司,Unknown,0.0008045052292839903,無漂綠跡象,高風險,正常
上市,2021,1217,愛之味,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1218,泰山,0.0,nan,Unknown,0.0012067578439259854,可能漂綠,高風險,正常
上市,2021,1219,福壽,0.0,nan,ISO 9001,0.00040225261464199515,無漂綠跡象,低風險,正常
上市,2021,1220,台榮,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1225,福懋油,0.0,nan,Unknown,0.0008045052292839903,可能漂綠,高風險,正常
上市,2021,1227,佳格,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1229,聯華,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
