市場別,報告年度,公司代號,公司名稱,薪酬委員會席次,薪酬委員會獨立董事席次,薪酬委員會出席率,審計委員會席次,審計委員會出席率,網絡中心性,風險等級,漂綠標籤,異常標籤
上市,2023,1101,台泥,5,5,1.0,5,1.0,0.0005452562704471102,中風險,正常,正常
上市,2023,1102,亞泥,3,2,1.0,5,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1103,嘉泥,3,2,1.0,3,0.9524,0.0005452562704471102,低風險,正常,正常
上市,2023,1104,環泥,4,3,1.0,4,1.0,0.0005452562704471102,中風險,正常,正常
上市,2023,1108,幸福,3,2,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1109,信大,3,2,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1110,東泥,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1201,味全,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1203,味王,3,2,1.0,3,0.9333,0.0005452562704471102,低風險,正常,正常
上市,2023,1210,大成,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1213,大飲,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1215,卜蜂,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1216,統一,4,4,1.0,4,1.0,0.0005452562704471102,中風險,正常,正常
上市,2023,1217,愛之味,3,3,0.6667,3,0.8,0.0005452562704471102,低風險,正常,正常
上市,2023,1218,泰山,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1219,福壽,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1220,台榮,3,2,1.0,3,0.94,0.0005452562704471102,低風險,正常,正常
上市,2023,1225,福懋油,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1227,佳格,3,3,0.83,4,0.94,0.0005452562704471102,低風險,正常,正常
上市,2023,1229,聯華,3,2,1.0,2,0.9231,0.0005452562704471102,低風險,正常,正常
上市,2023,1231,聯華食,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1232,大統益,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1233,天仁,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1234,黑松,3,3,1.0,3,0.9444,0.0005452562704471102,低風險,正常,正常
上市,2023,1235,興泰,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1236,宏亞,4,4,0.9,4,0.95,0.0005452562704471102,中風險,正常,正常
上市,2023,1256,鮮活果汁-KY,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1301,台塑,4,4,1.0,4,1.0,0.0005452562704471102,中風險,正常,正常
上市,2023,1303,南亞,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1304,台聚,4,4,1.0,4,1.0,0.0005452562704471102,中風險,正常,正常
上市,2023,1305,華夏,3,3,1.0,3,0.75,0.0005452562704471102,低風險,正常,正常
上市,2023,1307,三芳,3,2,0.93,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1308,亞聚,3,3,1.0,4,0.94,0.0005452562704471102,低風險,正常,正常
上市,2023,1309,台達化,3,3,1.0,4,0.9375,0.0005452562704471102,低風險,正常,正常
上市,2023,1310,台苯,4,4,1.0,4,0.9286,0.0005452562704471102,中風險,正常,正常
上市,2023,1312,國喬,2,2,1.0,2,1.0,0.0005452562704471102,低風險,正常,異常
上市,2023,1313,聯成,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1314,中石化,3,2,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1315,達新,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1316,上曜,3,3,1.0,4,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1319,東陽,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1321,大洋,4,4,1.0,4,1.0,0.0005452562704471102,中風險,正常,正常
上市,2023,1323,永裕,3,2,1.0,4,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1324,地球,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1325,恆大,3,3,1.0,4,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1326,台化,3,3,0.8333,3,0.9333,0.0005452562704471102,低風險,正常,正常
上市,2023,1337,再生-KY,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1338,廣華-KY,3,3,1.0,3,0.9583,0.0005452562704471102,低風險,正常,正常
上市,2023,1339,昭輝,4,4,0.9167,4,0.9375,0.0005452562704471102,中風險,正常,正常
上市,2023,1340,勝悅-KY,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1341,富林-KY,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1342,八貫,3,3,0.91,3,0.94,0.0005452562704471102,低風險,正常,正常
上市,2023,1402,遠東新,3,2,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1409,新纖,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1410,南染,3,3,1.0,4,0.95,0.0005452562704471102,低風險,正常,正常
上市,2023,1413,宏洲,3,3,1.0,4,0.9,0.0005452562704471102,低風險,正常,正常
上市,2023,1414,東和,3,2,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1416,廣豐,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1417,嘉裕,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1418,東華,3,3,0.8333,3,0.9167,0.0005452562704471102,低風險,正常,正常
上市,2023,1419,新紡,3,2,0.9444,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1423,利華,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1432,大魯閣,3,3,1.0,4,0.9285,0.0005452562704471102,低風險,正常,正常
上市,2023,1434,福懋,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1435,中福,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1436,華友聯,3,3,1.0,4,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1437,勤益控,4,3,1.0,4,1.0,0.0005452562704471102,中風險,正常,正常
上市,2023,1438,三地開發,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1439,雋揚,3,3,1.0,3,0.89,0.0005452562704471102,低風險,正常,正常
上市,2023,1440,南紡,4,4,1.0,4,1.0,0.0005452562704471102,中風險,正常,正常
上市,2023,1441,大東,3,3,0.9524,4,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1442,名軒,3,3,1.0,3,0.9583,0.0005452562704471102,低風險,正常,正常
上市,2023,1443,立益物流,0,3,1.0,3,0.9333,0.0005452562704471102,低風險,正常,異常
上市,2023,1444,力麗,3,3,1.0,3,0.963,0.0005452562704471102,低風險,正常,正常
上市,2023,1445,大宇,3,3,0.8333,3,0.9267,0.0005452562704471102,低風險,正常,正常
上市,2023,1446,宏和,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1447,力鵬,3,3,0.8889,3,0.9583,0.0005452562704471102,低風險,正常,正常
上市,2023,1449,佳和,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1451,年興,3,2,1.0,3,0.9444,0.0005452562704471102,低風險,正常,正常
上市,2023,1452,宏益,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1453,大將,3,3,0.8889,3,0.9444,0.0005452562704471102,低風險,正常,正常
上市,2023,1454,台富,4,4,1.0,4,1.0,0.0005452562704471102,中風險,正常,正常
上市,2023,1455,集盛,3,3,1.0,3,0.9167,0.0005452562704471102,低風險,正常,正常
上市,2023,1456,怡華,3,3,1.0,4,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1457,宜進,3,3,1.0,3,0.8518,0.0005452562704471102,低風險,正常,正常
上市,2023,1459,聯發,3,3,1.0,3,0.9444,0.0005452562704471102,低風險,正常,正常
上市,2023,1460,宏遠,3,2,1.0,3,0.8333,0.0005452562704471102,低風險,正常,正常
上市,2023,1463,強盛,3,2,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1464,得力,3,2,1.0,4,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1465,偉全,3,2,1.0,4,0.8333,0.0005452562704471102,低風險,正常,正常
上市,2023,1466,聚隆,3,3,1.0,4,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1467,南緯,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1468,昶和,3,3,1.0,4,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1470,大統新創,4,4,0.9,4,0.9545,0.0005452562704471102,中風險,正常,正常
上市,2023,1471,首利,3,3,1.0,3,0.9167,0.0005452562704471102,低風險,正常,正常
上市,2023,1472,三洋實業,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1473,台南,3,3,1.0,3,0.9167,0.0005452562704471102,低風險,正常,正常
上市,2023,1474,弘裕,3,2,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1475,業旺,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1476,儒鴻,3,2,1.0,4,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1477,聚陽,3,3,1.0,4,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1503,士電,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1504,東元,5,4,1.0,4,1.0,0.0005452562704471102,中風險,正常,異常
上市,2023,1506,正道,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1512,瑞利,3,2,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1513,中興電,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1514,亞力,3,3,1.0,3,0.9333,0.0005452562704471102,低風險,正常,正常
上市,2023,1515,力山,4,3,1.0,3,1.0,0.0005452562704471102,中風險,正常,正常
上市,2023,1516,川飛,3,2,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1517,利奇,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1519,華城,4,4,1.0,0,0.0,0.0005452562704471102,中風險,正常,正常
上市,2023,1521,大億,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1522,堤維西,3,2,1.0,3,0.8667,0.0005452562704471102,低風險,正常,正常
上市,2023,1524,耿鼎,4,4,0.75,4,0.75,0.0005452562704471102,中風險,正常,正常
上市,2023,1525,江申,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1526,日馳,3,3,1.0,4,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1527,鑽全,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1528,恩德,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1529,樂事綠能,3,2,1.0,3,0.8364,0.0005452562704471102,低風險,正常,正常
上市,2023,1530,亞崴,4,4,1.0,4,0.9412,0.0005452562704471102,中風險,正常,正常
上市,2023,1531,高林股,4,100,1.0,4,1.0,0.0005452562704471102,中風險,正常,正常
上市,2023,1532,勤美,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1533,車王電,3,3,1.0,4,1.0,0.0005452562704471102,低風險,正常,正常
