市場別,年份,公司代號,公司名稱,範疇一排放量,範疇一-資料邊界,範疇一-取得驗證,範疇二排放量,範疇二-資料邊界,範疇二-取得驗證,範疇三排放量,範疇三-資料邊界,範疇三-取得驗證,排放密集度,溫室氣體排放密集度-單位,網絡中心性,漂綠標籤,風險等級,異常標籤
上市,2021,1109,信大,574039.8381,僅信大母公司南聖湖工廠,ISO 9001,43746.288,僅信大母公司南聖湖工廠,ISO 9001,0.0,,,0.0,,0,無漂綠跡象,高風險,異常
上市,2021,1110,東泥,2738.0,工廠,,20881.0,工廠,,0.0,,,0.034,產品,0,無漂綠跡象,高風險,異常
上市,2021,1201,味全,11135.17,1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)。 2.直接擁有或控制的排放源所直接排放的溫室氣體。  含2-1營業所/工廠購汽油柴油鍋爐天然氣等排放及辦公室人員活動之化糞池清除作業散逸排放。  含2-2工廠購原料之製麴、發酵雙醣等於製程中排放。,,21106.03,1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)。 2.外購電力產生溫室氣體排放。,,0.0,,,0.22,產品,0,無漂綠跡象,高風險,正常
上市,2021,1203,味王,7168.948,母公司,,4233.841,母公司,,0.0,,,5.132,營業額,0,無漂綠跡象,高風險,正常
上市,2021,1210,大成,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1213,大飲,693.73,僅母公司,,0.0,,,0.0,,,0.0,,0,無漂綠跡象,高風險,正常
上市,2021,1215,卜蜂,45272.0,南投肉食品加工廠、台中飼料廠、高雄飼料廠,,39870.0,南投肉食品加工廠、台中飼料廠、高雄飼料廠,,0.0,,,7.0,南投肉食品加工廠:7.0噸CO2e/百萬營收 ; 飼料廠:0.0267噸CO2e/產量(噸),0,無漂綠跡象,高風險,正常
上市,2021,1216,統一,58384.0,僅母公司,ISO 9001,96160.0,僅母公司,ISO 9001,1391235.0,僅母公司,ISO 9001,36.25,營業收入千萬元,0,無漂綠跡象,高風險,正常
上市,2021,1217,愛之味,1540.0,母公司之天然氣與燃料油,,5799.0,母公司之外購電力、外購蒸氣、自來水,,0.0,,,1.03,產品,0,無漂綠跡象,高風險,正常
上市,2021,1218,泰山,3097.185,泰山企業所屬田中油脂廠、田中食品廠、水產飼料廠、田中行政大樓、台北長安大樓辦公室。,ISO 14001,6394.411,泰山企業所屬田中油脂廠、田中食品廠、水產飼料廠、田中行政大樓、台北長安大樓辦公室。,ISO 14001,1795.678,泰山企業所屬田中油脂廠、田中食品廠、水產飼料廠、田中行政大樓、台北長安大樓辦公室。,ISO 14001,1.1011,營業額,0,無漂綠跡象,高風險,正常
上市,2021,1219,福壽,6960.1954,資料涵蓋範圍母公司兩個主要生產廠域,ISO 9001,10597.8797,資料涵蓋範圍母公司兩個主要生產廠域,ISO 9001,4052.1123,資料涵蓋範圍母公司兩個主要生產廠域,ISO 9001,1.6,營業額,0,無漂綠跡象,高風險,正常
上市,2021,1220,台榮,15926.7915,本公司雲林廠,,15347.2564,本公司雲林廠,,0.0,,,1900.4624,營業額(億元),0,無漂綠跡象,高風險,正常
上市,2021,1225,福懋油,2392.59,涵蓋範圍:僅母公司,,2318.64,涵蓋範圍:僅母公司,,0.0,,,0.0,,0,無漂綠跡象,高風險,正常
上市,2021,1227,佳格,8844.0,佳格母公司,,11921.0,佳格母公司,,0.0,,,0.017,萬元營業額,0,無漂綠跡象,高風險,正常
上市,2021,1229,聯華,1315.32,母公司-聯華實業投資控股(股)公司以及子公司-聯華製粉食品(股)公司、聯華置產(股)公司,ISO 14001,14868.51,母公司-聯華實業投資控股(股)公司以及子公司-聯華製粉食品(股)公司、聯華置產(股)公司,ISO 14001,3014.27,母公司-聯華實業投資控股(股)公司以及子公司-聯華製粉食品(股)公司、聯華置產(股)公司,ISO 14001,2.57,營業額;單位為新台幣佰萬元,0,無漂綠跡象,高風險,正常
上市,2021,1231,聯華食,7847.94,臺灣地區的總公司及各工廠之所有營運相關之活動,,15704.24,臺灣地區的總公司及各工廠之所有營運相關之活動,,0.0,,,2.4782,百萬營業額,0,無漂綠跡象,高風險,正常
上市,2021,1232,大統益,4089.6208,僅母公司,ISO 9001,112170.8936,僅母公司,ISO 9001,0.0,,,0.1249,黃豆總加工量,0,無漂綠跡象,高風險,正常
