資料範圍,報告年度,公司代號,公司名稱,員工福利平均數(仟元/人)(每年6/2起公開),員工薪資平均數(仟元/人)(每年6/2起公開),非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開),非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開),管理職女性主管占比,職業災害人數,職業災害人數及比率-比率,職業災害-類別,火災-件數,火災-死傷人數,火災-比率(死傷人數/員工總人數),風險等級,漂綠標籤,網絡中心性,異常標籤
上市,2021,1101,台泥,1184.0,1043.0,1082.0,958.0,0.2621,1.0,0.0009,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1102,亞泥,1353.0,1214.0,1110.0,1003.0,0.2231,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1103,嘉泥,1797.0,1553.0,1139.0,923.0,0.4,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1104,環泥,992.0,842.0,760.0,678.0,0.1847,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1108,幸福,640.0,523.0,523.0,478.0,0.2857,3.0,0.0066,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1109,信大,772.0,641.0,664.0,624.0,0.3,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1110,東泥,776.0,615.0,603.0,587.0,0.1765,1.0,0.0133,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1201,味全,887.0,745.0,735.0,657.0,0.2838,6.0,0.0437,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1203,味王,649.0,566.0,585.0,555.0,0.0882,5.0,0.0069,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1210,大成,827.0,696.0,697.0,598.0,0.15,13.0,0.0055,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1213,大飲,513.0,435.0,446.0,402.0,0.03,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1215,卜蜂,892.0,766.0,579.0,497.0,0.06,18.0,0.0082,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1216,統一,1408.0,1244.0,1217.0,1043.0,0.2239,5.0,0.0009,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1217,愛之味,804.0,671.0,684.0,582.0,0.3398,5.0,0.009,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1218,泰山,946.0,803.0,737.0,634.0,0.239,7.0,0.0107,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1219,福壽,807.0,675.0,647.0,599.0,0.143,8.0,0.013,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1220,台榮,696.0,582.0,603.0,553.0,0.1379,1.0,0.0046,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1225,福懋油,902.0,767.0,701.0,614.0,0.087,2.0,0.0087,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1227,佳格,1195.0,981.0,827.0,758.0,0.3,8.0,0.008,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
