市場別,報告年度,公司代號,公司名稱,有害廢棄物量,非有害廢棄物量,廢棄物總量,資料範圍,廢棄物密集度,廢棄物密集度-單位,驗證狀態,網絡中心性,漂綠標籤,風險等級,異常標籤
上市,2021,1101.0,台泥,0.0,2883.55,2883.55,台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、25座製品廠),0.0005,產品,ISO 14001,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1102.0,亞泥,0.0,0.0,3816.0,亞泥個體公司,0.001,產品,ISO14001、ISO9001,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1103.0,嘉泥,0.0,0.0,239.975,合併報表之母子公司但不包含台灣地區營收佔比相較微小之資產出租公司藍鈞及嘉昇建設，及日本區，大陸區所有轉投資公司。,0.0001,"營業額 2,042,623 (仟元)",Unknown,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1104.0,環泥,0.0,656.4,656.4,母公司之阿蓮水泥廠、海湖石膏板廠、直屬七座預拌混凝土場,0.0002,產值(新台幣千元),Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1108.0,幸福,0.0,0.0,0.0,nan,0.0,,Unknown,0.00029994001199760045,可能漂綠,高風險,正常
上市,2021,1109.0,信大,0.0,0.0,116.96,僅信大母公司南聖湖工廠,0.0,,Unknown,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1110.0,東泥,0.0,84.79,84.79,工廠,0.0001,產品,Unknown,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1201.0,味全,1.32,4384.23,4385.55,"""1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)。
 2.110年廢棄物重量為4385.55公噸，包含非有害廢棄物4384.23公噸及有廢棄物1.32公噸。
   廢棄物處理方式：有害廢棄物採焚燒及化學處理、非有害廢棄物則以回收再利用(含回收及堆肥自行處理為主、焚化處理次之)。
 3.110年廢棄物回收再利用及堆肥量等共計4225.51公噸，資源回收再利用率為 96.4%。""",0.029,產品,ISO 14001,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1203.0,味王,3.2,974.6,977.8,一般廢棄物+實驗廢液,0.44,營業額,Unknown,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1210.0,大成,0.0,0.0,0.0,nan,0.0,,Unknown,0.0005998800239952009,可能漂綠,高風險,正常
上市,2021,1213.0,大飲,72.13,12.155,84.285,僅母公司,0.0,,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1215.0,卜蜂,0.0,30071.6,30071.6,南投肉食品加工廠、台中飼料廠、高雄飼料廠,0.0,,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1216.0,統一,3.0,35751.0,35754.0,僅母公司,8.39,營業收入千萬元,ISO 14001,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1217.0,愛之味,0.0,2665.5,2665.5,母公司之污泥、廢食用油、菜渣、生活垃圾、資源回收,0.376,產品,Unknown,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1218.0,泰山,0.0,1452.99,1452.99,泰山公司所屬田中食品廠、田中油脂廠、水產飼料廠、北斗牧場,0.3819,營業額,Unknown,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1219.0,福壽,0.105,459.94,460.045,母公司、子公司,0.0,營業額,Unknown,0.0005998800239952009,無漂綠跡象,高風險,正常
上市,2021,1220.0,台榮,0.0,2015.865,2015.865,本公司雲林廠及高雄飼料廠,76.4312,營業額(億元),Unknown,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1225.0,福懋油,0.26,627.25,627.51,涵蓋範圍:僅母公司,0.0,,Unknown,0.0008998200359928014,無漂綠跡象,高風險,正常
上市,2021,1227.0,佳格,3.31,5344.0,5347.31,佳格母公司,0.0043,萬元營業額,ISO 14001,0.0008998200359928014,無漂綠跡象,高風險,正常
